WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,WindSpeed,StationPressure,DewPoint,MaximumTemperature,Rainfall,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.45,07-17-2019,19:00:00,27.8,0.0,971.80,24.3,36.8,0.40,000,1002.40,0.40,82,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.64,07-17-2019,19:00:00,22.1,5.6,841.33,18.8,24.1,0.00,200,999.85,1.60,81,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,27.00,07-17-2019,19:00:00,34.7,0.0,955.85,22.4,37.4,0.00,000,997.83,0.00,49,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.82,07-17-2019,19:00:00,32.1,0.0,953.88,21.6,36.6,0.00,000,998.06,0.00,54,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.54,07-17-2019,19:00:00,33.0,3.7,962.86,23.8,36.5,0.00,150,999.34,0.00,59,12.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.08,07-17-2019,19:00:00,32.0,0.0,955.39,24.1,37.5,0.00,000,999.21,0.00,63,11.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,34.63,07-17-2019,19:00:00,33.3,0.0,974.02,26.5,39.5,0.00,000,999.94,0.01,68,12.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.85,07-17-2019,19:00:00,32.8,3.7,978.47,23.4,37.4,0.00,070,999.61,0.01,58,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,30.72,07-17-2019,19:00:00,29.5,0.0,978.40,24.5,34.2,0.00,000,1002.13,0.00,75,10.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.05,07-17-2019,19:00:00,34.7,0.0,965.87,21.1,37.8,0.00,000,999.17,0.00,45,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.47,07-17-2019,19:00:00,35.2,0.0,972.26,21.4,38.7,0.00,000,998.78,0.00,45,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,26.55,07-17-2019,19:00:00,34.9,5.6,966.40,22.1,37.5,0.00,280,998.76,0.70,47,12.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.99,07-17-2019,19:00:00,33.5,0.0,981.20,22.9,37.0,0.00,000,999.14,0.00,54,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,31.34,07-17-2019,19:00:00,34.0,0.0,977.20,24.8,38.2,0.00,000,999.29,0.00,59,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.66,07-17-2019,19:00:00,32.4,0.0,970.19,25.5,37.0,0.00,000,999.26,0.00,67,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,27.01,07-17-2019,19:00:00,34.0,0.0,964.95,22.4,37.0,0.00,000,999.30,0.00,51,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.17,07-17-2019,19:00:00,30.0,7.4,970.99,25.8,36.7,0.00,150,1000.14,3.80,78,15.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,29.46,07-17-2019,19:00:00,34.5,0.0,992.42,23.8,38.9,0.00,000,999.49,0.00,54,10.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.61,07-17-2019,19:00:00,33.7,0.0,980.56,26.5,36.7,0.00,000,999.87,1.80,66,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,32.42,07-17-2019,19:00:00,30.9,7.4,972.66,25.4,35.5,0.00,160,1000.73,11.60,73,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.74,07-17-2019,19:00:00,32.8,0.0,980.78,25.0,36.2,0.00,000,1000.43,0.00,64,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,28.89,07-17-2019,19:00:00,24.5,3.7,980.44,23.5,35.5,37.20,230,1002.23,37.20,94,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.08,07-17-2019,19:00:00,25.7,7.4,982.31,24.7,35.0,46.00,180,1001.77,46.00,94,8.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.44,07-17-2019,19:00:00,32.6,0.0,986.14,24.3,35.1,0.00,000,1002.50,0.00,62,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.27,07-17-2019,19:00:00,31.8,0.0,985.70,25.3,35.0,0.00,000,1002.75,0.00,69,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,36.14,07-17-2019,19:00:00,32.6,3.7,974.94,27.2,35.9,0.00,080,1000.05,10.60,73,11.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,35.60,07-17-2019,19:00:00,34.0,5.6,994.08,27.0,37.5,0.00,160,999.70,0.00,67,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.66,07-17-2019,19:00:00,33.0,7.4,994.00,26.0,36.9,0.00,130,1000.03,1.00,67,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.84,07-17-2019,19:00:00,33.0,0.0,984.94,22.9,37.3,0.00,000,1000.96,0.00,55,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.54,07-17-2019,19:00:00,28.0,0.0,979.23,22.1,34.0,0.00,000,1001.35,1.00,70,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.09,07-17-2019,19:00:00,31.0,16.7,987.23,23.0,37.0,0.00,260,1001.35,0.00,63,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.84,07-17-2019,19:00:00,33.0,7.4,984.13,22.9,38.5,0.00,240,1000.08,0.00,55,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.04,07-17-2019,19:00:00,34.0,0.0,995.21,24.7,36.3,0.00,000,1000.28,0.00,58,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.37,07-17-2019,19:00:00,33.4,0.0,986.03,24.3,38.0,0.00,000,998.85,0.00,59,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,27.21,07-17-2019,19:00:00,34.1,0.0,991.54,22.5,36.1,0.00,000,1000.59,0.00,51,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.31,07-17-2019,19:00:00,33.5,3.7,979.74,21.9,36.5,0.00,180,1000.84,6.40,51,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.67,07-17-2019,19:00:00,33.2,9.3,983.75,22.8,36.8,0.00,210,1000.79,5.80,54,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.34,07-17-2019,19:00:00,31.0,0.0,985.89,25.4,35.5,0.00,000,1001.43,0.00,72,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.75,07-17-2019,19:00:00,34.0,0.0,980.88,24.5,37.4,0.00,000,999.19,1.30,58,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.30,07-17-2019,19:00:00,27.0,0.0,953.09,21.3,33.2,0.00,000,1003.94,0.00,71,8.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.38,07-17-2019,19:00:00,32.5,0.0,996.42,26.4,35.8,0.00,000,1000.28,0.00,70,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.77,07-17-2019,19:00:00,22.5,13.0,908.99,21.6,28.1,2.50,230,1003.44,2.70,95,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,34.13,07-17-2019,19:00:00,31.7,0.0,985.58,26.3,38.3,0.00,000,1001.23,0.00,73,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.16,07-17-2019,19:00:00,33.0,0.0,996.71,25.3,36.4,0.00,000,1000.64,17.40,64,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.46,07-17-2019,19:00:00,32.1,0.0,991.90,22.6,35.5,0.00,000,1002.34,0.00,57,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,32.56,07-17-2019,19:00:00,31.8,5.6,999.84,25.5,35.5,0.00,150,1001.73,0.00,69,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.54,07-17-2019,19:00:00,33.1,5.6,979.45,21.4,37.7,0.00,210,999.75,0.00,51,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.65,07-17-2019,19:00:00,32.0,0.0,983.43,24.5,35.8,0.00,000,1000.69,0.00,64,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.08,07-17-2019,19:00:00,33.1,5.6,984.72,25.2,36.7,0.00,130,1000.45,0.00,63,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.49,07-17-2019,19:00:00,31.5,3.7,988.43,24.4,34.2,0.00,140,1002.19,1.90,66,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.88,07-17-2019,19:00:00,30.2,0.0,988.21,26.1,34.2,0.00,000,1002.82,2.20,79,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.15,07-17-2019,19:00:00,30.0,0.0,988.84,24.7,35.5,0.00,000,1003.31,0.50,73,9.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.41,07-17-2019,19:00:00,33.2,0.0,997.69,24.9,36.3,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1000.63,3.40,62,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.44,07-17-2019,19:00:00,32.6,0.0,993.07,24.3,36.0,0.00,000,1000.83,0.00,62,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.73,07-17-2019,19:00:00,31.9,14.8,1001.86,24.5,35.1,0.00,200,1002.95,0.00,65,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,37.25,07-17-2019,19:00:00,32.0,0.0,989.18,27.7,32.6,0.00,000,1003.58,0.00,78,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,25.38,07-17-2019,19:00:00,21.5,5.6,868.93,21.3,23.2,0.00,200,1002.47,2.80,99,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.23,07-17-2019,19:00:00,32.7,3.7,995.42,24.8,36.4,0.00,200,1001.16,0.00,63,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.49,07-17-2019,19:00:00,32.0,9.3,1001.26,26.4,36.5,0.00,240,1002.04,0.00,73,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.72,07-17-2019,19:00:00,30.7,14.8,1002.20,25.0,32.5,0.00,230,1002.64,0.00,72,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.15,07-17-2019,19:00:00,28.5,0.0,992.70,24.2,34.4,0.00,000,1003.91,0.00,78,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,32.99,07-17-2019,19:00:00,32.0,3.7,1000.76,25.7,37.5,0.00,180,1001.75,0.00,69,12.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.73,07-17-2019,19:00:00,32.6,3.7,1000.27,24.5,35.4,0.00,230,1002.05,0.00,62,10.00
