WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,StationPressure,DewPoint,Rainfall24Hr,Rainfall,VaporPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure,RelativeHumidity
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-04-2019,04:00:00,9.3,250,984.15,24.1,56.80,1.00,30.02,8.00,24.4,1001.87,98
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-04-2019,04:00:00,0.0,000,986.30,24.3,64.60,6.70,30.46,7.00,24.5,1002.52,99
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-04-2019,04:00:00,13.0,300,988.39,23.3,138.30,30.50,28.53,5.00,24.0,1002.50,96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-04-2019,04:00:00,0.0,000,987.35,23.4,141.20,31.00,28.77,5.00,23.7,1002.27,98
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-04-2019,04:00:00,18.5,270,988.47,23.4,126.70,22.00,28.85,.70,23.6,1003.26,99
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-04-2019,04:00:00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1001.38,24.3,1.30,0.00,30.34,10.00,25.3,1004.41,94
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-04-2019,04:00:00,0.0,000,996.51,23.6,27.30,0.00,29.16,7.00,24.8,1004.50,93
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-04-2019,04:00:00,11.1,230,1004.15,22.9,1.40,0.00,27.96,7.00,25.0,1005.26,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-04-2019,04:00:00,3.7,120,988.73,25.3,27.90,7.20,32.20,6.00,26.0,1003.41,96
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-04-2019,04:00:00,14.8,280,871.54,18.3,33.80,0.20,21.06,.10,18.5,1006.94,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-04-2019,04:00:00,0.0,000,998.87,23.5,6.40,0.00,28.88,7.00,24.2,1004.79,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-04-2019,04:00:00,3.7,240,1006.93,24.2,5.90,0.00,30.15,7.00,25.2,1007.74,94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-04-2019,04:00:00,0.0,000,1005.72,24.7,28.90,0.00,31.14,10.00,25.3,1006.17,97
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-04-2019,04:00:00,0.0,000,995.53,23.4,21.30,0.00,28.78,3.00,24.0,1006.94,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-04-2019,04:00:00,5.6,210,1004.36,23.6,1.20,0.00,29.18,10.00,25.1,1005.37,92
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-04-2019,04:00:00,0.0,000,1003.15,23.5,7.80,0.00,29.00,7.00,25.0,1004.99,92
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-04-2019,04:00:00,0.0,000,1004.02,23.9,3.10,0.00,29.69,7.00,24.8,1004.79,95
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-04-2019,04:00:00,0.0,000,1004.99,23.9,9.80,0.01,29.64,10.00,25.5,1005.69,91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-04-2019,04:00:00,0.0,000,1004.79,24.5,25.50,0.01,30.71,7.00,25.5,1005.50,94
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-04-2019,04:00:00,1.9,120,983.80,23.0,13.20,0.01,28.01,10.00,24.0,1005.12,94
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-04-2019,04:00:00,5.6,240,987.63,23.2,83.60,20.30,28.42,5.00,23.5,1004.50,98
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-04-2019,04:00:00,9.3,230,988.47,22.8,76.50,16.80,27.66,5.00,23.5,1005.06,96
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-04-2019,04:00:00,0.0,000,983.32,23.3,9.60,0.80,28.61,9.00,23.9,1005.36,97
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-04-2019,04:00:00,13.0,240,961.46,20.8,9.70,0.00,24.53,9.00,24.3,1004.99,81
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-04-2019,04:00:00,5.6,250,984.39,22.8,33.20,7.80,27.66,3.00,23.5,1005.15,96
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-04-2019,04:00:00,14.8,230,984.19,23.0,54.40,5.20,28.07,5.00,23.0,1005.25,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-04-2019,04:00:00,1.9,030,1004.84,24.2,2.60,0.00,30.17,10.00,25.5,1005.28,93
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-04-2019,04:00:00,0.0,000,1004.28,24.4,34.90,0.00,30.65,6.00,24.6,1005.71,99
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-04-2019,04:00:00,0.0,000,1000.94,24.2,67.80,0.20,30.28,6.00,24.4,1005.91,99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-04-2019,04:00:00,0.0,000,1002.09,23.6,4.10,0.00,29.10,10.00,25.2,1005.39,91
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-04-2019,04:00:00,0.0,000,1004.44,24.1,2.50,0.00,30.03,10.00,24.7,1005.56,97
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-04-2019,04:00:00,0.0,000,1005.19,24.2,17.30,0.00,30.22,9.00,26.1,1005.50,89
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-04-2019,04:00:00,0.0,000,1005.10,24.5,5.20,0.00,30.81,10.00,25.7,1005.59,93
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-04-2019,04:00:00,11.1,210,1004.20,24.5,1.60,0.00,30.73,10.00,25.8,1005.61,93
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-04-2019,04:00:00,3.7,180,998.92,24.5,7.20,0.00,30.83,10.00,24.7,1006.98,99
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-04-2019,04:00:00,0.0,000,1005.46,24.1,7.00,0.00,30.10,10.00,26.9,1005.74,85
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-04-2019,04:00:00,0.0,000,1002.40,24.4,10.00,0.00,30.59,10.00,26.3,1005.53,89
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-04-2019,04:00:00,9.3,240,998.88,23.3,1.40,0.00,28.67,10.00,27.0,1005.81,80
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-04-2019,04:00:00,0.0,000,1001.01,23.7,25.80,1.00,29.33,7.00,24.6,1006.65,95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-04-2019,04:00:00,0.0,000,1005.20,24.1,2.80,0.00,29.93,10.00,24.5,1006.47,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-04-2019,04:00:00,0.0,000,1004.32,24.0,3.00,0.00,29.80,11.00,25.3,1004.75,92
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-04-2019,04:00:00,0.0,000,993.44,23.3,3.40,0.80,28.53,8.00,24.0,1005.81,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-04-2019,04:00:00,5.6,250,1004.70,23.1,0.80,0.10,28.18,10.00,26.0,1005.42,84
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-04-2019,04:00:00,0.0,000,1003.52,24.3,4.30,0.00,30.46,8.00,25.8,1005.97,92
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-04-2019,04:00:00,14.8,260,1005.26,23.9,11.90,0.00,29.74,10.00,28.0,1005.77,79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-04-2019,04:00:00,0.0,000,1000.53,24.3,2.10,0.00,30.36,8.00,25.6,1005.70,93
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-04-2019,04:00:00,0.0,000,1005.76,24.3,12.50,0.40,30.32,6.00,25.0,1006.18,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-04-2019,04:00:00,0.0,000,1003.60,24.9,26.40,2.50,31.41,8.00,25.3,1006.38,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-04-2019,04:00:00,7.4,270,1005.81,23.5,1.60,0.70,29.00,10.00,25.0,1006.60,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-04-2019,04:00:00,0.0,000,1006.09,24.7,124.20,1.10,31.12,5.00,25.0,1006.55,98
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-04-2019,04:00:00,0.0,000,1006.64,24.6,2.50,2.40,30.84,8.00,26.0,1007.33,92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-04-2019,04:00:00,0.0,000,1006.28,23.9,0.20,0.00,29.66,7.00,25.8,1007.82,89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-04-2019,04:00:00,0.0,000,1007.26,25.6,1.20,0.50,32.77,10.00,27.0,1008.17,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-04-2019,04:00:00,0.0,000,1007.31,24.8,0.00,0.00,31.22,10.00,27.2,1008.00,87
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-04-2019,04:00:00,3.7,180,1007.46,23.8,0.00,0.00,29.41,6.00,24.5,1008.27,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-04-2019,04:00:00,0.0,000,1007.09,24.4,0.00,0.00,30.54,10.00,25.7,1007.73,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-04-2019,04:00:00,0.0,000,1007.70,25.0,0.00,0.00,31.74,10.00,25.9,1008.11,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-04-2019,04:00:00,0.0,000,1005.76,24.8,0.00,0.00,31.25,5.00,25.5,1010.00,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-04-2019,04:00:00,0.0,000,1007.22,23.7,0.20,0.00,29.30,5.00,24.0,1008.85,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-04-2019,04:00:00,0.0,000,1005.48,24.3,0.00,0.00,30.32,6.00,25.0,1008.99,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-04-2019,04:00:00,0.0,000,1006.77,24.6,0.00,0.00,30.96,10.00,25.2,1008.14,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-04-2019,04:00:00,9.3,200,1007.52,25.9,0.00,0.00,33.37,10.00,28.0,1008.41,88
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-04-2019,04:00:00,0.0,000,1004.77,24.6,0.00,0.00,30.85,10.00,25.0,1008.36,97
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-04-2019,04:00:00,5.6,290,1007.57,25.3,7.00,0.00,32.33,10.00,27.2,1008.01,90
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-04-2019,04:00:00,11.1,300,1007.12,25.1,2.00,0.00,31.94,10.00,28.7,1008.11,81
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-04-2019,04:00:00,13.0,280,1006.95,25.5,0.00,0.00,32.63,10.00,28.2,1007.76,85
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-04-2019,04:00:00,0.0,000,1006.63,24.8,0.00,0.00,31.25,8.00,25.5,1008.46,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-04-2019,04:00:00,1.9,240,1007.55,24.3,0.00,0.00,30.43,6.00,26.5,1008.30,88
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-04-2019,04:00:00,0.0,000,1004.59,24.6,0.00,0.00,30.93,3.00,24.9,1008.62,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-04-2019,04:00:00,0.0,000,1007.97,24.7,0.00,0.00,31.11,10.00,26.0,1008.65,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-04-2019,04:00:00,0.0,000,1007.16,24.5,0.00,0.00,30.79,10.00,25.4,1008.28,95
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-04-2019,04:00:00,0.0,000,1005.80,24.7,0.00,0.00,31.17,10.00,25.6,1008.74,95
