WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,LandVisibility,Rainfall24Hr,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,StationPressure,DewPoint,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1016.51,09-26-2019,01:00:00,0.0,8.00,0.00,24.3,27.26,0.00,90,985.13,22.5,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1016.24,09-26-2019,01:00:00,18.5,8.00,0.00,16.2,15.87,0.00,86,852.19,13.9,120
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1017.04,09-26-2019,01:00:00,0.0,10.00,0.00,22.4,22.77,0.00,84,972.52,19.6,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1017.46,09-26-2019,01:00:00,0.0,12.00,0.00,21.5,23.28,0.00,91,970.84,19.9,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1017.30,09-26-2019,01:00:00,0.0,6.00,0.00,21.2,23.29,0.00,93,978.72,19.9,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1017.70,09-26-2019,01:00:00,0.0,8.00,0.00,22.0,24.74,0.00,94,971.60,20.9,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1017.01,09-26-2019,01:00:00,0.0,7.00,0.00,23.4,26.50,0.00,92,989.78,22.0,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1016.15,09-26-2019,01:00:00,3.7,6.00,0.00,24.0,27.25,0.00,91,994.03,22.5,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1016.41,09-26-2019,01:00:00,0.0,6.00,0.00,23.9,27.59,0.00,93,991.89,22.7,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1016.60,09-26-2019,01:00:00,0.0,9.00,0.01,25.0,26.94,0.00,85,981.64,22.3,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1017.25,09-26-2019,01:00:00,0.0,10.00,0.00,24.0,28.01,0.00,94,989.24,23.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1016.99,09-26-2019,01:00:00,0.0,10.00,0.00,24.2,27.85,0.00,92,982.88,22.9,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1015.94,09-26-2019,01:00:00,0.0,3.00,0.00,24.5,26.84,0.00,87,997.15,22.3,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,1016.51,09-26-2019,01:00:00,0.0,10.00,0.00,24.7,27.95,0.00,90,993.35,22.9,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1016.77,09-26-2019,01:00:00,0.0,7.00,0.00,22.5,25.28,0.00,93,986.22,21.3,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1016.21,09-26-2019,01:00:00,0.0,6.00,1.80,23.5,27.16,0.00,94,980.07,22.4,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1015.66,09-26-2019,01:00:00,0.0,4.00,0.00,21.9,24.35,0.00,93,985.25,20.7,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1015.23,09-26-2019,01:00:00,0.0,8.00,0.00,26.6,27.69,0.00,80,1007.86,22.8,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1015.12,09-26-2019,01:00:00,3.7,6.00,0.00,26.5,27.77,0.00,80,995.05,22.8,090
48353,LOEI,เลย,เลย,17.45000,101.73333,1015.83,09-26-2019,01:00:00,0.0,5.00,0.00,23.1,24.55,0.00,87,986.59,20.8,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1016.24,09-26-2019,01:00:00,0.0,8.00,0.00,25.3,27.46,0.00,85,995.78,22.6,000
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1016.22,09-26-2019,01:00:00,0.0,6.00,0.00,23.8,25.92,0.00,88,994.08,21.7,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1015.61,09-26-2019,01:00:00,5.6,10.00,0.00,25.1,26.10,0.00,82,995.85,21.8,160
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1016.05,09-26-2019,01:00:00,0.0,10.00,0.00,24.5,24.61,0.00,80,999.02,20.8,000
