WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,DewPoint,VaporPressure,WindDirection,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed,Rainfall,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,88,07-21-2019,22:00:00,24.5,30.81,000,1007.44,26.7,0.01,976.59,0.0,0.01,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,96,07-21-2019,22:00:00,18.0,20.68,270,1005.77,18.7,12.30,844.66,18.5,10.50,6.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,84,07-21-2019,22:00:00,23.1,28.18,000,1006.25,26.0,13.80,962.72,0.0,0.01,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,89,07-21-2019,22:00:00,23.6,29.11,000,1006.34,25.5,16.00,960.83,0.0,0.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,96,07-21-2019,22:00:00,24.0,29.77,000,1007.81,24.7,15.10,970.03,0.0,8.30,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,91,07-21-2019,22:00:00,22.5,27.25,120,1007.08,24.0,3.70,961.77,11.1,3.70,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,78,07-21-2019,22:00:00,22.8,27.80,150,1007.76,27.1,0.01,981.10,5.6,0.01,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,68,07-21-2019,22:00:00,23.0,28.04,270,1007.40,29.4,0.00,985.85,3.7,0.00,15.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,94,07-21-2019,22:00:00,24.2,30.15,000,1009.50,25.2,0.10,985.26,0.0,0.10,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,84,07-21-2019,22:00:00,23.1,28.18,340,1008.11,26.0,2.50,973.56,3.7,0.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,96,07-21-2019,22:00:00,24.3,30.32,000,1009.07,25.0,26.00,981.37,0.0,3.20,8.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,81,07-21-2019,22:00:00,23.9,29.60,000,1007.26,27.5,0.00,973.84,0.0,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,77,07-21-2019,22:00:00,23.1,28.26,260,1007.34,27.5,0.00,988.89,7.4,0.00,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,87,07-21-2019,22:00:00,24.4,30.53,000,1007.76,26.7,1.60,984.94,0.0,1.60,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,88,07-21-2019,22:00:00,23.8,29.50,000,1007.57,26.0,1.00,977.64,0.0,1.00,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,07-21-2019,22:00:00,24.0,29.77,000,1008.34,24.7,7.80,972.62,0.0,1.40,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,98,07-21-2019,22:00:00,23.7,29.30,000,1007.13,24.0,8.10,977.19,0.0,0.00,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,87,07-21-2019,22:00:00,24.8,31.22,000,1008.00,27.2,0.01,1000.69,0.0,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,83,07-21-2019,22:00:00,24.0,29.85,000,1006.86,27.2,0.80,986.99,0.0,0.00,12.00
48353,LOEI,เลย,เลย,17.45000,101.73333,94,07-21-2019,22:00:00,24.0,29.79,000,1007.11,25.0,17.70,978.30,0.0,0.00,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,87,07-21-2019,22:00:00,24.0,29.78,300,1006.83,26.3,17.70,986.63,3.7,0.00,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,07-21-2019,22:00:00,25.5,32.58,000,1006.94,26.9,7.30,985.22,0.0,0.00,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,90,07-21-2019,22:00:00,25.7,32.93,340,1006.66,27.5,0.10,987.23,3.7,0.00,12.00
