WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,AirTemperature,WindDirection,WindSpeed,Rainfall24Hr,StationPressure,DewPoint,VaporPressure,LandVisibility,RelativeHumidity
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.55,07-19-2019,13:00:00,27.00,26.0,220,5.6,46.40,1006.01,24.3,30.30,7.00,90
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.81,07-19-2019,13:00:00,18.30,25.5,190,9.3,60.40,1006.89,24.0,29.91,7.00,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.99,07-19-2019,13:00:00,0.00,32.0,250,7.4,33.80,1006.32,25.7,32.99,12.00,69
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.83,07-19-2019,13:00:00,12.30,27.5,240,11.1,21.60,1007.03,26.1,33.78,8.00,92
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.27,07-19-2019,13:00:00,0.20,28.7,180,7.4,19.80,1006.64,25.4,32.51,8.00,83
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.12,07-19-2019,13:00:00,0.01,28.6,000,0.0,26.20,1006.71,25.6,32.88,10.00,84
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1009.46,07-19-2019,13:00:00,0.01,28.8,220,11.1,3.00,1005.27,24.5,30.73,5.00,78
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.50,07-19-2019,13:00:00,8.60,25.2,000,0.0,27.00,1006.88,23.7,29.36,7.00,92
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.15,07-19-2019,13:00:00,2.50,25.6,000,0.0,16.00,1004.66,24.4,30.63,7.00,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.48,07-19-2019,13:00:00,0.00,29.0,310,7.4,8.60,1006.14,24.6,30.85,8.00,77
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.53,07-19-2019,13:00:00,21.00,25.3,000,0.0,261.40,1006.64,24.9,31.41,10.00,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.75,07-19-2019,13:00:00,62.20,24.1,000,0.0,80.10,1005.15,23.4,28.70,8.00,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.52,07-19-2019,13:00:00,0.20,28.5,000,0.0,31.00,1007.09,24.9,31.54,10.00,81
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.03,07-19-2019,13:00:00,0.00,29.5,240,13.0,70.20,1006.05,24.8,31.28,8.00,76
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.30,07-19-2019,13:00:00,5.60,25.2,080,7.4,128.40,1006.48,24.6,30.96,8.00,97
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.01,07-19-2019,13:00:00,3.60,26.0,000,0.0,23.00,1006.19,24.6,30.84,10.00,92
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.84,07-19-2019,13:00:00,0.00,33.0,270,13.0,69.10,1006.10,23.5,28.97,12.00,58
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.70,07-19-2019,13:00:00,0.00,29.5,230,20.4,0.60,1003.74,24.6,31.00,10.00,75
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.57,07-19-2019,13:00:00,2.40,28.6,000,0.0,2.40,1006.89,25.5,32.59,6.00,83
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.99,07-19-2019,13:00:00,0.00,30.3,280,22.2,1.60,1005.89,24.3,30.34,10.00,70
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.81,07-19-2019,13:00:00,0.00,30.7,270,13.0,0.00,1003.93,24.7,31.15,10.00,71
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1006.22,07-19-2019,13:00:00,0.00,32.5,270,7.4,17.80,1005.54,25.5,32.58,8.00,67
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.27,07-19-2019,13:00:00,0.00,32.0,000,0.0,0.00,1003.21,25.2,32.10,6.00,68
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1006.94,07-19-2019,13:00:00,0.00,32.5,080,18.5,25.40,1006.36,25.3,32.28,9.00,66
