WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,VaporPressure,Rainfall,RelativeHumidity,DewPoint,MeanSeaLevelPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,08-24-2019,10:00:00,28.0,30.56,0.00,81,24.4,1008.13,977.39,0.0,47.00,10.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,300,08-24-2019,10:00:00,20.9,21.50,0.00,87,18.7,1005.65,845.63,9.3,21.50,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,120,08-24-2019,10:00:00,26.8,29.37,0.00,83,23.7,1007.97,964.48,5.6,7.90,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-24-2019,10:00:00,27.0,30.29,0.00,85,24.3,1008.04,962.68,0.0,13.00,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,08-24-2019,10:00:00,27.5,30.42,1.00,83,24.3,1008.49,971.02,0.0,93.60,7.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-24-2019,10:00:00,26.0,29.50,0.70,88,23.8,1008.54,963.45,0.0,40.90,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,08-24-2019,10:00:00,27.6,31.44,0.50,85,24.9,1008.33,981.71,0.0,46.10,9.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-24-2019,10:00:00,28.0,31.11,0.00,82,24.7,1008.17,986.51,0.0,2.40,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-24-2019,10:00:00,29.0,28.37,0.00,71,23.2,1008.72,984.79,0.0,7.30,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,08-24-2019,10:00:00,25.9,29.31,0.01,88,23.7,1009.15,974.56,0.0,15.40,9.00
