WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,VaporPressure,StationPressure,WindDirection,DewPoint,Rainfall,MeanSeaLevelPressure,AirTemperature,WindSpeed,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,09-02-2019,10:00:00,30.16,977.19,000,24.2,0.00,1008.08,26.5,0.0,7.00,87
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,76.70,09-02-2019,10:00:00,22.91,845.38,300,19.7,0.00,1005.87,20.0,3.7,3.00,98
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.40,09-02-2019,10:00:00,29.82,964.21,030,24.0,1.70,1007.87,25.6,9.3,6.00,91
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,6.50,09-02-2019,10:00:00,29.74,962.16,000,23.9,0.30,1007.70,25.7,0.0,15.00,90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88.20,09-02-2019,10:00:00,29.91,970.51,000,24.0,1.40,1008.21,25.5,0.0,8.00,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,4.40,09-02-2019,10:00:00,29.50,956.04,000,23.8,0.00,1000.78,26.0,0.0,7.00,88
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,09-02-2019,10:00:00,29.84,981.64,000,24.0,0.20,1008.42,25.9,0.0,6.00,89
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,2.10,09-02-2019,10:00:00,29.83,985.95,000,24.0,0.00,1007.68,26.9,0.0,12.00,84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.60,09-02-2019,10:00:00,27.36,984.57,000,22.6,0.00,1008.65,27.0,0.0,8.00,77
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.20,09-02-2019,10:00:00,27.85,973.39,000,22.9,0.00,1007.70,28.0,0.0,10.00,74
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,41.60,09-02-2019,10:00:00,30.56,980.61,000,24.4,0.00,1008.10,27.0,0.0,10.00,86
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,56.10,09-02-2019,10:00:00,29.83,974.07,000,24.0,0.00,1007.56,26.9,0.0,10.00,84
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,2.70,09-02-2019,10:00:00,31.84,989.12,030,25.1,0.00,1007.56,27.8,3.7,12.00,85
48331,NAN,น่าน,น่าน,18.77972,100.77778,12.10,09-02-2019,10:00:00,29.77,984.57,000,24.0,0.20,1007.33,27.3,0.0,10.00,82
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,18.50,09-02-2019,10:00:00,29.08,977.80,000,23.6,0.10,1007.69,26.5,0.0,7.00,84
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,71.40,09-02-2019,10:00:00,29.08,972.39,000,23.6,0.00,1007.89,26.5,0.0,7.00,84
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,2.70,09-02-2019,10:00:00,30.59,977.01,000,24.4,0.00,1006.71,26.3,0.0,14.00,89
