WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,VaporPressure,MeanSeaLevelPressure,AirTemperature,LandVisibility,StationPressure,Rainfall24Hr
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-28-2019,04:00:00,0.0,000,96,23.8,29.41,1011.02,24.5,10.00,1010.61,3.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-28-2019,04:00:00,0.0,000,97,23.4,28.69,1013.39,23.8,5.00,1009.11,0.01
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-28-2019,04:00:00,0.0,000,96,23.8,29.41,1009.71,24.5,6.00,1008.08,3.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-28-2019,04:00:00,0.0,000,97,23.6,29.13,1011.62,24.2,5.00,1008.10,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-28-2019,04:00:00,0.0,000,96,24.3,30.32,1011.65,25.0,8.00,1010.28,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-28-2019,04:00:00,0.0,000,99,23.8,29.56,1010.98,24.0,8.00,1010.08,25.90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-28-2019,04:00:00,0.0,000,95,23.4,28.79,1011.63,24.3,10.00,1008.03,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-28-2019,04:00:00,0.0,000,94,24.9,31.46,1010.73,25.9,10.00,1010.29,8.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-28-2019,04:00:00,0.0,000,96,24.4,30.50,1010.72,25.1,10.00,1009.71,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-28-2019,04:00:00,7.4,070,89,24.0,29.84,1011.22,25.9,10.00,1010.40,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-28-2019,04:00:00,0.0,000,93,24.1,30.07,1011.08,25.3,8.00,1009.25,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.20,09-28-2019,04:00:00,7.4,140,92,23.5,29.00,1011.14,25.0,10.00,1010.38,0.50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-28-2019,04:00:00,0.0,000,98,24.0,29.84,1011.36,24.3,10.00,1007.31,0.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-28-2019,04:00:00,0.0,000,96,24.3,30.32,1012.45,25.0,10.00,1011.76,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.60,09-28-2019,04:00:00,0.0,000,96,23.9,29.59,1010.90,24.6,10.00,1009.77,0.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-28-2019,04:00:00,0.0,000,96,24.1,29.95,1011.40,24.8,10.00,1008.45,1.60
