WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,DewPoint,AirTemperature,MeanSeaLevelPressure,WindDirection,Rainfall24Hr,Rainfall,RelativeHumidity,WindSpeed,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.67,07-29-2019,13:00:00,12.00,22.9,32.3,1006.96,000,0.00,0.00,58,0.0,27.85
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,845.25,07-29-2019,13:00:00,8.00,17.8,23.7,1003.59,260,0.20,0.00,69,11.1,20.34
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.99,07-29-2019,13:00:00,15.00,22.8,33.1,1004.46,250,0.00,0.00,55,22.2,27.75
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.20,07-29-2019,13:00:00,15.00,23.0,32.3,1004.64,170,0.01,0.01,58,3.7,28.13
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,968.03,07-29-2019,13:00:00,12.00,22.6,31.8,1004.84,000,0.00,0.00,58,0.0,27.43
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,961.30,07-29-2019,13:00:00,13.00,21.9,33.6,1005.16,200,0.00,0.00,50,13.0,26.23
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.95,07-29-2019,13:00:00,12.00,24.5,32.9,1006.06,130,0.00,0.00,62,9.3,30.78
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.02,07-29-2019,13:00:00,13.00,22.5,34.8,1006.17,180,6.80,0.00,49,7.4,27.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.37,07-29-2019,13:00:00,10.00,24.6,31.0,1008.13,000,3.80,0.00,69,0.0,30.90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.50,07-29-2019,13:00:00,10.00,22.5,33.4,1006.17,070,0.00,0.00,53,3.7,27.23
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.57,07-29-2019,13:00:00,10.00,22.7,33.4,1006.46,000,0.00,0.00,53,0.0,27.51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.41,07-29-2019,13:00:00,15.00,22.6,33.5,1006.15,000,0.00,0.00,53,0.0,27.43
