WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,WindSpeed,VaporPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,DewPoint,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,08-16-2019,22:00:00,974.52,1005.41,0.0,31.08,94,11.90,7.00,24.7,25.7,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-16-2019,22:00:00,842.89,1003.79,18.5,21.06,99,21.30,1.00,18.3,18.5,270
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-16-2019,22:00:00,960.28,1003.76,5.6,28.51,87,0.10,10.00,23.2,25.6,200
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-16-2019,22:00:00,958.47,1003.95,5.6,29.00,92,2.60,12.00,23.5,25.0,200
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-16-2019,22:00:00,968.03,1005.76,0.0,29.41,96,11.20,5.00,23.8,24.5,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.30,08-16-2019,22:00:00,959.46,1004.59,7.4,29.41,96,19.00,7.00,23.8,24.5,090
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.70,08-16-2019,22:00:00,979.39,1006.23,0.0,29.41,96,89.00,6.00,23.8,24.5,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.30,08-16-2019,22:00:00,983.88,1005.65,0.0,31.63,96,3.00,10.00,25.0,25.7,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,2.70,08-16-2019,22:00:00,982.75,1006.91,0.0,31.25,96,5.20,6.00,24.8,25.5,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.40,08-16-2019,22:00:00,971.21,1005.80,0.0,29.52,93,14.40,10.00,23.8,25.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,3.40,08-16-2019,22:00:00,979.80,1007.41,0.0,31.25,96,35.60,7.00,24.8,25.5,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,4.40,08-16-2019,22:00:00,972.09,1005.70,0.0,30.96,97,8.10,10.00,24.6,25.2,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.70,08-16-2019,22:00:00,986.90,1005.46,0.0,30.77,97,24.50,5.00,24.5,25.1,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,15.00,08-16-2019,22:00:00,982.95,1005.87,0.0,27.87,89,55.60,7.00,22.9,24.8,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.80,08-16-2019,22:00:00,975.64,1005.66,0.0,29.41,96,43.90,6.00,23.8,24.5,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,2.80,08-16-2019,22:00:00,970.80,1006.32,0.0,31.00,93,3.50,6.00,24.6,25.8,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.70,08-16-2019,22:00:00,975.78,1005.55,0.0,31.49,98,8.90,4.00,24.9,25.2,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1.10,08-16-2019,22:00:00,998.18,1005.50,0.0,30.92,93,4.60,8.00,24.6,25.9,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,2.40,08-16-2019,22:00:00,986.26,1006.16,5.6,33.27,97,3.60,4.00,25.8,26.4,300
48353,LOEI,เลย,เลย,17.45000,101.73333,1.10,08-16-2019,22:00:00,976.52,1005.21,0.0,30.09,92,9.00,10.00,24.1,25.6,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,2.70,08-16-2019,22:00:00,985.32,1005.55,5.6,30.44,93,11.10,10.00,24.3,25.5,170
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,4.40,08-16-2019,22:00:00,984.28,1006.17,0.0,29.13,97,12.80,7.00,23.6,24.2,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,6.20,08-16-2019,22:00:00,986.11,1005.72,0.0,29.41,96,14.30,8.00,23.8,24.5,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,11.10,08-16-2019,22:00:00,990.15,1007.04,0.0,28.36,94,18.10,6.00,23.2,24.2,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,4.50,08-16-2019,22:00:00,989.45,1007.00,0.0,28.54,94,24.90,9.00,23.3,24.3,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,2.00,08-16-2019,22:00:00,979.16,1005.00,0.0,32.07,98,7.40,10.00,25.2,25.5,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-16-2019,22:00:00,998.80,1004.54,7.4,29.74,74,0.00,10.00,23.9,29.0,250
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-16-2019,22:00:00,998.19,1004.33,0.0,29.90,76,0.00,10.00,24.0,28.8,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-16-2019,22:00:00,988.29,1004.60,0.0,31.54,81,0.00,8.00,24.9,28.5,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-16-2019,22:00:00,982.87,1005.22,0.0,29.50,88,5.30,10.00,23.8,26.0,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-16-2019,22:00:00,991.63,1005.92,7.4,28.00,71,0.00,6.00,22.9,28.8,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-16-2019,22:00:00,989.11,1005.39,0.0,30.15,78,0.00,7.00,24.2,28.5,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.01,08-16-2019,22:00:00,1000.32,1005.52,0.0,33.86,89,0.01,10.00,26.1,28.1,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-16-2019,22:00:00,991.50,1004.63,0.0,32.12,86,0.00,10.00,25.2,27.8,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-16-2019,22:00:00,995.84,1005.12,0.0,33.74,90,1.40,10.00,26.1,27.9,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.40,08-16-2019,22:00:00,984.11,1005.76,3.7,32.97,92,0.40,8.00,25.7,27.1,050
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-16-2019,22:00:00,988.57,1005.96,0.0,31.54,81,0.00,10.00,24.9,28.5,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,8.60,08-16-2019,22:00:00,989.04,1004.87,11.1,33.35,98,13.30,10.00,25.9,26.3,200
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-16-2019,22:00:00,985.98,1004.75,0.0,32.43,85,0.00,8.00,25.4,28.1,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-16-2019,22:00:00,957.12,1008.62,0.0,27.35,89,2.50,7.00,22.6,24.5,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-16-2019,22:00:00,1001.12,1005.06,3.7,33.94,90,0.00,6.00,26.2,28.0,070
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,08-16-2019,22:00:00,911.65,1006.54,11.1,24.03,91,0.20,3.00,20.5,22.0,200
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-16-2019,22:00:00,990.00,1005.93,7.4,32.20,87,1.00,8.00,25.3,27.7,160
