WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,WindSpeed,VaporPressure,RelativeHumidity,Rainfall,StationPressure,AirTemperature,Rainfall24Hr,LandVisibility
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.15,08-30-2019,01:00:00,000,25.2,0.0,32.07,93,0.30,1001.73,26.5,0.40,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.16,08-30-2019,01:00:00,000,25.4,0.0,32.45,98,8.60,998.22,25.7,10.80,5.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.41,08-30-2019,01:00:00,260,22.7,9.3,27.59,73,0.00,1000.14,28.0,0.00,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1002.98,08-30-2019,01:00:00,260,23.4,7.4,28.86,81,0.00,1001.88,27.1,0.01,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1003.41,08-30-2019,01:00:00,250,22.8,7.4,27.77,73,0.00,1003.11,28.1,0.01,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1003.69,08-30-2019,01:00:00,000,23.4,0.0,28.82,77,0.00,1003.20,27.8,0.00,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1003.32,08-30-2019,01:00:00,250,22.9,16.7,27.85,74,0.00,1001.92,28.0,0.00,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1004.96,08-30-2019,01:00:00,000,23.5,0.0,28.87,87,0.01,996.94,25.8,14.50,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1003.02,08-30-2019,01:00:00,000,23.4,0.0,28.78,74,0.00,1002.74,28.5,5.10,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.13,08-30-2019,01:00:00,120,24.4,5.6,30.59,84,0.00,1000.01,27.3,2.40,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1004.02,08-30-2019,01:00:00,210,23.6,5.6,29.19,77,0.00,997.13,28.0,0.40,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1002.30,08-30-2019,01:00:00,290,24.8,7.4,31.38,93,0.30,996.71,26.0,6.70,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1004.51,08-30-2019,01:00:00,270,22.2,7.4,26.81,78,0.00,1003.25,26.4,2.30,10.00
