WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,DewPoint,WindDirection,LandVisibility,VaporPressure,Rainfall,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,MaximumTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.5,08-03-2019,19:00:00,972.17,24.5,000,12.00,30.70,0.01,0.0,3.90,1002.80,32.1,84
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,08-03-2019,19:00:00,840.40,18.7,300,8.00,21.54,0.50,37.0,1.70,1000.23,24.6,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.3,08-03-2019,19:00:00,956.79,23.5,000,15.00,28.94,0.00,0.0,0.00,999.58,31.4,71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.5,08-03-2019,19:00:00,954.91,24.9,000,15.00,31.54,0.00,0.0,0.00,999.68,31.0,81
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,27.5,08-03-2019,19:00:00,963.46,24.9,000,12.00,31.52,0.00,0.0,0.01,1000.63,30.0,86
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.2,08-03-2019,19:00:00,955.95,23.1,080,10.00,28.21,0.00,3.7,0.00,1000.21,32.5,70
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.1,08-03-2019,19:00:00,974.24,26.0,200,10.00,33.62,0.00,3.7,0.00,1000.53,32.4,83
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.2,08-03-2019,19:00:00,980.37,19.7,240,15.00,22.87,0.00,7.4,0.00,1001.67,34.1,50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,26.5,08-03-2019,19:00:00,979.96,25.1,000,8.00,31.79,0.00,0.0,6.00,1003.97,33.1,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,30.4,08-03-2019,19:00:00,967.29,20.1,260,10.00,23.53,0.00,9.3,0.00,1001.11,32.5,54
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,31.0,08-03-2019,19:00:00,974.26,21.0,000,10.00,24.86,0.00,0.0,0.00,1001.21,33.5,55
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,30.5,08-03-2019,19:00:00,968.22,20.8,300,12.00,24.48,0.00,5.6,0.00,1001.11,33.4,56
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.2,08-03-2019,19:00:00,982.21,23.4,190,15.00,28.75,0.00,3.7,0.00,1000.43,32.7,71
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.1,08-03-2019,19:00:00,977.81,22.6,000,10.00,27.47,0.00,0.0,0.00,1000.20,33.4,64
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.0,08-03-2019,19:00:00,971.05,25.0,000,12.00,31.69,0.00,0.0,0.00,1000.48,32.2,79
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.2,08-03-2019,19:00:00,966.17,20.0,000,8.00,23.44,0.00,0.0,0.00,1001.00,32.0,55
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,29.0,08-03-2019,19:00:00,970.09,21.7,220,14.00,25.98,0.00,5.6,0.00,999.32,34.0,65
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,31.0,08-03-2019,19:00:00,993.72,23.8,000,10.00,29.48,0.00,0.0,0.00,1000.88,34.0,66
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,29.5,08-03-2019,19:00:00,978.90,24.0,000,10.00,29.88,0.00,0.0,0.00,998.46,31.3,72
48353,LOEI,เลย,เลย,17.45000,101.73333,29.4,08-03-2019,19:00:00,971.71,19.6,280,15.00,22.83,0.00,16.7,0.00,999.90,33.6,56
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,29.6,08-03-2019,19:00:00,979.43,21.6,220,14.00,25.75,0.00,7.4,0.00,999.26,31.8,62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.3,08-03-2019,19:00:00,978.44,21.4,280,12.00,25.47,0.00,7.4,0.00,999.84,31.6,63
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.4,08-03-2019,19:00:00,979.57,21.8,280,12.00,26.17,0.00,5.6,0.00,998.73,31.7,64
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.5,08-03-2019,19:00:00,983.64,25.1,000,11.00,31.79,2.00,0.0,6.50,1000.29,29.9,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.0,08-03-2019,19:00:00,983.05,24.1,000,10.00,30.02,0.50,0.0,1.90,1000.33,29.6,84
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.8,08-03-2019,19:00:00,974.27,22.1,270,10.00,26.67,0.00,5.6,0.00,999.69,32.7,67
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,30.0,08-03-2019,19:00:00,996.14,22.7,240,10.00,27.55,0.00,11.1,0.40,1001.84,34.2,65
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.7,08-03-2019,19:00:00,995.62,21.8,240,10.00,26.17,0.00,13.0,0.20,1001.71,33.5,59
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.5,08-03-2019,19:00:00,986.10,22.1,210,10.00,26.62,0.00,5.6,0.00,1002.32,31.5,65
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.0,08-03-2019,19:00:00,981.04,23.5,270,6.00,29.00,17.80,5.6,60.40,1003.42,28.0,92
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.5,08-03-2019,19:00:00,989.22,21.8,270,7.00,26.13,0.00,16.7,0.00,1003.48,30.7,67
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.0,08-03-2019,19:00:00,986.81,22.7,120,7.00,27.56,0.00,14.8,0.00,1003.02,32.5,69
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.3,08-03-2019,19:00:00,997.30,21.0,260,10.00,24.91,0.00,18.5,0.60,1002.45,33.4,58
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.3,08-03-2019,19:00:00,987.62,21.6,000,12.00,25.73,0.00,0.0,0.00,1000.64,32.9,63
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.3,08-03-2019,19:00:00,993.20,21.7,330,12.00,25.99,0.00,5.6,0.40,1002.41,33.4,64
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.5,08-03-2019,19:00:00,979.32,19.3,250,10.00,22.43,0.00,9.3,0.00,1000.61,34.2,51
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.4,08-03-2019,19:00:00,984.09,20.8,240,10.00,24.57,0.00,11.1,0.00,1001.30,34.4,57
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.3,08-03-2019,19:00:00,983.73,22.2,210,10.00,26.78,0.00,3.7,0.00,999.32,31.8,66
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.8,08-03-2019,19:00:00,980.98,21.3,180,10.00,25.29,0.00,7.4,0.00,999.49,33.9,57
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.2,08-03-2019,19:00:00,952.85,22.7,000,8.00,27.60,1.60,0.0,22.30,1004.17,26.2,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.4,08-03-2019,19:00:00,998.66,23.0,270,10.00,28.04,0.00,7.4,0.60,1002.57,31.8,68
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.0,08-03-2019,19:00:00,909.08,20.5,280,.15,24.15,1.60,18.5,12.80,1004.04,22.1,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,29.2,08-03-2019,19:00:00,984.66,22.1,230,10.00,26.60,0.00,5.6,0.80,1000.42,32.5,66
