WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,LandVisibility,WindSpeed,Rainfall,VaporPressure,Rainfall24Hr,WindDirection,AirTemperature,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.65,07-09-2019,13:00:00,1006.13,10.00,0.0,0.00,29.75,0.80,000,30.0,24.0,70
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,844.31,07-09-2019,13:00:00,1002.82,8.00,18.5,0.00,21.05,1.20,270,23.1,18.3,75
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.90,07-09-2019,13:00:00,1004.63,10.00,9.3,0.00,28.96,1.90,160,31.3,23.5,63
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.88,07-09-2019,13:00:00,1004.43,15.00,0.0,0.00,25.78,2.00,000,31.5,21.6,56
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,969.35,07-09-2019,13:00:00,1006.34,12.00,0.0,0.00,29.65,7.40,000,30.8,23.9,67
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,960.68,07-09-2019,13:00:00,1004.74,15.00,5.6,0.00,27.27,0.00,200,32.0,22.5,57
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.83,07-09-2019,13:00:00,1006.06,12.00,7.4,0.00,29.07,0.01,140,31.5,23.6,63
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,985.14,07-09-2019,13:00:00,1006.45,12.00,18.5,0.00,27.41,2.20,230,32.5,22.6,56
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.01,07-09-2019,13:00:00,1007.86,10.00,0.0,0.00,29.16,1.00,000,29.7,23.6,70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,971.63,07-09-2019,13:00:00,1005.34,10.00,0.0,0.00,26.97,9.90,000,32.7,22.3,55
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,979.52,07-09-2019,13:00:00,1006.40,10.00,0.0,0.00,26.39,0.60,000,33.4,22.0,51
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,972.77,07-09-2019,13:00:00,1005.37,15.00,0.0,0.00,25.13,0.00,000,34.6,21.2,46
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,987.82,07-09-2019,13:00:00,1005.96,12.00,11.1,0.00,28.41,3.60,270,32.3,23.2,59
48331,NAN,น่าน,น่าน,18.77972,100.77778,983.32,07-09-2019,13:00:00,1005.67,10.00,1.9,0.00,28.89,0.00,060,32.4,23.5,59
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,976.35,07-09-2019,13:00:00,1005.73,12.00,0.0,0.00,28.01,0.00,000,31.1,23.0,62
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,970.54,07-09-2019,13:00:00,1005.11,7.00,0.0,0.00,24.97,0.00,000,33.8,21.1,47
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,975.66,07-09-2019,13:00:00,1004.56,15.00,13.0,0.00,28.63,0.00,290,34.1,23.3,54
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,999.78,07-09-2019,13:00:00,1006.95,10.00,0.0,0.00,29.58,4.30,000,32.6,23.9,60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,985.78,07-09-2019,13:00:00,1005.19,16.00,9.3,0.00,29.95,3.80,230,33.9,24.1,57
48353,LOEI,เลย,เลย,17.45000,101.73333,977.07,07-09-2019,13:00:00,1004.90,15.00,13.0,0.00,24.80,0.00,280,35.0,21.0,44
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,986.12,07-09-2019,13:00:00,1005.84,15.00,14.8,0.00,27.59,10.10,250,33.3,22.7,54
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,984.51,07-09-2019,13:00:00,1005.81,12.00,11.1,0.00,28.81,5.40,240,32.5,23.4,59
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,986.47,07-09-2019,13:00:00,1005.56,15.00,7.4,0.00,30.44,2.50,230,32.6,24.3,62
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,989.71,07-09-2019,13:00:00,1006.13,10.00,3.7,0.00,30.24,8.00,230,32.5,24.2,62
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,989.23,07-09-2019,13:00:00,1006.27,12.00,3.7,0.00,31.20,4.10,280,33.1,24.7,62
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,979.38,07-09-2019,13:00:00,1004.54,13.00,0.0,0.00,27.43,0.00,000,33.5,22.6,53
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1000.82,07-09-2019,13:00:00,1006.49,10.00,9.3,0.00,28.97,0.00,280,33.0,23.5,58
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.66,07-09-2019,13:00:00,1006.73,12.00,9.3,0.00,28.81,0.00,310,32.5,23.4,59
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,991.17,07-09-2019,13:00:00,1007.32,10.00,0.0,0.00,28.25,0.00,000,32.5,23.1,58
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,985.21,07-09-2019,13:00:00,1007.31,10.00,5.6,0.00,27.55,8.70,240,30.0,22.7,65
48376,TAK,ตาก,ตาก,16.87833,99.14333,993.92,07-09-2019,13:00:00,1008.10,6.00,14.8,0.00,26.86,0.00,270,31.5,22.3,58
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,990.60,07-09-2019,13:00:00,1006.67,12.00,0.0,0.00,26.97,0.20,000,32.7,22.3,55
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1002.29,07-09-2019,13:00:00,1007.42,10.00,5.6,0.00,29.38,0.01,180,32.5,23.7,60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,992.71,07-09-2019,13:00:00,1005.60,12.00,9.3,0.00,28.76,1.50,260,33.6,23.4,55
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,998.11,07-09-2019,13:00:00,1007.25,11.00,3.7,0.00,27.67,0.00,120,33.2,22.8,54
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.55,07-09-2019,13:00:00,1005.68,10.00,16.7,0.00,25.21,0.00,270,34.5,21.2,46
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,988.70,07-09-2019,13:00:00,1005.67,12.00,11.1,0.00,26.78,0.00,230,36.0,22.2,45
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,989.76,07-09-2019,13:00:00,1005.25,12.00,3.7,0.00,29.46,0.00,220,33.1,23.8,58
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,986.48,07-09-2019,13:00:00,1004.88,10.00,3.7,0.00,29.71,0.00,190,34.2,23.9,55
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.07,07-09-2019,13:00:00,1008.70,11.00,0.0,0.00,25.06,4.90,000,29.8,21.1,60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.49,07-09-2019,13:00:00,1007.38,8.00,11.1,0.00,30.86,8.30,130,32.1,24.6,65
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,913.59,07-09-2019,13:00:00,1007.99,7.00,14.8,0.00,24.46,3.40,270,24.1,20.7,82
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,990.40,07-09-2019,13:00:00,1005.96,10.00,13.0,0.00,27.69,3.50,290,34.9,22.8,50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.45,07-09-2019,13:00:00,1007.39,12.00,5.6,0.00,31.69,0.00,270,34.3,25.0,59
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,997.64,07-09-2019,13:00:00,1008.12,9.00,3.7,0.00,30.28,0.00,200,32.8,24.2,61
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1006.33,07-09-2019,13:00:00,1008.22,12.00,9.3,0.00,28.84,0.00,210,33.5,23.4,56
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,985.86,07-09-2019,13:00:00,1006.26,10.00,13.0,0.00,27.54,4.20,240,33.7,22.7,53
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,988.10,07-09-2019,13:00:00,1005.32,10.00,11.1,0.00,26.21,0.00,210,34.3,21.9,48
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.47,07-09-2019,13:00:00,1005.19,10.00,13.0,0.00,26.92,0.00,230,34.8,22.3,48
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.87,07-09-2019,13:00:00,1006.61,10.00,9.3,0.00,28.64,2.80,240,33.4,23.3,56
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.19,07-09-2019,13:00:00,1007.74,10.00,3.7,0.00,30.99,7.80,170,33.0,24.6,62
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,993.42,07-09-2019,13:00:00,1007.78,10.00,18.5,0.00,28.96,0.00,250,33.7,23.5,55
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1004.41,07-09-2019,13:00:00,1007.35,10.00,0.0,0.00,25.70,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",35.6,21.5,44
