WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,MeanSeaLevelPressure,VaporPressure,AirTemperature,Rainfall,Rainfall24Hr,LandVisibility,WindDirection,WindSpeed,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.6,10-06-2019,22:00:00,982.46,1013.80,27.34,23.9,3.20,3.20,8.00,000,0.0,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.6,10-06-2019,22:00:00,852.61,1014.41,22.83,20.1,0.00,0.00,8.00,200,9.3,97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.7,10-06-2019,22:00:00,969.25,1013.38,26.01,24.0,0.00,0.01,10.00,350,1.9,87
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.1,10-06-2019,22:00:00,967.30,1013.43,26.66,23.5,0.00,1.00,10.00,000,0.0,92
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,22.2,10-06-2019,22:00:00,976.10,1014.35,26.83,23.0,0.00,0.90,6.00,000,0.0,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.1,10-06-2019,22:00:00,968.27,1013.97,26.66,23.5,0.00,2.50,10.00,000,0.0,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.8,10-06-2019,22:00:00,986.71,1013.84,27.66,23.5,0.00,3.00,6.00,000,0.0,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.2,10-06-2019,22:00:00,990.38,1012.39,28.37,24.5,0.00,3.00,8.00,000,0.0,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.4,10-06-2019,22:00:00,988.54,1013.00,27.08,23.6,0.90,0.90,8.00,000,0.0,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.4,10-06-2019,22:00:00,978.47,1013.39,27.01,24.3,0.00,16.50,10.00,000,0.0,89
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.2,10-06-2019,22:00:00,985.26,1013.11,26.76,24.6,0.00,0.10,10.00,000,0.0,87
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,22.1,10-06-2019,22:00:00,979.40,1013.44,26.67,23.8,0.00,0.00,8.00,000,0.0,91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.2,10-06-2019,22:00:00,993.42,1012.05,30.11,25.9,0.00,0.00,5.00,000,0.0,90
48331,NAN,น่าน,น่าน,18.77972,100.77778,22.6,10-06-2019,22:00:00,989.90,1013.02,27.34,24.2,0.00,0.00,10.00,000,0.0,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.1,10-06-2019,22:00:00,982.81,1013.25,24.96,22.6,0.00,0.00,8.00,000,0.0,91
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.8,10-06-2019,22:00:00,976.57,1012.45,29.41,24.5,0.00,0.00,7.00,000,0.0,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,21.5,10-06-2019,22:00:00,982.28,1012.48,25.60,23.0,0.00,1.00,7.00,000,0.0,91
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,22.2,10-06-2019,22:00:00,1003.97,1011.28,26.80,28.0,0.00,0.00,9.00,000,0.0,71
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,22.9,10-06-2019,22:00:00,991.80,1011.71,27.85,28.0,0.00,0.00,6.00,210,3.7,74
48353,LOEI,เลย,เลย,17.45000,101.73333,21.5,10-06-2019,22:00:00,983.55,1012.56,25.60,24.5,0.00,8.60,10.00,250,3.7,83
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.5,10-06-2019,22:00:00,992.01,1012.29,30.81,26.7,0.00,17.00,10.00,000,0.0,88
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,23.3,10-06-2019,22:00:00,991.85,1013.86,28.56,24.9,0.60,6.50,9.00,000,0.0,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,22.8,10-06-2019,22:00:00,992.86,1012.54,27.81,25.5,0.00,0.01,10.00,220,1.9,85
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.2,10-06-2019,22:00:00,996.14,1013.10,26.68,24.7,0.00,9.00,12.00,000,0.0,86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.7,10-06-2019,22:00:00,995.66,1013.33,27.60,24.2,0.00,0.00,10.00,000,0.0,91
