WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,LandVisibility,VaporPressure,MeanSeaLevelPressure,WindDirection,AirTemperature,StationPressure,WindSpeed,RelativeHumidity,Rainfall,DewPoint,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-09-2019,10:00:00,10.00,25.74,1014.14,000,27.4,983.15,0.0,71,0.00,21.6,3.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-09-2019,10:00:00,8.00,20.35,1011.90,130,21.5,851.19,7.4,79,0.00,17.8,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-09-2019,10:00:00,10.00,25.24,1014.02,000,28.0,970.44,0.0,67,0.00,21.3,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-09-2019,10:00:00,15.00,24.48,1012.64,000,28.0,967.21,0.0,65,0.00,20.8,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-09-2019,10:00:00,12.00,27.36,1014.69,000,27.0,976.93,0.0,77,0.00,22.6,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-09-2019,10:00:00,5.00,28.78,1014.24,000,27.2,969.07,0.0,80,0.00,23.4,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-09-2019,10:00:00,8.00,28.65,1014.98,150,28.0,988.21,5.6,76,0.00,23.3,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-09-2019,10:00:00,8.00,29.30,1013.16,160,30.2,991.54,3.7,68,0.00,23.7,1.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-09-2019,10:00:00,10.00,27.90,1014.23,000,27.3,990.04,0.0,77,0.00,22.9,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-09-2019,10:00:00,12.00,25.71,1014.19,080,29.0,979.77,5.6,64,0.00,21.6,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-09-2019,10:00:00,10.00,27.85,1013.92,000,28.0,986.36,0.0,74,0.10,22.9,6.30
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-09-2019,10:00:00,10.00,26.98,1014.06,000,28.1,980.48,0.0,71,0.00,22.3,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-09-2019,10:00:00,5.00,31.88,1013.32,000,30.5,994.94,0.0,73,0.00,25.1,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-09-2019,10:00:00,10.00,27.77,1014.30,000,29.4,991.53,0.0,68,0.00,22.8,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-09-2019,10:00:00,12.00,28.86,1014.63,000,28.4,984.73,0.0,75,0.00,23.5,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-09-2019,10:00:00,8.00,27.85,1013.93,000,28.0,978.40,0.0,74,0.00,22.9,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-09-2019,10:00:00,15.00,28.37,1013.40,050,29.0,983.76,3.7,71,0.00,23.2,0.10
