WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,WindDirection,DewPoint,WindSpeed,MinimumTemperature,Rainfall,StationPressure,VaporPressure,MeanSeaLevelPressure,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-26-2019,07:00:00,6.00,000,22.8,0.0,21.8,0.00,985.07,27.66,1016.54,23.5,96
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-26-2019,07:00:00,8.00,120,13.7,9.3,16.0,0.00,852.17,15.65,1015.91,16.7,82
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-26-2019,07:00:00,10.00,000,24.5,0.0,20.3,0.00,973.04,30.73,1017.06,25.8,93
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-26-2019,07:00:00,12.00,000,19.2,0.0,18.0,0.00,971.19,22.24,1018.07,20.0,95
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-26-2019,07:00:00,8.00,000,19.7,0.0,19.4,0.00,979.27,22.95,1017.97,20.5,95
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-26-2019,07:00:00,7.00,000,20.7,0.0,20.5,0.00,972.00,24.44,1018.19,21.5,95
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-26-2019,07:00:00,6.00,000,20.1,0.0,20.9,0.00,990.49,23.52,1017.95,21.2,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-26-2019,07:00:00,4.00,000,21.9,0.0,22.4,0.00,993.73,26.33,1015.95,22.7,96
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-26-2019,07:00:00,5.00,000,22.1,0.0,21.0,0.00,992.52,26.66,1017.11,23.2,94
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,09-26-2019,07:00:00,9.00,000,20.3,0.0,22.8,0.00,981.49,23.76,1016.65,23.2,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-26-2019,07:00:00,7.00,000,21.7,0.0,22.0,0.00,988.82,26.01,1016.97,22.5,95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-26-2019,07:00:00,7.00,000,21.9,0.0,22.6,0.00,982.63,26.25,1016.89,22.8,95
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-26-2019,07:00:00,2.00,000,23.3,0.0,22.8,0.00,997.30,28.54,1016.11,24.3,94
