WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,WindDirection,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,StationPressure,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-08-2019,22:00:00,27.2,000,0.10,92,1.00,1004.67,33.17,973.95,25.8,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.5,08-08-2019,22:00:00,20.8,270,0.00,93,0.30,1001.77,22.71,842.33,19.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-08-2019,22:00:00,29.0,000,0.00,78,0.00,1001.81,31.41,958.89,24.9,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-08-2019,22:00:00,28.3,000,0.00,82,0.00,1002.24,31.70,957.33,25.0,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-08-2019,22:00:00,27.2,000,0.00,87,0.00,1002.89,31.49,965.59,24.9,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-08-2019,22:00:00,26.5,000,0.00,89,0.00,1003.47,30.97,958.68,24.6,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-08-2019,22:00:00,29.5,000,0.01,86,0.01,1002.89,35.65,976.57,27.0,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,9.3,08-08-2019,22:00:00,28.7,250,0.00,74,2.10,1003.55,29.16,982.04,23.6,13.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-08-2019,22:00:00,26.0,000,0.00,96,5.00,1005.78,32.20,981.68,25.3,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-08-2019,22:00:00,28.8,000,0.00,74,0.01,1003.12,29.35,969.05,23.7,10.00
