WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,LandVisibility,AirTemperature,WindSpeed,StationPressure,RelativeHumidity,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,4.60,08-02-2019,01:00:00,3.60,6.00,25.1,0.0,974.50,95,000,1005.46,30.23,24.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,30.10,08-02-2019,01:00:00,0.00,8.00,18.8,5.6,842.38,99,270,1003.01,21.46,18.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.50,08-02-2019,01:00:00,0.00,10.00,24.7,0.0,959.84,86,000,1003.43,26.68,22.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,28.80,08-02-2019,01:00:00,0.00,12.00,23.7,0.0,958.38,94,000,1004.05,27.50,22.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-02-2019,01:00:00,0.00,6.00,26.1,0.0,966.65,94,000,1004.13,31.85,25.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,7.20,08-02-2019,01:00:00,0.00,8.00,24.0,9.3,959.32,91,150,1004.53,27.25,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.60,08-02-2019,01:00:00,0.00,7.00,26.5,0.0,978.13,86,000,1004.76,29.62,23.9
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.50,08-02-2019,01:00:00,0.00,10.00,24.9,1.9,983.08,94,280,1004.90,29.61,23.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,12.70,08-02-2019,01:00:00,4.70,6.00,24.8,0.0,982.38,93,000,1006.59,29.16,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,11.40,08-02-2019,01:00:00,0.00,10.00,25.9,0.0,969.85,93,000,1004.28,30.92,24.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,22.70,08-02-2019,01:00:00,0.20,10.00,25.0,0.0,978.31,96,000,1005.92,30.32,24.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,6.50,08-02-2019,01:00:00,0.00,10.00,26.2,0.0,970.89,89,000,1004.36,30.13,24.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,14.00,08-02-2019,01:00:00,0.00,10.00,25.6,13.0,986.03,89,210,1004.54,29.29,23.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.50,08-02-2019,01:00:00,0.00,10.00,26.1,0.0,981.13,89,000,1003.90,29.95,24.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1.90,08-02-2019,01:00:00,0.00,8.00,25.0,0.0,974.23,92,000,1004.15,29.00,23.5
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,38.40,08-02-2019,01:00:00,0.70,6.00,25.5,0.0,968.33,96,000,1003.80,31.25,24.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1.80,08-02-2019,01:00:00,0.00,12.00,26.4,5.6,972.99,75,290,1002.57,25.79,21.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.80,08-02-2019,01:00:00,0.00,8.00,25.6,0.0,997.74,87,000,1005.06,28.51,23.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.90,08-02-2019,01:00:00,0.00,12.00,27.0,9.3,982.55,84,140,1002.34,30.02,24.1
48353,LOEI,เลย,เลย,17.45000,101.73333,0.30,08-02-2019,01:00:00,0.00,13.00,27.2,11.1,974.59,73,200,1003.07,26.41,22.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,18.70,08-02-2019,01:00:00,0.00,12.00,26.5,7.4,982.89,84,240,1003.00,29.08,23.6
