WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,AirTemperature,MeanSeaLevelPressure,LandVisibility,VaporPressure,DewPoint,Rainfall24Hr,Rainfall,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,975.18,07-19-2019,10:00:00,3.7,30.8,1005.57,12.00,28.81,23.4,0.00,0.00,120,65
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.80,07-19-2019,10:00:00,9.3,22.0,1002.84,8.00,22.18,19.2,4.00,0.00,300,84
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,960.67,07-19-2019,10:00:00,7.4,32.4,1003.18,15.00,27.49,22.6,0.00,0.00,190,57
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.12,07-19-2019,10:00:00,0.0,32.6,1003.47,15.00,28.17,23.0,0.00,0.00,000,57
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.03,07-19-2019,10:00:00,0.0,33.5,1003.60,12.00,28.84,23.4,0.00,0.00,000,56
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.47,07-19-2019,10:00:00,5.6,33.5,1003.25,15.00,26.31,21.9,0.00,0.00,050,51
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.57,07-19-2019,10:00:00,3.7,33.3,1004.61,12.00,30.74,24.5,0.00,0.00,180,60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.55,07-19-2019,10:00:00,3.7,32.9,1004.80,15.00,25.71,21.5,0.00,0.00,260,51
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.71,07-19-2019,10:00:00,0.0,30.4,1006.47,10.00,28.59,23.3,0.00,0.00,000,66
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.67,07-19-2019,10:00:00,0.0,32.8,1004.34,10.00,27.72,22.8,0.00,0.00,000,56
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,977.58,07-19-2019,10:00:00,3.7,33.6,1004.39,10.00,27.34,22.6,0.00,0.00,310,53
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,971.53,07-19-2019,10:00:00,0.0,32.6,1004.30,15.00,26.23,21.9,0.00,0.00,000,53
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,986.37,07-19-2019,10:00:00,7.4,33.3,1004.42,12.00,30.45,24.3,0.00,0.00,240,60
48331,NAN,น่าน,น่าน,18.77972,100.77778,980.86,07-19-2019,10:00:00,0.0,33.0,1003.11,10.00,30.11,24.2,0.00,0.00,000,60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,975.22,07-19-2019,10:00:00,0.0,32.0,1004.48,12.00,30.94,24.6,0.00,0.00,000,65
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,969.25,07-19-2019,10:00:00,7.4,34.0,1003.75,7.00,27.01,22.4,0.00,0.00,300,51
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,974.95,07-19-2019,10:00:00,7.4,32.3,1004.01,15.00,31.56,24.9,0.50,0.00,040,65
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,998.38,07-19-2019,10:00:00,3.7,32.8,1005.54,14.00,29.42,23.8,0.00,0.00,180,59
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,984.23,07-19-2019,10:00:00,3.7,32.4,1003.70,15.00,34.16,26.3,0.00,0.00,210,70
48353,LOEI,เลย,เลย,17.45000,101.73333,976.25,07-19-2019,10:00:00,5.6,33.0,1004.23,15.00,29.83,24.0,0.00,0.00,070,59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,984.65,07-19-2019,10:00:00,11.1,33.2,1004.34,18.00,30.82,24.5,0.00,0.00,280,61
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,983.27,07-19-2019,10:00:00,5.6,33.0,1004.51,12.00,32.16,25.3,0.00,0.00,230,64
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,985.06,07-19-2019,10:00:00,3.7,32.0,1004.16,14.00,31.52,24.9,0.00,0.00,210,66
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,988.66,07-19-2019,10:00:00,0.0,31.0,1005.15,12.00,32.34,25.4,0.00,0.00,000,72
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,988.24,07-19-2019,10:00:00,3.7,32.8,1005.28,12.00,34.13,26.3,0.00,0.00,120,69
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,978.80,07-19-2019,10:00:00,0.0,32.1,1004.06,12.00,29.99,24.1,0.00,0.00,000,63
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.91,07-19-2019,10:00:00,9.3,33.5,1004.57,10.00,28.84,23.4,0.00,0.00,280,56
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.94,07-19-2019,10:00:00,7.4,33.2,1004.99,12.00,29.66,23.9,0.00,0.00,330,58
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,989.81,07-19-2019,10:00:00,0.0,32.5,1005.93,10.00,29.66,23.9,0.00,0.00,000,61
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,982.82,07-19-2019,10:00:00,3.7,29.0,1004.94,10.00,29.74,23.9,0.00,0.00,180,74
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.70,07-19-2019,10:00:00,16.7,32.4,1005.82,10.00,27.22,22.5,0.00,0.00,260,56
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,989.03,07-19-2019,10:00:00,11.1,32.8,1005.07,7.00,28.00,23.0,0.00,0.00,240,56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.16,07-19-2019,10:00:00,7.4,31.8,1005.30,10.00,30.24,24.2,0.00,0.00,010,64
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,991.04,07-19-2019,10:00:00,0.0,33.0,1003.94,12.00,29.83,24.0,0.00,0.00,000,59
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.79,07-19-2019,10:00:00,5.6,33.5,1004.90,12.00,26.87,22.3,0.00,0.00,220,52
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.99,07-19-2019,10:00:00,3.7,32.2,1004.25,9.00,30.20,24.2,15.30,0.00,210,63
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.77,07-19-2019,10:00:00,3.7,33.2,1004.88,10.00,32.89,25.6,28.70,0.00,230,65
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,988.84,07-19-2019,10:00:00,3.7,32.1,1004.37,12.00,32.02,25.2,0.00,0.00,200,67
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.98,07-19-2019,10:00:00,7.4,33.0,1003.42,10.00,29.54,23.8,0.01,0.00,190,59
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.58,07-19-2019,10:00:00,0.0,28.0,1007.44,11.00,26.02,21.7,0.00,0.00,000,69
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.89,07-19-2019,10:00:00,0.0,32.9,1004.76,8.00,30.49,24.4,0.00,0.00,000,61
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.04,07-19-2019,10:00:00,7.4,24.9,1006.02,8.00,25.02,21.1,0.00,0.00,210,80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,988.64,07-19-2019,10:00:00,9.3,33.0,1004.27,10.00,31.57,24.9,0.00,0.00,200,63
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.03,07-19-2019,10:00:00,0.0,32.5,1004.98,12.00,32.58,25.5,0.00,0.00,000,67
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.50,07-19-2019,10:00:00,0.0,32.0,1005.99,10.00,30.65,24.5,0.00,0.00,000,64
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.87,07-19-2019,10:00:00,0.0,32.3,1005.77,12.00,30.12,24.2,0.00,0.00,000,62
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.35,07-19-2019,10:00:00,14.8,33.1,1004.75,12.00,28.32,23.1,0.00,0.00,230,56
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,987.17,07-19-2019,10:00:00,9.3,33.0,1004.45,10.00,29.54,23.8,0.00,0.00,250,59
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,988.28,07-19-2019,10:00:00,7.4,32.7,1004.10,10.00,32.41,25.4,0.00,0.00,200,66
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,991.57,07-19-2019,10:00:00,7.4,31.7,1005.36,10.00,30.04,24.1,0.00,0.00,240,64
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,991.21,07-19-2019,10:00:00,0.0,31.3,1005.82,10.00,32.10,25.2,0.00,0.00,000,70
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.38,07-19-2019,10:00:00,9.3,32.0,1005.79,10.00,33.88,26.1,2.70,0.00,240,71
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.26,07-19-2019,10:00:00,0.0,33.5,1005.21,10.00,27.71,22.8,0.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",54
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.21,07-19-2019,10:00:00,0.0,32.1,1005.01,10.00,30.28,24.2,0.00,0.00,000,63
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.23,07-19-2019,10:00:00,13.0,31.6,1005.32,8.00,30.41,24.3,0.00,0.00,230,65
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.50,07-19-2019,10:00:00,0.0,31.0,1005.98,8.00,30.05,24.1,0.00,0.00,000,67
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.47,07-19-2019,10:00:00,0.0,21.1,1005.60,.05,24.77,20.9,37.40,0.00,000,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.67,07-19-2019,10:00:00,5.6,32.2,1005.44,10.00,33.42,25.9,0.00,0.00,220,70
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.76,07-19-2019,10:00:00,5.6,33.3,1005.55,12.00,35.25,26.8,0.00,0.00,230,69
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.60,07-19-2019,10:00:00,14.8,31.7,1006.04,10.00,31.77,25.0,0.00,0.00,230,68
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.42,07-19-2019,10:00:00,5.6,31.1,1006.57,8.00,31.39,24.8,10.00,0.00,010,69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.45,07-19-2019,10:00:00,0.0,33.0,1005.44,12.00,29.25,23.7,0.01,0.00,000,58
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.85,07-19-2019,10:00:00,7.4,32.4,1005.64,10.00,29.75,24.0,0.00,0.00,210,61
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.28,07-19-2019,10:00:00,0.0,33.5,1005.03,9.00,27.99,22.9,0.00,0.00,000,54
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.32,07-19-2019,10:00:00,14.8,31.9,1006.01,10.00,29.31,23.7,15.00,0.00,270,62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.26,07-19-2019,10:00:00,3.7,33.6,1005.95,12.00,30.20,24.2,0.00,0.00,250,58
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.35,07-19-2019,10:00:00,5.6,33.2,1005.04,12.00,29.66,23.9,1.90,0.00,250,58
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.00,07-19-2019,10:00:00,9.3,31.1,1005.46,9.00,30.82,24.5,0.00,0.00,250,68
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.63,07-19-2019,10:00:00,3.7,31.2,1005.82,10.00,31.31,24.8,0.00,0.00,360,69
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.70,07-19-2019,10:00:00,5.6,32.3,1005.14,10.00,28.98,23.5,0.00,0.00,260,60
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.82,07-19-2019,10:00:00,14.8,29.3,1005.67,10.00,26.52,22.1,0.00,0.00,230,65
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.85,07-19-2019,10:00:00,7.4,32.4,1005.01,11.00,29.75,24.0,7.60,0.00,210,61
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.66,07-19-2019,10:00:00,11.1,31.2,1007.20,10.00,32.18,25.3,0.00,0.00,250,71
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.59,07-19-2019,10:00:00,9.3,31.5,1006.01,10.00,29.07,23.6,0.00,0.00,130,63
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.44,07-19-2019,10:00:00,0.0,31.4,1005.84,10.00,33.19,25.8,0.00,0.00,000,72
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.03,07-19-2019,10:00:00,0.0,31.0,1005.89,10.00,33.81,26.1,32.30,0.00,000,75
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.66,07-19-2019,10:00:00,3.7,33.6,1005.88,12.00,27.62,22.7,0.00,0.00,330,53
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.66,07-19-2019,10:00:00,7.4,33.1,1005.74,11.00,30.03,24.1,0.10,0.00,280,59
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.72,07-19-2019,10:00:00,5.6,33.1,1006.02,10.00,30.03,24.1,0.00,0.00,230,59
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.98,07-19-2019,10:00:00,5.6,33.2,1005.65,12.00,29.66,23.9,0.00,0.00,230,58
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.29,07-19-2019,10:00:00,7.4,32.5,1005.77,10.00,29.95,24.1,0.00,0.00,300,61
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.32,07-19-2019,10:00:00,20.4,32.2,1005.70,10.00,30.20,24.2,0.00,0.00,250,63
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.53,07-19-2019,10:00:00,13.0,30.0,1006.19,12.00,30.87,24.6,0.00,0.00,210,73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.84,07-19-2019,10:00:00,5.6,31.0,1007.75,10.00,29.76,24.0,0.40,0.00,230,66
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.57,07-19-2019,10:00:00,0.0,32.8,1005.85,12.00,31.15,24.7,0.00,0.00,000,63
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.11,07-19-2019,10:00:00,0.0,31.2,1005.19,10.00,30.73,24.5,0.00,0.00,000,68
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.57,07-19-2019,10:00:00,7.4,30.7,1006.42,12.00,30.58,24.4,0.00,0.00,270,69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.74,07-19-2019,10:00:00,7.4,32.6,1006.23,9.00,32.20,25.3,0.00,0.00,270,65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,997.15,07-19-2019,10:00:00,11.1,31.0,1006.33,12.00,29.48,23.8,0.00,0.00,260,66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.02,07-19-2019,10:00:00,0.0,32.3,1011.27,15.00,29.54,23.8,0.00,0.00,000,61
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.36,07-19-2019,10:00:00,14.8,32.4,1005.78,11.00,27.77,22.8,0.90,0.00,270,57
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,993.96,07-19-2019,10:00:00,9.3,31.1,1006.04,10.00,29.68,23.9,0.00,0.00,150,66
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.23,07-19-2019,10:00:00,7.4,31.8,1005.93,10.00,31.10,24.7,0.00,0.00,090,66
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.29,07-19-2019,10:00:00,14.8,32.7,1006.68,10.00,30.94,24.6,0.01,0.00,150,63
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.47,07-19-2019,10:00:00,11.1,30.0,1006.99,10.00,32.30,25.3,0.00,0.00,280,76
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.59,07-19-2019,10:00:00,5.6,31.4,1006.66,12.00,30.28,24.3,0.00,0.00,180,66
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.80,07-19-2019,10:00:00,0.0,25.1,1007.22,6.00,30.50,24.4,48.90,24.80,000,96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.79,07-19-2019,10:00:00,0.0,25.5,1007.57,8.00,32.07,25.2,75.60,10.60,000,98
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.56,07-19-2019,10:00:00,14.8,32.0,1007.33,10.00,27.82,22.8,0.00,0.00,350,59
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.30,07-19-2019,10:00:00,5.6,25.4,1007.77,3.00,31.87,25.1,115.10,23.00,120,98
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.48,07-19-2019,10:00:00,3.7,28.5,1007.16,8.00,30.98,24.6,32.90,0.00,020,80
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.29,07-19-2019,10:00:00,5.6,29.4,1006.81,10.00,32.22,25.3,19.40,0.00,220,79
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.50,07-19-2019,10:00:00,7.4,28.5,1007.42,10.00,32.96,25.7,50.80,0.70,200,85
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.06,07-19-2019,10:00:00,5.6,29.0,1007.75,12.00,31.13,24.7,33.80,0.00,270,78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.52,07-19-2019,10:00:00,7.4,27.5,1008.31,10.00,32.36,25.4,9.30,0.00,180,88
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.04,07-19-2019,10:00:00,0.0,29.0,1007.67,10.00,30.85,24.6,19.60,0.00,000,77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.86,07-19-2019,10:00:00,0.0,29.0,1008.27,10.00,31.41,24.9,26.20,0.00,000,78
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.32,07-19-2019,10:00:00,9.3,29.5,1009.50,8.00,29.88,24.0,3.00,0.00,220,72
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.11,07-19-2019,10:00:00,0.0,28.8,1009.72,12.00,31.29,24.8,23.60,0.00,000,79
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.22,07-19-2019,10:00:00,0.0,28.5,1008.68,10.00,32.10,25.2,14.00,0.00,000,83
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.80,07-19-2019,10:00:00,5.6,26.8,1008.16,7.00,32.38,25.4,8.60,4.40,280,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.27,07-19-2019,10:00:00,0.0,25.0,1008.16,8.00,30.85,24.6,290.20,18.80,000,97
