WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,AirTemperature,LandVisibility,MeanSeaLevelPressure,VaporPressure,WindDirection,Rainfall24Hr,StationPressure,Rainfall,RelativeHumidity
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.1,09-02-2019,13:00:00,0.0,29.4,10.00,1006.37,31.93,000,1.40,1000.54,0.20,78
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.3,09-02-2019,13:00:00,14.8,31.0,9.00,1007.22,28.65,240,0.10,1006.43,0.00,64
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.9,09-02-2019,13:00:00,18.5,30.4,10.00,1006.82,29.70,230,0.01,1006.38,0.00,68
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.3,09-02-2019,13:00:00,9.3,28.2,6.00,1008.00,30.40,350,16.80,996.73,0.20,80
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,22.7,09-02-2019,13:00:00,9.3,32.0,12.00,1006.62,27.55,270,4.00,1005.63,0.00,58
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.0,09-02-2019,13:00:00,11.1,31.0,10.00,1006.71,28.09,200,2.20,1004.91,0.01,63
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,20.9,09-02-2019,13:00:00,11.1,32.1,9.00,1006.38,24.75,270,0.01,1005.62,0.00,52
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,22.1,09-02-2019,13:00:00,16.7,30.2,10.00,1007.14,26.58,280,10.80,1006.45,0.00,62
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.1,09-02-2019,13:00:00,5.6,30.8,7.00,1006.23,29.93,280,1.00,1005.54,0.10,67
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.3,09-02-2019,13:00:00,5.6,26.5,7.00,1006.31,30.43,270,4.70,985.13,1.20,88
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.0,09-02-2019,13:00:00,0.0,25.5,7.00,1006.10,29.91,000,18.30,989.32,0.50,92
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.8,09-02-2019,13:00:00,3.7,26.0,5.00,1006.38,29.50,270,17.60,989.90,0.50,88
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.4,09-02-2019,13:00:00,0.0,26.3,4.00,1006.25,30.59,000,4.50,984.36,3.50,89
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.3,09-02-2019,13:00:00,22.2,27.1,10.00,1006.37,28.59,220,12.30,963.18,0.70,80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.2,09-02-2019,13:00:00,7.4,26.2,10.00,1006.45,30.13,240,6.60,985.85,3.00,89
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.7,09-02-2019,13:00:00,11.1,25.6,5.00,1007.36,31.17,250,18.00,986.44,0.20,95
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,22.5,09-02-2019,13:00:00,22.2,29.3,10.00,1007.13,27.32,320,0.01,1006.69,0.00,67
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.9,09-02-2019,13:00:00,0.0,29.0,10.00,1006.37,33.41,000,0.10,1004.96,0.10,83
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.3,09-02-2019,13:00:00,0.0,27.7,8.00,1006.40,34.19,000,6.60,1001.48,0.70,92
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.5,09-02-2019,13:00:00,9.3,29.4,12.00,1007.24,27.24,270,0.10,1003.98,0.00,66
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.3,09-02-2019,13:00:00,14.8,31.1,10.00,1007.14,28.56,290,2.10,1006.05,0.00,63
