WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,Rainfall24Hr,DewPoint,Rainfall,MeanSeaLevelPressure,WindDirection,MinimumTemperature,AirTemperature,WindSpeed,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,29.04,09-13-2019,07:00:00,97,4.00,23.6,0.00,1011.19,000,23.8,24.0,0.0,3.00,979.94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.41,09-13-2019,07:00:00,99,11.00,17.8,6.30,1009.39,300,17.8,18.0,9.3,6.00,847.35
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.41,09-13-2019,07:00:00,96,0.20,23.8,0.00,1010.53,090,24.0,24.5,1.9,.80,966.60
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,29.04,09-13-2019,07:00:00,97,0.00,23.6,0.00,1009.80,000,22.0,24.0,0.0,15.00,963.91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.68,09-13-2019,07:00:00,99,0.00,23.3,0.00,1009.93,000,23.0,23.5,0.0,10.00,971.92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,29.16,09-13-2019,07:00:00,93,0.00,23.6,0.00,1009.59,000,23.0,24.8,0.0,10.00,964.28
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.05,09-13-2019,07:00:00,95,0.00,24.1,0.00,1011.15,000,24.4,25.0,0.0,9.00,984.22
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.97,09-13-2019,07:00:00,95,0.00,23.5,0.00,1010.43,000,24.1,24.4,0.0,15.00,988.46
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.52,09-13-2019,07:00:00,97,5.00,23.3,0.00,1012.15,000,22.6,23.7,0.0,6.00,987.72
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.78,09-13-2019,07:00:00,90,20.80,22.8,0.00,1010.47,000,24.1,24.6,0.0,10.00,975.68
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.69,09-13-2019,07:00:00,97,19.10,23.4,0.00,1010.87,000,23.5,23.8,0.0,10.00,983.02
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.36,09-13-2019,07:00:00,94,1.00,23.2,0.00,1010.51,000,24.0,24.2,0.0,10.00,976.62
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.05,09-13-2019,07:00:00,95,1.80,24.1,0.00,1010.24,000,24.5,25.0,0.0,10.00,991.58
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.16,09-13-2019,07:00:00,93,0.00,23.6,0.00,1010.06,000,24.4,24.8,0.0,10.00,987.05
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,27.25,09-13-2019,07:00:00,91,0.00,22.5,0.00,1010.30,000,23.8,24.0,0.0,10.00,980.09
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.77,09-13-2019,07:00:00,98,3.80,23.4,0.00,1010.59,000,23.5,23.7,0.0,8.00,974.68
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.86,09-13-2019,07:00:00,97,0.00,23.5,0.00,1009.46,000,23.2,23.9,0.0,12.00,979.44
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.84,09-13-2019,07:00:00,92,0.00,24.6,0.00,1010.07,000,26.0,26.0,0.0,10.00,1002.72
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,32.18,09-13-2019,07:00:00,97,12.80,25.3,1.20,1008.91,210,25.0,25.7,3.7,11.00,988.90
48353,LOEI,เลย,เลย,17.45000,101.73333,28.21,09-13-2019,07:00:00,91,0.00,23.1,0.00,1009.60,250,24.5,24.7,3.7,12.00,980.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.00,09-13-2019,07:00:00,93,3.40,24.6,2.90,1009.91,000,25.0,25.8,0.0,12.00,989.62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.91,09-13-2019,07:00:00,92,0.00,24.0,0.00,1009.90,000,25.0,25.5,0.0,12.00,988.02
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.19,09-13-2019,07:00:00,93,0.00,24.7,0.00,1009.19,000,25.0,25.9,0.0,12.00,989.61
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,29.72,09-13-2019,07:00:00,92,0.01,23.9,0.00,1010.09,000,24.6,25.4,0.0,10.00,993.22
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.17,09-13-2019,07:00:00,95,24.10,24.7,0.00,1010.15,000,22.9,25.6,0.0,11.00,992.62
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.60,09-13-2019,07:00:00,97,0.60,25.0,0.60,1008.33,000,25.0,25.4,0.0,8.00,982.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,29.95,09-13-2019,07:00:00,89,0.00,24.1,0.00,1009.44,270,23.4,26.1,3.7,10.00,1003.62
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.11,09-13-2019,07:00:00,89,0.00,23.6,0.00,1010.04,000,24.9,25.5,0.0,12.00,1003.80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.63,09-13-2019,07:00:00,93,0.00,24.4,0.00,1010.36,000,25.0,25.6,0.0,10.00,993.79
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,28.10,09-13-2019,07:00:00,95,0.20,23.0,0.00,1010.23,000,23.0,23.9,0.0,10.00,987.62
48376,TAK,ตาก,ตาก,16.87833,99.14333,26.22,09-13-2019,07:00:00,76,0.00,21.9,0.00,1010.60,260,25.0,26.5,7.4,8.00,996.14
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.21,09-13-2019,07:00:00,83,0.00,22.5,0.00,1010.37,000,25.2,25.6,0.0,8.00,993.86
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.00,09-13-2019,07:00:00,93,0.00,24.6,0.00,1010.05,000,25.0,25.8,0.0,10.00,1004.78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.98,09-13-2019,07:00:00,95,0.00,24.6,0.00,1008.37,000,24.8,25.5,0.0,10.00,995.09
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.59,09-13-2019,07:00:00,88,0.00,23.3,0.00,1009.85,260,25.0,25.5,3.7,12.00,1000.45
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,29.69,09-13-2019,07:00:00,95,0.20,23.9,0.20,1009.67,300,24.5,24.8,3.7,7.00,987.77
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.84,09-13-2019,07:00:00,92,3.70,24.6,0.00,1009.55,060,23.6,26.0,3.7,10.00,991.95
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.67,09-13-2019,07:00:00,97,35.80,23.9,0.00,1009.31,250,23.5,24.5,3.7,10.00,993.31
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.23,09-13-2019,07:00:00,95,0.80,24.2,0.80,1008.56,000,24.7,25.1,0.0,6.00,989.53
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.44,09-13-2019,07:00:00,95,0.00,20.7,0.00,1013.47,000,21.0,21.5,0.0,7.00,961.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.08,09-13-2019,07:00:00,84,1.00,23.6,0.00,1009.60,000,26.2,26.5,0.0,7.00,1005.63
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.91,09-13-2019,07:00:00,98,0.70,19.7,0.40,1012.37,240,19.5,20.0,11.1,.10,916.32
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.04,09-13-2019,07:00:00,97,13.30,24.7,0.30,1009.15,000,23.7,25.1,0.0,6.00,993.03
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.38,09-13-2019,07:00:00,90,0.01,23.7,0.00,1009.86,000,25.1,25.5,0.0,10.00,1005.80
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.28,09-13-2019,07:00:00,92,0.00,24.2,0.00,1010.70,000,25.0,25.7,0.0,8.00,999.94
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.08,09-13-2019,07:00:00,84,0.00,23.6,0.00,1010.27,000,26.0,26.5,0.0,12.00,1008.33
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.26,09-13-2019,07:00:00,85,0.01,23.1,0.00,1009.07,000,23.0,25.9,0.0,10.00,988.09
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.32,09-13-2019,07:00:00,96,5.10,24.3,3.60,1009.70,000,24.0,25.0,0.0,10.00,991.87
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,31.49,09-13-2019,07:00:00,98,7.00,24.9,2.10,1009.28,110,24.5,25.2,5.6,8.00,992.99
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.54,09-13-2019,07:00:00,94,75.30,23.3,0.70,1009.27,310,23.2,24.3,5.6,10.00,995.08
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.41,09-13-2019,07:00:00,96,26.20,23.8,0.00,1010.01,000,23.2,24.5,0.0,9.00,995.02
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.97,09-13-2019,07:00:00,95,17.20,23.5,17.00,1010.42,000,22.8,24.4,0.0,7.00,995.57
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.93,09-13-2019,07:00:00,82,0.00,22.9,0.00,1009.28,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.8,26.3,0.0,10.00,1006.24
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,32.26,09-13-2019,07:00:00,93,0.00,25.3,0.00,1009.71,000,25.2,26.6,0.0,10.00,1001.73
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.97,09-13-2019,07:00:00,89,0.00,24.6,0.00,1009.83,090,25.2,26.5,7.4,8.00,1008.72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,31.12,09-13-2019,07:00:00,98,38.50,24.7,38.50,1010.69,000,23.8,25.0,0.0,2.00,995.85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.42,09-13-2019,07:00:00,99,0.00,19.3,0.00,1010.99,210,18.3,19.5,3.7,8.00,875.47
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,31.36,09-13-2019,07:00:00,95,0.00,24.8,0.00,1010.18,000,25.0,25.7,0.0,7.00,1004.25
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.33,09-13-2019,07:00:00,79,0.00,23.1,0.00,1010.11,230,26.5,27.1,7.4,8.00,1009.31
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.51,09-13-2019,07:00:00,79,0.00,23.2,0.00,1010.63,000,27.2,27.2,0.0,10.00,1010.18
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.69,09-13-2019,07:00:00,95,0.00,23.9,0.00,1012.14,000,24.3,24.8,0.0,4.00,1000.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.55,09-13-2019,07:00:00,76,0.00,22.7,0.00,1010.03,000,26.2,27.4,0.0,10.00,1009.02
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,30.26,09-13-2019,07:00:00,86,0.00,24.2,0.00,1010.04,000,26.1,26.7,0.0,8.00,1008.21
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,25.95,09-13-2019,07:00:00,76,0.00,21.7,0.00,1010.31,000,25.3,26.2,0.0,8.00,1009.54
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.92,09-13-2019,07:00:00,69,0.00,21.7,0.00,1010.26,270,26.3,27.8,16.7,10.00,1009.56
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.21,09-13-2019,07:00:00,81,0.00,23.1,0.00,1009.71,000,26.1,26.6,0.0,7.00,1009.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.41,09-13-2019,07:00:00,87,0.00,23.8,0.00,1009.56,290,25.6,26.1,3.7,10.00,988.29
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,31.33,09-13-2019,07:00:00,97,6.90,24.8,0.70,1009.74,000,22.9,25.4,0.0,5.00,992.89
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.49,09-13-2019,07:00:00,98,8.40,24.9,1.10,1010.73,000,23.2,25.2,0.0,5.00,994.14
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.18,09-13-2019,07:00:00,84,0.00,23.1,0.00,1009.73,000,25.0,26.0,0.0,10.00,987.74
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.25,09-13-2019,07:00:00,88,0.00,21.9,0.00,1010.40,240,22.5,24.0,7.4,14.00,966.59
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.42,09-13-2019,07:00:00,86,0.00,23.2,0.00,1009.49,260,24.1,25.7,3.7,10.00,988.79
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.91,09-13-2019,07:00:00,100,0.20,24.6,0.20,1011.28,020,24.5,24.6,9.3,6.00,990.21
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.14,09-13-2019,07:00:00,81,2.40,22.4,0.00,1010.87,300,25.2,26.0,5.6,10.00,1010.43
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,30.92,09-13-2019,07:00:00,93,0.00,24.6,0.00,1009.82,000,25.6,25.9,0.0,9.00,1008.39
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.12,09-13-2019,07:00:00,95,0.00,25.2,0.00,1010.32,000,25.9,26.1,0.0,7.00,1005.35
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.74,09-13-2019,07:00:00,71,0.00,21.6,0.00,1010.69,250,24.7,27.4,5.6,12.00,1007.39
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.81,09-13-2019,07:00:00,85,0.00,22.8,0.00,1010.22,270,24.8,25.5,3.7,10.00,1009.11
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,26.95,09-13-2019,07:00:00,73,0.00,22.3,0.00,1010.44,290,26.8,27.5,7.4,10.00,1010.13
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.67,09-13-2019,07:00:00,74,0.00,22.8,0.00,1010.39,000,27.2,27.9,0.0,10.00,1009.70
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.54,09-13-2019,07:00:00,81,0.00,24.9,0.00,1012.21,000,28.2,28.5,0.0,8.00,1011.72
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.86,09-13-2019,07:00:00,73,0.00,22.3,0.00,1010.41,260,26.1,27.6,11.1,10.00,1009.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,34.23,09-13-2019,07:00:00,91,0.00,26.3,0.00,1010.07,260,27.5,28.0,18.5,10.00,1008.39
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.70,09-13-2019,07:00:00,85,0.00,23.4,0.00,1011.66,230,25.6,26.0,3.7,10.00,1003.59
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.61,09-13-2019,07:00:00,72,0.00,22.7,0.00,1010.30,290,27.6,28.3,18.5,10.00,1010.01
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.44,09-13-2019,07:00:00,71,0.00,22.6,0.00,1010.34,270,27.9,28.5,5.6,10.00,1007.21
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.24,09-13-2019,07:00:00,72,3.50,22.5,0.00,1010.51,300,26.5,28.1,7.4,12.00,1003.57
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.24,09-13-2019,07:00:00,90,0.00,24.8,0.00,1010.04,000,25.7,26.5,0.0,8.00,1004.41
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.54,09-13-2019,07:00:00,70,0.00,22.1,0.00,1010.86,320,27.4,28.0,18.5,10.00,1001.54
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.87,09-13-2019,07:00:00,81,0.50,22.3,0.00,1011.21,000,25.2,25.7,0.0,14.00,1009.94
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.55,09-13-2019,07:00:00,84,1.20,22.7,0.00,1010.44,000,25.3,25.5,0.0,11.00,1010.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,26.17,09-13-2019,07:00:00,89,0.00,21.8,0.00,1011.30,000,23.0,23.8,0.0,8.00,998.86
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.87,09-13-2019,07:00:00,76,0.00,21.7,0.00,1010.64,000,25.8,26.3,0.0,10.00,1009.92
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.71,09-13-2019,07:00:00,71,0.00,22.8,0.00,1011.03,270,28.0,28.5,5.6,10.00,1008.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.69,09-13-2019,07:00:00,81,0.00,23.9,0.00,1010.56,000,27.3,27.4,0.0,10.00,1010.04
