WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall,WindSpeed,AirTemperature,LandVisibility,StationPressure,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-10-2019,10:00:00,0.00,0.0,27.9,12.00,977.10,27.93,1007.85,1.80,22.9,74
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-10-2019,10:00:00,0.00,7.4,19.2,8.00,845.01,21.14,1005.90,7.20,18.4,95
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,210,07-10-2019,10:00:00,0.00,5.6,28.2,10.00,963.18,27.69,1006.41,0.60,22.8,72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-10-2019,10:00:00,0.00,0.0,27.7,15.00,961.31,26.78,1006.50,0.80,22.2,72
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-10-2019,10:00:00,0.00,0.0,28.5,10.00,970.48,28.78,1007.80,3.20,23.4,74
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,120,07-10-2019,10:00:00,0.00,5.6,27.7,10.00,962.47,27.83,1007.25,0.20,22.9,75
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,200,07-10-2019,10:00:00,0.00,7.4,29.4,10.00,981.42,27.24,1007.88,1.60,22.5,66
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,240,07-10-2019,10:00:00,0.00,16.7,29.4,12.00,986.48,26.97,1008.04,0.00,22.3,66
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-10-2019,10:00:00,0.00,0.0,27.2,8.00,984.96,27.19,1009.04,2.40,22.5,75
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,140,07-10-2019,10:00:00,0.00,5.6,28.0,10.00,973.30,27.59,1007.60,1.70,22.7,73
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,180,07-10-2019,10:00:00,0.00,5.6,30.2,10.00,980.43,25.25,1007.63,0.00,21.3,59
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-10-2019,10:00:00,0.00,0.0,29.3,10.00,973.97,27.59,1007.19,0.00,22.7,68
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,07-10-2019,10:00:00,0.00,18.5,29.3,12.00,989.33,26.78,1007.68,0.00,22.2,66
48331,NAN,น่าน,น่าน,18.77972,100.77778,120,07-10-2019,10:00:00,0.00,5.6,28.6,10.00,985.04,28.43,1007.71,0.40,23.2,73
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,190,07-10-2019,10:00:00,0.00,9.3,28.1,10.00,978.07,27.24,1007.80,1.40,22.5,72
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-10-2019,10:00:00,0.00,0.0,30.2,6.00,972.20,26.85,1007.24,0.00,22.3,63
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,320,07-10-2019,10:00:00,0.00,3.7,32.2,14.00,977.25,27.66,1006.38,0.00,22.7,58
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,210,07-10-2019,10:00:00,0.00,7.4,30.5,11.00,1001.73,28.23,1008.97,0.00,23.1,65
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,180,07-10-2019,10:00:00,0.00,5.6,31.5,15.00,987.14,29.63,1006.73,0.00,23.9,64
48353,LOEI,เลย,เลย,17.45000,101.73333,280,07-10-2019,10:00:00,0.00,14.8,32.8,15.00,978.60,23.38,1006.67,0.00,20.0,47
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,210,07-10-2019,10:00:00,0.00,11.1,30.8,18.00,987.39,27.98,1007.30,0.00,22.9,63
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,240,07-10-2019,10:00:00,0.00,3.7,29.0,15.00,986.92,29.19,1008.52,0.00,23.6,73
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,230,07-10-2019,10:00:00,0.00,5.6,29.0,15.00,988.13,29.74,1007.48,3.10,23.9,74
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-10-2019,10:00:00,0.00,0.0,31.2,12.00,991.47,31.31,1007.99,0.00,24.8,69
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-10-2019,10:00:00,0.00,0.0,31.6,12.00,991.01,32.43,1008.17,0.00,25.4,70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,260,07-10-2019,10:00:00,0.00,5.6,31.0,15.00,980.16,28.09,1005.54,0.00,23.0,63
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,07-10-2019,10:00:00,0.00,0.0,32.0,10.00,1002.49,32.10,1008.19,0.00,25.2,68
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,250,07-10-2019,10:00:00,0.00,7.4,31.5,12.00,1002.34,29.92,1008.45,0.00,24.0,65
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-10-2019,10:00:00,0.00,0.0,29.0,10.00,993.23,29.74,1009.59,0.00,23.9,74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,07-10-2019,10:00:00,0.40,0.0,26.2,8.00,985.63,29.33,1008.03,11.50,23.7,86
48376,TAK,ตาก,ตาก,16.87833,99.14333,260,07-10-2019,10:00:00,0.00,13.0,29.2,8.00,995.13,26.34,1009.44,1.20,21.9,65
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,07-10-2019,10:00:00,0.00,0.0,30.5,12.00,991.82,27.14,1008.03,0.00,22.4,62
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,07-10-2019,10:00:00,0.00,0.0,30.1,10.00,1003.77,31.07,1008.95,0.00,24.7,73
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-10-2019,10:00:00,0.00,0.0,28.7,10.00,994.74,32.22,1007.88,3.10,25.3,82
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,140,07-10-2019,10:00:00,0.00,1.9,30.5,11.00,999.44,29.06,1008.67,0.00,23.6,67
