WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,WindDirection,WindSpeed
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.84,09-08-2019,10:00:00,990.11,0.00,25.6,0.00,10.00,30.4,1010.77,76,250,13.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.71,09-08-2019,10:00:00,1010.47,0.00,23.9,0.00,10.00,29.7,1010.90,71,270,3.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.75,09-08-2019,10:00:00,1008.88,0.00,25.6,0.00,11.00,30.5,1010.29,75,240,3.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.90,09-08-2019,10:00:00,1005.32,0.00,24.6,0.00,7.00,31.0,1010.20,69,000,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.10,09-08-2019,10:00:00,1007.40,0.00,23.0,0.00,10.00,32.0,1010.65,59,200,3.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.65,09-08-2019,10:00:00,1009.78,0.00,26.0,0.00,10.00,31.2,1010.87,74,270,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.16,09-08-2019,10:00:00,1010.86,0.00,23.6,0.00,10.00,29.7,1011.16,70,180,7.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.23,09-08-2019,10:00:00,1010.31,0.00,23.1,0.00,10.00,29.5,1010.99,68,270,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.75,09-08-2019,10:00:00,1010.10,0.00,24.5,0.00,10.00,29.8,1010.58,73,120,3.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.16,09-08-2019,10:00:00,1009.47,0.00,23.6,0.01,10.00,29.7,1010.87,70,270,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,33.99,09-08-2019,10:00:00,1009.28,0.00,26.2,0.00,10.00,29.0,1010.96,85,220,11.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.19,09-08-2019,10:00:00,1004.55,0.00,24.2,0.00,10.00,29.8,1012.53,72,230,5.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.91,09-08-2019,10:00:00,1010.50,0.00,23.5,0.00,10.00,30.0,1010.78,68,270,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.72,09-08-2019,10:00:00,1007.67,0.00,25.0,0.00,10.00,30.0,1010.78,75,300,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.35,09-08-2019,10:00:00,1004.33,0.00,24.8,0.00,12.00,30.1,1011.23,73,270,7.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.77,09-08-2019,10:00:00,1004.50,0.00,24.5,0.00,10.00,31.5,1010.03,67,220,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.31,09-08-2019,10:00:00,1002.95,0.00,24.8,0.00,10.00,31.2,1012.18,69,300,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.50,09-08-2019,10:00:00,1009.43,0.00,23.8,0.00,14.00,30.3,1010.69,68,280,9.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,29.41,09-08-2019,10:00:00,1010.68,0.00,23.8,4.20,11.00,29.4,1011.11,72,230,5.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.68,09-08-2019,10:00:00,999.29,0.00,24.5,0.00,10.00,29.2,1011.52,76,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.03,09-08-2019,10:00:00,1010.55,0.00,23.5,0.30,10.00,30.2,1011.26,68,240,5.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.22,09-08-2019,10:00:00,1008.83,0.00,23.7,0.00,10.00,32.0,1011.24,61,220,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.62,09-08-2019,10:00:00,1010.91,0.00,24.4,0.00,10.00,30.3,1011.43,71,310,18.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.81,09-08-2019,10:00:00,1006.04,0.00,23.4,0.00,11.00,30.8,1011.15,65,270,9.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.59,09-08-2019,10:00:00,1010.81,0.00,25.5,18.30,8.00,30.7,1011.22,74,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.75,09-08-2019,10:00:00,1008.55,0.00,25.6,0.60,8.00,30.5,1011.30,75,250,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.37,09-08-2019,10:00:00,1011.08,0.00,23.2,0.00,10.00,29.0,1011.87,71,190,3.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.40,09-08-2019,10:00:00,1010.98,5.00,25.4,63.90,7.00,26.1,1011.44,96,000,0.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.28,09-08-2019,10:00:00,1010.92,0.00,24.3,0.00,12.00,31.4,1011.59,66,260,9.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.55,09-08-2019,10:00:00,1009.89,0.00,23.8,0.00,10.00,31.6,1011.40,64,280,3.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.43,09-08-2019,10:00:00,1011.42,0.00,24.9,0.00,10.00,30.7,1012.33,71,230,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.00,09-08-2019,10:00:00,1011.31,0.00,24.1,0.10,10.00,31.4,1011.99,65,000,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.32,09-08-2019,10:00:00,1011.39,0.00,24.3,0.00,9.00,31.7,1012.18,65,290,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,31.52,09-08-2019,10:00:00,1011.13,0.00,24.9,0.50,10.00,29.9,1011.76,75,130,3.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.31,09-08-2019,10:00:00,1011.69,0.00,26.3,0.90,8.00,30.4,1012.09,79,000,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.38,09-08-2019,10:00:00,1009.65,0.00,24.3,0.30,8.00,30.6,1013.84,69,230,7.4
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.37,09-08-2019,10:00:00,1010.42,0.00,23.2,0.00,10.00,29.0,1012.02,71,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.94,09-08-2019,10:00:00,1008.54,0.00,24.6,0.00,8.00,30.6,1011.99,70,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.96,09-08-2019,10:00:00,1011.10,0.00,24.6,0.01,9.00,29.2,1012.45,76,200,3.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,33.39,09-08-2019,10:00:00,1011.16,0.00,25.9,0.00,8.00,30.8,1012.04,75,300,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.98,09-08-2019,10:00:00,1008.45,0.00,24.1,0.00,10.00,30.4,1011.98,69,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.90,09-08-2019,10:00:00,1011.52,0.00,24.6,0.00,10.00,31.0,1011.95,69,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,34.01,09-08-2019,10:00:00,1010.48,0.00,26.2,1.60,10.00,30.4,1011.46,78,300,3.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,36.33,09-08-2019,10:00:00,1011.78,1.00,27.3,3.60,10.00,29.4,1012.59,89,240,5.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.80,09-08-2019,10:00:00,1010.81,0.00,25.1,1.30,7.00,29.9,1012.61,75,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,32.59,09-08-2019,10:00:00,1011.65,0.00,25.5,0.00,7.00,30.7,1012.40,74,350,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,33.57,09-08-2019,10:00:00,1008.44,0.00,26.0,12.80,7.00,31.3,1012.40,73,990,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.01,09-08-2019,10:00:00,1011.57,0.00,25.2,0.00,10.00,31.4,1012.25,70,280,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.19,09-08-2019,10:00:00,1010.96,0.00,24.7,23.40,10.00,31.7,1012.07,67,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,34.27,09-08-2019,10:00:00,1009.40,0.00,26.3,0.00,12.00,31.9,1012.29,72,300,7.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,34.73,09-08-2019,10:00:00,1010.97,0.00,26.6,0.00,8.00,31.7,1011.65,74,000,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,32.42,09-08-2019,10:00:00,1008.48,0.00,25.4,47.20,6.00,30.2,1012.58,76,090,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.96,09-08-2019,10:00:00,1011.21,0.00,24.1,0.00,10.00,31.1,1011.79,66,000,0.0
