WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,AirTemperature,VaporPressure,WindSpeed,LandVisibility,Rainfall24Hr,Rainfall,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-19-2019,10:00:00,981.59,25.2,28.83,0.0,10.00,9.70,2.90,1012.76,23.4,000,90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-19-2019,10:00:00,849.54,19.0,21.30,3.7,.10,26.60,13.50,1011.41,18.5,280,97
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-19-2019,10:00:00,969.17,27.7,26.26,11.1,10.00,1.10,0.00,1012.74,21.9,250,71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-19-2019,10:00:00,966.65,27.5,26.95,0.0,15.00,3.00,3.00,1012.13,22.3,000,73
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-19-2019,10:00:00,976.14,27.5,29.60,0.0,8.00,0.01,0.00,1013.80,23.9,000,81
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-19-2019,10:00:00,967.46,28.0,29.19,0.0,8.00,8.40,0.00,1012.43,23.6,000,77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-19-2019,10:00:00,986.21,28.1,30.48,3.7,10.00,21.60,0.00,1012.91,24.4,160,80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-19-2019,10:00:00,990.62,27.8,29.63,9.3,12.00,8.90,0.00,1012.38,23.9,270,79
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-19-2019,10:00:00,988.41,26.5,31.24,0.0,6.00,1.80,1.00,1012.63,24.8,000,90
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-19-2019,10:00:00,978.72,25.7,28.42,0.0,10.00,85.10,3.50,1013.49,23.2,000,86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-19-2019,10:00:00,985.61,26.4,30.24,0.0,10.00,56.90,0.70,1013.30,24.2,000,88
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-19-2019,10:00:00,979.87,25.0,27.96,0.0,10.00,18.90,3.10,1013.78,22.9,000,88
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-19-2019,10:00:00,993.58,28.4,30.78,5.6,5.00,2.30,0.00,1012.06,24.5,030,80
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-19-2019,10:00:00,989.87,27.1,29.66,0.0,10.00,22.00,0.00,1012.77,23.9,000,83
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-19-2019,10:00:00,982.94,27.0,29.48,0.0,10.00,8.60,0.00,1012.93,23.8,000,83
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-19-2019,10:00:00,977.42,25.2,29.36,0.0,6.00,19.00,0.40,1013.26,23.7,000,92
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-19-2019,10:00:00,981.90,27.3,29.77,0.0,8.00,0.00,0.00,1011.65,24.0,000,82
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-19-2019,10:00:00,1004.48,30.4,31.39,0.0,9.00,0.00,0.00,1011.74,24.9,000,72
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-19-2019,10:00:00,991.97,30.5,29.89,5.6,8.00,0.00,0.00,1011.72,24.0,320,68
48353,LOEI,เลย,เลย,17.45000,101.73333,09-19-2019,10:00:00,983.38,28.5,29.60,3.7,12.00,0.00,0.00,1012.00,23.9,130,76
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-19-2019,10:00:00,992.01,29.0,28.91,3.7,8.00,0.10,0.01,1012.13,23.5,080,72
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-19-2019,10:00:00,990.19,29.0,31.13,0.0,8.00,0.00,0.00,1011.86,24.7,000,78
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-19-2019,10:00:00,992.16,29.9,29.00,7.4,15.00,0.00,0.00,1011.54,23.5,030,69
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,09-19-2019,10:00:00,994.91,31.0,27.54,3.7,12.00,0.01,0.00,1011.50,22.7,080,61
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,09-19-2019,10:00:00,994.63,32.1,31.15,3.7,12.00,0.10,0.00,1011.82,24.7,120,65
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,09-19-2019,10:00:00,985.24,29.0,28.91,3.7,11.00,0.00,0.00,1010.93,23.5,060,72
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,09-19-2019,10:00:00,1005.47,30.0,35.83,5.6,10.00,2.60,0.00,1011.22,27.1,290,84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,09-19-2019,10:00:00,1005.43,30.2,34.18,0.0,12.00,10.10,0.00,1011.59,26.3,000,80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-19-2019,10:00:00,995.44,29.5,27.96,0.0,12.00,0.50,0.00,1011.82,22.9,000,68
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-19-2019,10:00:00,987.80,27.5,28.26,3.7,10.00,17.20,0.00,1010.15,23.1,180,77
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-19-2019,10:00:00,998.30,26.4,31.88,0.0,10.00,34.50,5.60,1012.80,25.1,000,93
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-19-2019,10:00:00,995.95,29.6,31.20,0.0,7.00,9.20,0.00,1012.27,24.7,000,75
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-19-2019,10:00:00,1006.39,29.5,32.13,7.4,10.00,25.40,0.00,1011.60,25.2,340,78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-19-2019,10:00:00,997.07,28.4,31.06,0.0,12.00,1.00,0.00,1010.25,24.7,000,80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-19-2019,10:00:00,1002.56,29.1,31.89,1.9,10.00,51.90,0.00,1011.86,25.1,340,79
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-19-2019,10:00:00,989.96,30.9,28.17,16.7,9.00,0.01,0.00,1011.46,23.1,090,63
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-19-2019,10:00:00,994.17,31.0,30.90,0.0,12.00,0.00,0.00,1011.51,24.6,000,69
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-19-2019,10:00:00,995.30,30.0,29.19,3.7,12.00,0.00,0.00,1011.04,23.6,140,69
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-19-2019,10:00:00,991.96,30.8,31.06,3.7,10.00,0.01,0.00,1010.68,24.7,030,70
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-19-2019,10:00:00,961.91,25.7,25.86,0.0,11.00,2.10,0.00,1013.46,21.6,000,78
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-19-2019,10:00:00,1007.23,29.2,32.10,0.0,6.00,5.00,0.00,1011.17,25.2,000,79
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-19-2019,10:00:00,916.89,23.9,24.62,9.3,7.00,9.80,0.01,1011.69,20.8,070,83
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-19-2019,10:00:00,995.39,29.5,30.16,0.0,10.00,0.00,0.00,1011.31,24.2,000,73
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-19-2019,10:00:00,1007.61,30.0,33.17,0.0,10.00,11.00,0.00,1011.63,25.8,000,78
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-19-2019,10:00:00,1001.91,28.5,31.54,5.6,10.00,7.80,0.70,1012.59,24.9,030,81
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-19-2019,10:00:00,1010.19,26.5,30.43,0.0,12.00,18.70,2.60,1012.13,24.3,000,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-19-2019,10:00:00,990.71,28.5,27.18,13.0,10.00,0.00,0.00,1011.56,22.5,040,70
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-19-2019,10:00:00,993.49,29.8,29.08,9.3,10.00,0.00,0.00,1011.06,23.6,100,69
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-19-2019,10:00:00,994.89,29.8,30.47,7.4,10.00,0.10,0.00,1010.96,24.4,050,73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-19-2019,10:00:00,997.50,28.0,29.19,0.0,10.00,2.20,0.00,1011.55,23.6,000,77
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-19-2019,10:00:00,997.08,28.3,31.14,3.7,10.00,4.30,0.00,1011.92,24.7,110,81
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-19-2019,10:00:00,997.18,27.5,32.36,3.7,8.00,1.20,0.00,1011.90,25.4,200,88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-19-2019,10:00:00,1008.23,26.8,31.55,0.0,10.00,33.00,3.00,1011.26,24.9,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",90
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-19-2019,10:00:00,1003.22,28.4,30.23,0.0,10.00,7.30,0.00,1011.17,24.2,000,78
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-19-2019,10:00:00,1010.34,26.8,31.00,3.7,5.00,2.50,2.50,1011.46,24.6,240,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-19-2019,10:00:00,997.07,28.5,31.54,0.0,8.00,1.80,0.00,1011.75,24.9,000,81
