WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,StationPressure,MinimumTemperature,WindSpeed,AirTemperature,DewPoint,LandVisibility,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,07-14-2019,07:00:00,29.08,1006.53,1.40,975.52,23.6,0.0,24.9,23.6,10.00,0.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,270,07-14-2019,07:00:00,19.12,1004.06,0.00,843.02,18.0,29.6,18.3,16.8,8.00,0.00,91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,000,07-14-2019,07:00:00,27.44,1004.40,0.00,961.08,26.2,0.0,26.9,22.6,15.00,0.00,77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,07-14-2019,07:00:00,26.43,1004.89,0.00,959.37,23.5,0.0,25.0,22.0,15.00,0.00,83
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,07-14-2019,07:00:00,30.48,1006.58,0.00,968.85,24.3,0.0,24.8,24.4,10.00,0.00,97
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,07-14-2019,07:00:00,28.26,1005.39,0.00,960.66,25.8,0.0,27.5,23.1,10.00,0.00,77
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,07-14-2019,07:00:00,29.89,1005.72,0.30,979.07,25.8,0.0,26.5,24.0,10.00,0.00,86
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,07-14-2019,07:00:00,27.13,1006.68,0.00,984.89,25.3,0.0,25.7,22.4,12.00,0.00,82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,07-14-2019,07:00:00,28.64,1007.91,0.00,983.67,23.5,0.0,24.8,23.3,6.00,0.00,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,07-14-2019,07:00:00,27.44,1006.50,0.00,972.11,26.6,0.0,26.9,22.6,10.00,0.00,77
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,07-14-2019,07:00:00,26.73,1007.56,0.00,980.04,25.9,0.0,26.5,22.2,10.00,0.00,77
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,07-14-2019,07:00:00,28.10,1006.49,0.00,972.95,25.4,0.0,26.1,23.0,12.00,0.00,83
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,270,07-14-2019,07:00:00,28.67,1005.91,0.00,987.46,26.2,9.3,27.0,23.3,15.00,0.00,80
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,07-14-2019,07:00:00,28.61,1005.57,0.00,982.85,25.8,0.0,27.4,23.3,10.00,0.00,78
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,07-14-2019,07:00:00,29.93,1005.74,0.00,975.85,25.5,0.0,25.8,24.1,10.00,0.00,90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,07-14-2019,07:00:00,27.10,1006.33,0.00,970.70,24.6,0.0,24.8,22.4,8.00,0.00,87
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,07-14-2019,07:00:00,26.88,1004.42,0.00,974.94,26.5,0.0,27.9,22.3,13.00,0.00,72
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,07-14-2019,07:00:00,30.02,1006.07,4.40,998.77,26.9,0.0,27.0,24.1,11.00,0.00,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,200,07-14-2019,07:00:00,31.62,1004.37,0.00,984.63,28.0,3.7,28.4,25.0,12.00,0.00,82
48353,LOEI,เลย,เลย,17.45000,101.73333,000,07-14-2019,07:00:00,25.35,1004.67,0.00,976.27,27.7,0.0,28.5,21.3,12.00,0.00,65
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,220,07-14-2019,07:00:00,27.95,1004.93,0.00,984.89,27.1,5.6,28.2,22.9,12.00,0.00,73
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,07-14-2019,07:00:00,29.36,1005.48,0.00,983.86,26.6,0.0,27.8,23.7,12.00,0.00,79
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,210,07-14-2019,07:00:00,30.28,1004.64,0.00,985.28,27.4,7.4,28.0,24.3,12.00,0.00,80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,07-14-2019,07:00:00,32.35,1005.74,0.00,989.09,27.4,0.0,28.2,25.4,10.00,0.00,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,07-14-2019,07:00:00,33.59,1005.74,0.30,988.35,25.5,0.0,26.7,26.0,8.00,0.00,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,07-14-2019,07:00:00,29.45,1003.99,0.00,978.28,26.3,0.0,26.7,23.8,12.00,0.00,84
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,270,07-14-2019,07:00:00,28.86,1006.36,0.00,1000.60,26.0,5.6,28.4,23.5,10.00,0.00,75
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,300,07-14-2019,07:00:00,28.39,1006.42,0.00,1000.26,27.2,11.1,28.0,23.2,12.00,0.00,75
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,07-14-2019,07:00:00,28.72,1006.99,0.00,990.52,25.5,0.0,26.3,23.4,10.00,0.00,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,180,07-14-2019,07:00:00,28.36,1006.52,35.30,984.01,23.4,5.6,24.2,23.2,10.00,0.00,94
48376,TAK,ตาก,ตาก,16.87833,99.14333,270,07-14-2019,07:00:00,26.88,1007.37,0.00,993.03,27.3,11.1,27.9,22.3,7.00,0.00,72
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,07-14-2019,07:00:00,26.78,1006.22,0.00,989.89,27.5,0.0,27.7,22.2,8.00,0.00,72
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,250,07-14-2019,07:00:00,32.23,1006.48,0.00,1001.27,25.8,5.6,28.0,25.3,10.00,0.00,85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,07-14-2019,07:00:00,29.23,1005.48,0.00,992.26,25.4,0.0,26.0,23.7,10.00,0.00,87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,310,07-14-2019,07:00:00,28.26,1007.08,0.00,997.77,26.8,3.7,27.5,23.1,12.00,0.00,77
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,260,07-14-2019,07:00:00,29.25,1005.02,0.00,983.42,26.8,3.7,27.6,23.7,10.00,0.00,79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,230,07-14-2019,07:00:00,30.15,1005.88,0.00,988.48,27.6,5.6,28.5,24.2,10.00,0.00,78
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,210,07-14-2019,07:00:00,30.72,1004.60,0.00,988.85,27.0,3.7,27.8,24.5,10.00,0.00,82
