WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,StationPressure,MinimumTemperature,WindSpeed,AirTemperature,DewPoint,LandVisibility,Rainfall,RelativeHumidity
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,07-14-2019,07:00:00,30.01,1004.32,0.00,985.55,27.5,0.0,28.0,24.1,10.00,0.00,79
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,07-14-2019,07:00:00,26.09,1008.34,10.70,956.60,22.0,0.0,23.0,21.8,7.00,0.60,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,120,07-14-2019,07:00:00,31.79,1006.70,0.70,1002.73,25.6,5.6,26.5,25.1,7.00,0.10,92
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,240,07-14-2019,07:00:00,23.39,1007.88,3.80,912.49,20.0,14.8,20.8,20.0,.80,0.30,95
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,07-14-2019,07:00:00,30.95,1005.55,0.00,989.65,25.9,0.0,28.2,24.6,8.00,0.00,81
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,07-14-2019,07:00:00,31.58,1006.73,0.01,1002.70,26.7,0.0,27.1,24.9,10.00,0.01,88
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,07-14-2019,07:00:00,27.93,1007.90,0.00,997.19,26.1,0.0,26.3,22.9,8.00,0.00,82
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,150,07-14-2019,07:00:00,28.84,1007.45,0.00,1005.52,26.6,3.7,26.8,23.4,9.00,0.00,82
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,260,07-14-2019,07:00:00,27.10,1005.88,0.00,985.05,26.7,5.6,27.0,22.4,10.00,0.00,76
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,260,07-14-2019,07:00:00,28.02,1005.16,7.50,987.58,26.0,14.8,27.8,23.0,10.00,0.00,75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,230,07-14-2019,07:00:00,29.19,1005.15,7.50,989.07,26.9,7.4,28.0,23.6,10.00,0.00,77
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,230,07-14-2019,07:00:00,28.95,1006.14,0.01,992.18,27.4,5.6,28.3,23.5,10.00,0.00,75
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,07-14-2019,07:00:00,30.42,1006.32,0.00,991.53,26.2,0.0,27.5,24.3,8.00,0.00,83
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,220,07-14-2019,07:00:00,29.85,1006.40,1.60,991.75,26.4,3.7,27.2,24.0,8.00,0.00,83
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-14-2019,07:00:00,28.92,1006.50,0.00,1003.49,27.1,0.0,28.0,23.5,10.00,0.00,77
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,07-14-2019,07:00:00,29.66,1006.68,0.00,998.70,25.4,0.0,25.8,23.9,10.00,0.00,89
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,220,07-14-2019,07:00:00,30.05,1007.72,0.00,1006.61,25.2,3.7,26.3,24.1,8.00,0.00,88
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,07-14-2019,07:00:00,31.52,1006.94,0.00,992.24,25.8,0.0,26.5,24.9,8.00,0.00,91
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,310,07-14-2019,07:00:00,20.98,1008.02,0.80,872.52,18.0,7.4,18.6,18.3,4.00,0.00,98
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,07-14-2019,07:00:00,30.67,1006.98,0.00,1001.08,25.3,0.0,26.2,24.5,10.00,0.00,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,240,07-14-2019,07:00:00,30.97,1007.21,0.00,1006.41,26.8,7.4,27.5,24.6,9.00,0.00,84
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,230,07-14-2019,07:00:00,28.86,1007.36,0.00,1006.92,27.5,11.1,28.4,23.5,10.00,0.00,75
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,07-14-2019,07:00:00,28.61,1009.98,8.60,998.52,23.3,0.0,23.9,23.3,3.00,0.00,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,07-14-2019,07:00:00,27.16,1007.51,0.00,1006.50,27.6,0.0,28.2,22.4,10.00,0.00,71
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,07-14-2019,07:00:00,26.95,1007.00,0.00,1005.18,27.0,0.0,27.5,22.3,8.00,0.00,73
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,07-14-2019,07:00:00,24.31,1007.35,0.00,1006.59,27.1,0.0,27.9,20.6,8.00,0.00,65
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,270,07-14-2019,07:00:00,26.19,1008.04,0.40,1007.34,25.9,7.4,28.1,21.9,10.00,0.00,69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-14-2019,07:00:00,29.04,1007.24,0.10,1006.54,26.5,0.0,27.2,23.6,7.00,0.00,81
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,300,07-14-2019,07:00:00,27.78,1006.84,0.00,985.68,26.0,3.7,26.8,22.8,10.00,0.00,79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,220,07-14-2019,07:00:00,29.60,1006.80,15.50,990.05,25.1,9.3,26.2,23.9,6.00,0.00,87
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,07-14-2019,07:00:00,29.82,1007.54,7.30,991.03,24.5,3.7,25.6,24.0,9.00,0.00,91
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,07-14-2019,07:00:00,26.88,1006.98,0.00,985.05,25.6,0.0,26.0,22.3,10.00,0.00,80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,260,07-14-2019,07:00:00,23.71,1007.47,0.00,963.97,24.2,22.2,25.3,20.2,10.00,0.00,74
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,270,07-14-2019,07:00:00,27.36,1006.76,0.00,986.20,25.9,5.6,27.0,22.6,10.00,0.00,77
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,240,07-14-2019,07:00:00,29.96,1007.99,0.00,987.18,26.2,11.1,27.4,24.1,7.00,0.00,82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,330,07-14-2019,07:00:00,27.51,1008.01,0.00,1007.58,25.8,7.4,26.5,22.7,10.00,0.00,79
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-14-2019,07:00:00,30.17,1007.18,8.40,1005.76,25.1,0.0,25.5,24.2,8.00,0.00,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-14-2019,07:00:00,29.58,1008.02,0.00,1003.06,25.5,0.0,25.9,23.9,7.00,0.00,89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,07-14-2019,07:00:00,25.76,1007.91,0.00,1004.62,26.0,0.0,28.0,21.6,10.00,0.00,68
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,250,07-14-2019,07:00:00,26.58,1007.59,0.00,1006.48,26.7,3.7,27.0,22.1,10.00,0.00,75
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,270,07-14-2019,07:00:00,26.95,1007.66,0.01,1007.36,26.8,5.6,27.5,22.3,10.00,0.00,73
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,000,07-14-2019,07:00:00,26.73,1007.47,0.00,1006.78,27.5,0.0,28.4,22.2,10.00,0.00,69
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,000,07-14-2019,07:00:00,26.86,1007.53,0.00,1007.05,27.5,0.0,27.6,22.3,10.00,0.00,73
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,270,07-14-2019,07:00:00,25.84,1007.54,0.00,1006.14,27.3,14.8,27.9,21.6,10.00,0.00,69
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,000,07-14-2019,07:00:00,27.15,1007.59,0.40,1005.92,28.6,0.0,29.5,22.4,10.00,0.40,66
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,07-14-2019,07:00:00,26.31,1009.27,0.00,1001.24,24.7,7.4,26.7,21.9,10.00,0.00,75
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,280,07-14-2019,07:00:00,30.07,1007.35,1.30,1007.06,26.9,7.4,28.6,24.1,10.00,0.00,77
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,07-14-2019,07:00:00,35.05,1007.06,0.00,1003.95,28.0,0.0,29.5,26.7,10.00,0.00,85
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,270,07-14-2019,07:00:00,27.20,1007.66,0.00,1000.76,28.0,7.4,28.8,22.5,10.00,0.00,69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,230,07-14-2019,07:00:00,29.60,1007.38,0.00,1001.79,25.7,7.4,27.5,23.9,8.00,0.00,81
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,000,07-14-2019,07:00:00,28.54,1009.39,0.00,1000.11,28.3,0.0,28.8,23.3,10.00,0.00,72
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-14-2019,07:00:00,30.23,1009.11,2.10,1007.84,24.4,0.0,25.1,24.2,12.00,0.00,95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,240,07-14-2019,07:00:00,25.46,1008.08,0.00,1007.64,25.8,5.6,26.5,21.4,11.00,0.00,74
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,240,07-14-2019,07:00:00,25.04,1008.79,0.00,996.32,21.8,3.7,22.5,21.1,10.00,0.00,92
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,07-14-2019,07:00:00,25.78,1008.32,0.00,1007.60,24.0,0.0,25.8,21.6,10.00,0.00,78
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,07-14-2019,07:00:00,27.75,1008.74,0.00,1006.31,27.5,5.6,27.8,22.8,10.00,0.00,74
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,07-14-2019,07:00:00,27.40,1008.32,0.00,1007.80,25.5,0.0,26.0,22.6,10.00,0.00,82
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,07-14-2019,07:00:00,27.88,1008.07,0.00,1002.91,26.3,0.0,27.0,22.9,13.00,0.00,78
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,07-14-2019,07:00:00,30.37,1008.04,0.50,1007.62,25.9,0.0,26.9,24.3,8.00,0.00,86
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,07-14-2019,07:00:00,30.43,1008.03,6.30,1005.25,25.6,0.0,26.5,24.3,10.00,0.00,88
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,07-14-2019,07:00:00,27.60,1008.84,0.00,1008.05,25.4,0.0,26.7,22.7,10.00,0.00,79
48501,TRAD,ตราด,ตราด,11.76667,102.88333,050,07-14-2019,07:00:00,29.52,1008.50,12.50,1008.03,24.3,7.4,25.0,23.8,7.00,1.60,93
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,07-14-2019,07:00:00,30.43,1009.52,0.00,1008.84,25.7,0.0,26.5,24.3,8.00,0.00,88
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,07-14-2019,07:00:00,29.69,1009.46,0.00,1007.92,24.6,0.0,24.8,23.9,8.00,0.00,95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,07-14-2019,07:00:00,30.36,1011.55,0.20,1010.63,25.4,0.0,25.6,24.3,10.00,0.00,93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,07-14-2019,07:00:00,30.81,1009.68,0.00,1008.99,26.0,0.0,27.7,24.5,10.00,0.00,83
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-14-2019,07:00:00,28.17,1010.17,0.70,1009.37,23.4,0.0,23.5,23.0,5.00,0.00,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,07-14-2019,07:00:00,30.12,1009.94,8.60,1009.29,23.7,0.0,24.6,24.2,8.00,0.00,97
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-14-2019,07:00:00,28.27,1010.99,0.01,1010.58,23.5,0.0,24.0,23.1,10.00,0.00,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,07-14-2019,07:00:00,28.42,1011.87,15.90,1007.59,23.0,0.0,23.5,23.2,5.00,0.00,98
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-14-2019,07:00:00,29.30,1010.27,14.60,1008.64,23.5,0.0,24.0,23.7,4.00,0.00,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-14-2019,07:00:00,28.09,1010.90,0.00,1007.38,23.0,0.0,23.6,23.0,8.00,0.00,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-14-2019,07:00:00,28.51,1009.84,2.90,1008.47,23.4,0.0,23.4,23.2,8.00,0.00,99
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-14-2019,07:00:00,31.25,1009.52,0.60,1008.63,25.2,0.0,25.5,24.8,10.00,0.00,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-14-2019,07:00:00,29.41,1010.20,4.80,1006.60,23.0,0.0,24.5,23.8,10.00,0.00,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-14-2019,07:00:00,29.91,1009.87,15.00,1009.43,26.4,0.0,26.8,24.0,10.00,0.00,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,320,07-14-2019,07:00:00,29.52,1009.70,15.60,1008.71,27.2,3.7,29.6,23.8,10.00,0.00,71
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,080,07-14-2019,07:00:00,30.24,1010.18,4.00,1009.36,24.6,5.6,26.4,24.2,10.00,0.00,88
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-14-2019,07:00:00,28.53,1010.11,0.40,1008.27,23.2,0.0,24.0,23.3,7.00,0.00,96
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,250,07-14-2019,07:00:00,27.64,1010.31,7.60,1009.55,24.3,3.7,25.7,22.7,10.00,0.00,84
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,07-14-2019,07:00:00,26.67,1009.92,1.60,1005.88,21.7,0.0,24.1,22.1,9.00,0.00,89
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-14-2019,07:00:00,28.10,1009.96,1.50,1009.26,23.1,0.0,23.9,23.0,10.00,0.00,95
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-14-2019,07:00:00,27.76,1009.93,0.00,1008.80,21.0,0.0,24.0,22.8,10.00,0.00,93
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,07-14-2019,07:00:00,26.91,1010.09,0.00,1007.13,21.5,0.0,22.9,22.3,10.00,0.00,96
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,07-14-2019,07:00:00,27.83,1009.26,4.20,1008.56,23.3,0.0,23.6,22.9,8.00,0.00,96
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,250,07-14-2019,07:00:00,28.79,1010.59,49.70,1006.42,24.3,9.3,24.3,23.4,8.00,0.00,95
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,220,07-14-2019,07:00:00,25.60,1009.50,0.00,1008.91,.0,7.4,25.1,21.5,10.00,0.00,80
