WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindDirection,VaporPressure,RelativeHumidity,LandVisibility,WindSpeed,Rainfall,AirTemperature,MeanSeaLevelPressure,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.01,08-30-2019,13:00:00,000,32.69,69,12.00,0.0,0.00,32.0,1000.48,970.36,25.5
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,08-30-2019,13:00:00,000,24.50,93,7.00,0.0,0.00,22.0,1000.23,841.60,20.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,08-30-2019,13:00:00,030,32.03,64,12.00,11.1,0.01,32.8,999.07,956.78,25.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1.80,08-30-2019,13:00:00,000,32.93,73,15.00,0.0,0.00,31.0,999.56,955.15,25.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,8.70,08-30-2019,13:00:00,000,34.31,79,10.00,0.0,0.50,30.4,999.24,962.46,26.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.00,08-30-2019,13:00:00,300,35.31,79,10.00,7.4,0.50,31.0,999.66,955.68,26.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,2.60,08-30-2019,13:00:00,330,36.40,77,10.00,5.6,0.01,31.9,999.25,973.23,27.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,5.70,08-30-2019,13:00:00,280,33.05,89,8.00,1.9,4.20,27.7,1001.11,979.58,25.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,08-30-2019,13:00:00,000,32.09,73,10.00,0.0,0.00,30.6,1001.74,978.11,25.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,4.50,08-30-2019,13:00:00,350,33.62,91,8.00,3.7,4.10,27.7,1000.95,966.84,26.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,7.50,08-30-2019,13:00:00,000,33.12,83,10.00,0.0,3.90,29.0,1000.73,973.61,25.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1.00,08-30-2019,13:00:00,000,32.96,85,10.00,0.0,1.00,28.5,1001.15,968.05,25.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,39.60,08-30-2019,13:00:00,170,32.63,79,12.00,3.7,0.10,29.6,999.73,981.55,25.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-30-2019,13:00:00,000,34.07,70,10.00,0.0,0.00,32.5,998.44,976.26,26.2
