WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,VaporPressure,Rainfall,RelativeHumidity,AirTemperature,StationPressure,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1002.29,08-06-2019,16:00:00,10.00,12.90,0.0,32.05,0.10,77,29.6,971.88,000,25.2
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1001.63,08-06-2019,16:00:00,8.00,20.60,0.0,22.12,14.40,97,19.6,841.62,000,19.1
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1002.25,08-06-2019,16:00:00,10.00,5.30,3.7,29.05,5.20,75,28.5,959.24,190,23.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1002.27,08-06-2019,16:00:00,15.00,0.20,7.4,28.37,0.00,71,29.0,957.46,230,23.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1002.89,08-06-2019,16:00:00,8.00,20.70,0.0,26.62,0.20,65,29.5,965.87,000,22.1
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1001.77,08-06-2019,16:00:00,12.00,0.10,3.7,29.06,0.00,60,32.2,957.87,260,23.6
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1003.24,08-06-2019,16:00:00,12.00,17.10,3.7,31.31,0.00,69,31.2,977.05,170,24.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1004.36,08-06-2019,16:00:00,10.00,1.00,5.6,29.46,0.01,74,29.0,982.85,210,23.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1004.11,08-06-2019,16:00:00,6.00,13.20,0.0,29.08,2.90,84,26.5,980.09,000,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1003.28,08-06-2019,16:00:00,10.00,0.90,0.0,29.36,0.00,70,29.8,969.32,000,23.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1003.78,08-06-2019,16:00:00,10.00,5.10,3.7,28.75,0.00,67,30.2,976.69,210,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1003.50,08-06-2019,16:00:00,10.00,1.90,0.0,29.30,0.10,77,28.2,970.28,000,23.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1003.14,08-06-2019,16:00:00,15.00,4.00,7.4,29.81,0.00,68,30.6,984.96,260,24.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,1002.35,08-06-2019,16:00:00,10.00,3.70,0.0,31.59,0.00,60,33.7,980.17,000,25.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1002.44,08-06-2019,16:00:00,10.00,2.90,0.0,30.98,0.00,67,31.6,973.20,000,24.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1003.60,08-06-2019,16:00:00,5.00,2.20,0.0,29.74,0.80,74,29.0,968.55,000,23.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1001.49,08-06-2019,16:00:00,17.00,2.30,9.3,29.38,0.00,60,32.5,972.53,270,23.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1003.39,08-06-2019,16:00:00,10.00,27.80,0.0,30.90,0.00,69,31.0,996.21,000,24.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1001.40,08-06-2019,16:00:00,16.00,3.00,7.4,32.84,0.00,62,34.0,982.07,200,25.6
48353,LOEI,เลย,เลย,17.45000,101.73333,1001.54,08-06-2019,16:00:00,17.00,0.50,7.4,26.28,0.00,52,33.2,973.65,340,21.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1002.19,08-06-2019,16:00:00,15.00,0.30,9.3,28.31,0.00,54,33.8,982.57,290,23.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1002.09,08-06-2019,16:00:00,15.00,42.50,7.4,30.69,0.00,61,33.0,980.90,270,24.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1001.79,08-06-2019,16:00:00,15.00,29.40,9.3,31.28,0.00,62,33.0,982.80,260,24.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1002.50,08-06-2019,16:00:00,12.00,1.20,1.9,30.09,0.10,69,30.6,986.03,090,24.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1002.97,08-06-2019,16:00:00,12.00,3.00,0.0,31.97,0.00,77,29.7,985.80,000,25.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1001.13,08-06-2019,16:00:00,13.00,5.50,0.0,30.28,0.00,59,33.5,976.06,000,24.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.73,08-06-2019,16:00:00,8.00,16.90,0.0,35.46,1.60,89,29.0,998.99,000,26.9
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1004.16,08-06-2019,16:00:00,6.00,27.60,0.0,34.74,5.00,88,28.8,998.02,000,26.6
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1003.80,08-06-2019,16:00:00,10.00,1.70,5.6,29.59,0.00,63,31.9,987.68,190,23.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.64,08-06-2019,16:00:00,8.00,28.80,0.0,30.43,1.20,88,26.5,981.36,000,24.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,1005.19,08-06-2019,16:00:00,6.00,7.40,0.0,31.95,0.60,85,28.0,990.88,000,25.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1003.77,08-06-2019,16:00:00,6.00,12.40,0.0,26.95,0.50,73,27.5,987.47,000,22.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.91,08-06-2019,16:00:00,10.00,2.60,3.7,30.12,0.00,65,31.6,998.78,200,24.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.37,08-06-2019,16:00:00,12.00,1.40,0.0,32.34,0.00,72,31.0,989.41,000,25.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.42,08-06-2019,16:00:00,10.00,4.20,5.6,33.08,0.00,78,30.1,995.22,330,25.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1002.10,08-06-2019,16:00:00,10.00,0.01,16.7,26.18,0.00,49,34.0,981.01,340,21.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1002.45,08-06-2019,16:00:00,12.00,0.00,16.7,31.57,0.00,57,34.8,985.47,070,24.9
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1001.43,08-06-2019,16:00:00,12.00,49.50,3.7,32.40,0.00,68,32.0,985.95,020,25.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1001.35,08-06-2019,16:00:00,10.00,0.40,3.7,26.60,0.00,49,34.5,983.02,240,22.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.62,08-06-2019,16:00:00,4.00,27.60,0.0,27.90,6.00,85,25.7,955.42,000,22.9
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.65,08-06-2019,16:00:00,8.00,0.20,5.6,30.73,0.00,68,31.2,999.76,170,24.5
