WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,Rainfall,StationPressure,AirTemperature,WindDirection,VaporPressure,WindSpeed
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.4,08-18-2019,10:00:00,10.00,1009.79,10.00,76,0.00,993.69,29.0,170,30.57,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.5,08-18-2019,10:00:00,10.00,1010.87,8.30,66,0.00,996.94,30.4,220,28.86,11.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.2,08-18-2019,10:00:00,10.00,1011.64,9.60,71,0.00,996.90,30.1,160,30.22,7.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.3,08-18-2019,10:00:00,10.00,1011.72,0.00,71,0.00,997.18,31.2,230,32.18,7.4
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.9,08-18-2019,10:00:00,10.00,1010.13,13.90,67,0.01,1007.14,30.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.65,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.4,08-18-2019,10:00:00,10.00,1010.61,2.20,70,0.00,1002.72,30.4,140,30.54,9.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.7,08-18-2019,10:00:00,8.00,1010.90,0.00,67,0.00,1009.80,30.5,220,29.33,13.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.0,08-18-2019,10:00:00,8.00,1010.64,0.00,66,0.00,996.10,31.2,000,29.88,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.5,08-18-2019,10:00:00,4.00,1012.39,19.80,99,0.00,877.19,20.7,230,24.16,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.9,08-18-2019,10:00:00,10.00,1011.18,2.00,71,0.00,1005.35,30.7,210,31.43,5.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,23.7,08-18-2019,10:00:00,9.00,1011.17,0.00,61,0.00,1010.38,32.0,190,29.22,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.4,08-18-2019,10:00:00,10.00,1011.39,0.00,68,0.00,1010.95,31.0,230,30.61,22.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,08-18-2019,10:00:00,4.00,1011.89,7.50,89,1.40,1000.53,26.8,000,31.27,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.7,08-18-2019,10:00:00,12.00,1011.20,3.80,67,0.00,1010.20,30.6,000,29.25,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.2,08-18-2019,10:00:00,10.00,1011.32,8.70,65,0.00,1009.51,30.5,170,28.50,9.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.9,08-18-2019,10:00:00,9.00,1010.97,4.00,67,0.00,1010.21,29.6,000,27.88,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.8,08-18-2019,10:00:00,10.00,1011.44,0.01,65,0.00,1010.75,31.1,190,29.40,14.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,24.9,08-18-2019,10:00:00,7.00,1011.21,0.90,68,0.00,1010.52,31.6,000,31.56,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.0,08-18-2019,10:00:00,10.00,1010.72,26.60,58,0.00,989.79,31.3,300,26.48,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.8,08-18-2019,10:00:00,9.00,1010.51,0.01,69,0.00,993.96,31.1,230,31.39,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.6,08-18-2019,10:00:00,10.00,1010.82,1.20,69,0.00,994.54,31.0,270,30.90,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.6,08-18-2019,10:00:00,10.00,1010.58,0.00,65,0.00,988.94,31.0,280,29.20,18.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.0,08-18-2019,10:00:00,15.00,1010.92,1.30,66,0.00,967.80,29.0,260,26.50,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.3,08-18-2019,10:00:00,12.00,1010.61,0.00,60,0.00,990.31,32.0,270,28.66,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.0,08-18-2019,10:00:00,10.00,1012.58,27.20,75,0.00,991.85,30.0,230,31.72,16.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.4,08-18-2019,10:00:00,11.00,1011.36,0.00,68,0.00,1010.93,30.1,230,28.83,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.6,08-18-2019,10:00:00,11.00,1011.38,0.00,76,0.00,1009.97,30.3,000,32.92,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,08-18-2019,10:00:00,10.00,1011.40,1.60,73,0.00,1006.51,30.9,270,32.72,3.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.4,08-18-2019,10:00:00,12.00,1010.83,0.01,68,0.00,1007.56,30.1,000,28.83,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.2,08-18-2019,10:00:00,10.00,1011.07,0.01,64,0.00,1009.97,31.8,000,30.24,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,23.9,08-18-2019,10:00:00,10.00,1011.55,0.00,63,0.00,1011.25,31.8,230,29.67,13.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.2,08-18-2019,10:00:00,10.00,1011.41,0.00,65,0.00,1010.73,31.5,180,30.20,9.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.3,08-18-2019,10:00:00,10.00,1010.67,0.00,65,0.00,1010.18,31.7,270,30.32,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.7,08-18-2019,10:00:00,10.00,1011.47,0.00,64,0.00,1010.08,31.5,250,29.35,13.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,25.2,08-18-2019,10:00:00,10.00,1011.73,0.00,79,0.00,1010.05,29.3,210,32.01,22.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.2,08-18-2019,10:00:00,10.00,1013.33,3.40,65,0.00,1005.37,30.5,180,28.50,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.1,08-18-2019,10:00:00,12.00,1011.44,0.00,63,0.00,1011.16,32.0,240,30.08,5.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.9,08-18-2019,10:00:00,12.00,1011.44,0.00,67,0.00,1008.33,30.8,290,29.65,7.4
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.3,08-18-2019,10:00:00,10.00,1011.76,0.00,76,0.00,1004.86,30.0,210,32.30,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.5,08-18-2019,10:00:00,8.00,1011.53,11.10,66,0.00,1005.99,31.6,240,30.69,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.0,08-18-2019,10:00:00,10.00,1011.53,0.00,68,0.00,1002.28,30.5,210,29.89,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.4,08-18-2019,10:00:00,15.00,1011.45,3.90,68,0.00,1010.20,31.1,180,30.53,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.4,08-18-2019,10:00:00,11.00,1011.55,0.00,73,0.00,1011.12,30.8,160,32.51,3.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.1,08-18-2019,10:00:00,10.00,1011.28,0.00,63,0.00,999.13,30.9,210,28.17,3.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.5,08-18-2019,10:00:00,10.00,1011.38,0.00,65,0.00,1010.68,31.9,000,30.73,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.2,08-18-2019,10:00:00,10.00,1011.93,0.00,85,0.00,1009.51,30.0,180,36.14,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.9,08-18-2019,10:00:00,10.00,1011.97,0.00,72,0.00,1011.46,30.4,260,31.39,18.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,23.6,08-18-2019,10:00:00,12.00,1011.66,0.00,64,0.00,1006.55,31.2,190,29.04,13.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.7,08-18-2019,10:00:00,8.00,1011.79,9.60,81,2.20,1011.38,29.4,200,33.08,5.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.2,08-18-2019,10:00:00,8.00,1011.84,1.70,86,0.00,1009.07,28.9,180,34.07,3.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.4,08-18-2019,10:00:00,10.00,1012.06,0.00,65,0.00,1011.28,30.8,180,28.81,11.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.3,08-18-2019,10:00:00,8.00,1012.61,30.00,80,0.00,1012.15,30.2,320,34.18,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.2,08-18-2019,10:00:00,10.00,1012.34,15.60,70,0.00,1011.66,30.2,260,30.14,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.8,08-18-2019,10:00:00,10.00,1011.73,13.20,81,0.00,1010.21,30.4,240,35.20,5.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.0,08-18-2019,10:00:00,10.00,1012.54,38.40,68,0.00,1011.63,30.5,210,29.89,5.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.6,08-18-2019,10:00:00,12.00,1012.24,0.00,79,0.00,1011.55,29.7,170,32.83,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.4,08-18-2019,10:00:00,10.00,1012.71,0.00,73,0.00,1011.92,30.8,250,32.51,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.7,08-18-2019,10:00:00,10.00,1011.51,0.00,60,0.00,1010.88,31.3,200,27.57,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.4,08-18-2019,10:00:00,10.00,1011.95,0.00,66,0.00,1011.55,32.6,000,32.49,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,21.8,08-18-2019,10:00:00,8.00,1013.87,0.00,59,0.00,1009.68,30.7,350,26.17,5.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.1,08-18-2019,10:00:00,10.00,1009.99,0.00,75,0.00,1008.39,29.0,000,30.01,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.0,08-18-2019,10:00:00,12.00,1012.55,0.00,77,0.00,1009.09,29.6,000,31.77,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,08-18-2019,10:00:00,10.00,1011.82,0.00,68,0.00,1010.48,31.2,120,31.02,5.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.1,08-18-2019,10:00:00,15.00,1012.21,0.40,64,0.00,1011.33,30.8,240,28.26,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.6,08-18-2019,10:00:00,10.00,1011.56,0.00,58,0.00,1008.04,31.8,000,27.43,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.2,08-18-2019,10:00:00,10.00,1011.56,0.00,70,0.00,1011.12,31.3,000,32.10,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.6,08-18-2019,10:00:00,10.00,1011.28,0.00,62,0.00,1010.30,31.7,000,29.19,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,27.5,08-18-2019,10:00:00,10.00,1011.87,0.00,89,0.00,1011.06,29.4,000,36.63,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.8,08-18-2019,10:00:00,13.00,1011.93,2.50,71,0.00,1010.13,30.6,000,31.23,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.8,08-18-2019,10:00:00,9.00,1012.15,0.30,78,0.00,1011.41,30.0,050,33.17,9.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,08-18-2019,10:00:00,10.00,1012.08,0.00,72,0.00,1008.11,30.3,100,30.91,7.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.6,08-18-2019,10:00:00,10.00,1012.98,0.00,65,0.00,1012.30,32.0,000,30.94,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.6,08-18-2019,10:00:00,10.00,1011.88,0.00,69,0.00,1010.77,31.0,080,30.90,5.6
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,26.6,08-18-2019,10:00:00,12.00,1012.03,0.00,75,0.00,1009.15,31.6,360,34.82,7.4
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.2,08-18-2019,10:00:00,10.00,1012.11,18.80,66,0.00,1011.43,31.2,000,30.16,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.8,08-18-2019,10:00:00,9.00,1012.27,10.60,68,0.00,1008.18,30.4,000,29.42,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.4,08-18-2019,10:00:00,12.00,1012.92,1.60,62,0.00,1012.34,30.5,000,27.14,0.0
