WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,StationPressure,WindDirection,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,Rainfall,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,12.00,07-16-2019,16:00:00,25.0,971.23,160,63,31.66,1001.29,32.9,0.00,0.00,1.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,07-16-2019,16:00:00,19.9,841.86,120,88,23.18,1000.59,21.9,17.70,0.00,1.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,07-16-2019,16:00:00,22.5,957.55,190,49,27.20,999.59,34.8,0.00,0.00,9.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,15.00,07-16-2019,16:00:00,20.3,955.69,250,44,23.85,999.61,34.5,0.00,0.00,9.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,07-16-2019,16:00:00,22.6,965.14,000,55,27.36,1001.72,32.9,0.00,0.00,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,12.00,07-16-2019,16:00:00,21.7,956.66,230,49,25.90,1000.24,34.0,0.00,0.00,9.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,12.00,07-16-2019,16:00:00,23.4,975.24,180,50,28.80,1001.03,35.3,0.00,0.00,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,16.00,07-16-2019,16:00:00,20.3,980.13,230,39,23.84,1001.06,36.5,0.00,0.00,13.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10.00,07-16-2019,16:00:00,23.7,979.53,000,71,29.33,1003.29,29.5,0.00,0.00,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,07-16-2019,16:00:00,21.4,967.43,220,45,25.47,1000.73,35.2,0.00,0.00,5.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,07-16-2019,16:00:00,21.9,974.03,000,46,26.34,1000.57,35.5,0.00,0.00,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,15.00,07-16-2019,16:00:00,20.8,967.66,000,42,24.50,999.97,35.7,0.00,0.00,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,07-16-2019,16:00:00,22.7,982.70,270,49,27.52,1000.58,35.1,0.01,0.00,14.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,07-16-2019,16:00:00,21.1,978.32,000,43,24.94,1000.32,35.5,0.00,0.00,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,07-16-2019,16:00:00,23.8,971.58,000,54,29.46,1000.49,34.5,0.00,0.00,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,07-16-2019,16:00:00,22.3,966.16,000,47,26.99,1000.40,35.4,0.00,0.00,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,16.00,07-16-2019,16:00:00,24.2,970.76,100,52,30.24,999.37,35.7,0.00,0.00,5.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,11.00,07-16-2019,16:00:00,23.2,994.76,110,48,28.43,1001.81,36.1,1.00,0.00,5.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,19.00,07-16-2019,16:00:00,25.5,981.21,160,55,32.63,1000.39,36.1,0.00,0.00,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,17.00,07-16-2019,16:00:00,20.7,972.26,210,42,24.39,999.90,35.5,0.00,0.00,5.6
