WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,StationPressure,LandVisibility,Rainfall,RelativeHumidity,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,32.7,09-06-2019,16:00:00,30.94,1002.10,0.00,000,0.0,972.00,15.00,0.00,63,24.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,23.0,09-06-2019,16:00:00,25.60,1001.71,0.00,000,0.0,843.33,8.00,0.00,91,21.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,32.8,09-06-2019,16:00:00,28.56,1000.68,0.00,160,9.3,958.33,12.00,0.00,57,23.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,32.5,09-06-2019,16:00:00,28.25,1001.00,0.00,000,0.0,956.75,15.00,0.00,58,23.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,32.0,09-06-2019,16:00:00,30.36,1002.12,0.00,000,0.0,965.43,12.00,0.00,64,24.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,33.0,09-06-2019,16:00:00,27.84,1001.33,0.00,170,11.1,957.56,15.00,0.00,55,22.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,33.5,09-06-2019,16:00:00,31.75,1002.81,0.60,000,0.0,976.83,12.00,0.00,61,25.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,31.8,09-06-2019,16:00:00,27.43,1003.17,0.01,210,13.0,981.88,15.00,0.00,58,22.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.6,09-06-2019,16:00:00,30.34,1005.09,3.70,000,0.0,981.22,10.00,0.00,78,24.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,33.2,09-06-2019,16:00:00,27.67,1001.94,0.00,170,3.7,968.39,10.00,0.00,54,22.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.3,09-06-2019,16:00:00,29.29,1003.06,0.00,000,0.0,976.26,10.00,0.00,57,23.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,34.0,09-06-2019,16:00:00,27.01,1001.76,0.00,250,5.6,969.21,15.00,0.00,51,22.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,32.8,09-06-2019,16:00:00,31.15,1002.52,0.00,260,9.3,984.48,15.00,0.00,63,24.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,32.5,09-06-2019,16:00:00,32.58,1002.65,0.00,130,7.4,980.37,10.00,0.00,67,25.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.8,09-06-2019,16:00:00,31.68,1002.58,0.00,000,0.0,973.35,12.00,0.00,67,25.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,30.5,09-06-2019,16:00:00,32.75,1002.95,4.60,000,0.0,968.09,7.00,0.00,75,25.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.8,09-06-2019,16:00:00,32.51,1002.46,12.70,300,3.7,973.31,14.00,3.20,73,25.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.0,09-06-2019,16:00:00,30.31,1003.65,5.70,000,0.0,996.44,10.00,0.00,71,24.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,34.5,09-06-2019,16:00:00,33.03,1001.10,5.20,280,5.6,981.81,15.00,0.00,60,25.7
48353,LOEI,เลย,เลย,17.45000,101.73333,32.6,09-06-2019,16:00:00,29.87,1002.15,25.00,020,5.6,974.19,15.00,0.40,61,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.6,09-06-2019,16:00:00,30.44,1002.18,0.00,210,7.4,982.49,10.00,0.00,62,24.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,31.8,09-06-2019,16:00:00,32.86,1003.15,0.50,000,0.0,981.86,15.00,0.00,70,25.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,31.9,09-06-2019,16:00:00,31.02,1002.19,0.50,290,5.6,983.12,15.00,0.00,66,24.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.5,09-06-2019,16:00:00,31.93,1002.94,2.30,260,3.7,986.51,13.00,0.00,69,25.1
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.9,09-06-2019,16:00:00,33.37,1003.22,0.80,000,0.0,986.16,12.00,0.80,71,25.9
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,33.0,09-06-2019,16:00:00,32.16,1000.98,0.00,090,9.3,975.88,15.00,0.00,64,25.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,32.5,09-06-2019,16:00:00,31.69,1003.39,0.00,260,11.1,997.72,10.00,0.00,65,25.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.4,09-06-2019,16:00:00,29.75,1004.52,0.00,280,13.0,998.46,12.00,0.00,61,24.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,30.8,09-06-2019,16:00:00,29.65,1004.26,0.00,000,0.0,988.08,10.00,0.00,67,23.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.6,09-06-2019,16:00:00,29.00,1004.81,12.40,240,5.6,982.51,10.00,0.80,83,23.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.2,09-06-2019,16:00:00,26.34,1005.29,0.00,270,11.1,991.04,8.00,0.00,65,21.9
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,30.0,09-06-2019,16:00:00,28.09,1003.68,0.00,000,0.0,987.51,16.00,0.00,66,23.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.6,09-06-2019,16:00:00,31.80,1003.80,0.60,180,5.6,998.65,10.00,0.01,72,25.1
