WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,WindSpeed,DewPoint,AirTemperature,StationPressure,RelativeHumidity,Rainfall24Hr,LandVisibility
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.21,08-03-2019,01:00:00,1004.45,0.00,000,0.0,23.6,27.0,995.15,82,0.01,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.54,08-03-2019,01:00:00,1003.27,0.00,240,9.3,22.1,28.0,981.74,70,0.00,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.67,08-03-2019,01:00:00,1003.70,0.00,210,5.6,23.3,27.0,986.26,80,0.00,8.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.83,08-03-2019,01:00:00,1001.38,0.00,190,5.6,21.0,28.5,985.71,64,0.00,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.82,08-03-2019,01:00:00,1002.41,0.00,200,5.6,23.4,27.8,983.67,77,0.00,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.01,08-03-2019,01:00:00,1009.25,0.40,000,0.0,21.7,22.5,957.39,95,7.20,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.20,08-03-2019,01:00:00,1004.90,0.00,000,0.0,25.3,27.7,1000.96,87,0.00,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.77,08-03-2019,01:00:00,1006.95,6.00,210,22.2,19.6,19.9,911.37,98,15.00,.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.03,08-03-2019,01:00:00,1003.12,0.80,000,0.0,23.0,26.5,987.17,81,0.80,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.64,08-03-2019,01:00:00,1005.25,0.00,210,9.3,22.1,29.8,1001.26,64,0.00,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.06,08-03-2019,01:00:00,1007.12,0.00,000,0.0,21.8,27.0,996.44,73,0.00,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.11,08-03-2019,01:00:00,1006.25,0.00,000,0.0,22.4,27.3,1004.32,75,0.00,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.14,08-03-2019,01:00:00,1004.29,0.00,250,9.3,19.8,27.2,983.50,64,0.00,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.23,08-03-2019,01:00:00,1002.96,0.40,230,11.1,21.9,26.8,985.36,74,0.40,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.84,08-03-2019,01:00:00,1002.83,0.40,210,9.3,23.4,26.8,986.73,82,0.40,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.52,08-03-2019,01:00:00,1003.98,1.80,230,9.3,22.7,26.8,989.98,78,4.20,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.18,08-03-2019,01:00:00,1004.28,0.30,000,0.0,23.1,26.0,989.44,84,2.10,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.08,08-03-2019,01:00:00,1004.62,0.00,240,5.6,23.0,27.4,990.01,77,0.01,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.24,08-03-2019,01:00:00,1005.51,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,22.5,28.1,1002.50,72,0.10,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.32,08-03-2019,01:00:00,1004.93,0.00,000,0.0,21.9,27.0,996.99,74,0.50,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.70,08-03-2019,01:00:00,1006.52,0.00,190,5.6,22.2,27.8,1005.41,71,0.30,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.23,08-03-2019,01:00:00,1005.03,0.00,000,0.0,24.2,27.4,990.40,83,0.00,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.52,08-03-2019,01:00:00,1009.02,0.00,280,16.7,18.7,19.0,873.56,98,2.20,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.75,08-03-2019,01:00:00,1005.33,0.00,190,5.6,21.6,27.7,999.48,69,0.00,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.18,08-03-2019,01:00:00,1006.98,0.00,270,7.4,22.5,28.5,1006.18,70,0.20,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.06,08-03-2019,01:00:00,1006.90,0.00,230,11.1,21.1,29.8,1006.46,60,0.01,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.86,08-03-2019,01:00:00,1008.90,1.00,000,0.0,22.9,24.5,997.48,91,10.70,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.75,08-03-2019,01:00:00,1006.76,0.00,180,3.7,22.8,27.8,1005.75,74,0.40,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.52,08-03-2019,01:00:00,1006.73,0.00,160,5.6,22.1,27.7,1004.91,71,0.00,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.88,08-03-2019,01:00:00,1006.31,0.00,000,0.0,22.3,27.9,1005.54,72,0.01,4.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.57,08-03-2019,01:00:00,1007.38,0.00,230,7.4,22.7,27.7,1006.67,74,0.01,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.60,08-03-2019,01:00:00,1006.89,0.00,000,0.0,23.9,27.5,1006.18,81,0.20,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,25.51,08-03-2019,01:00:00,1005.46,0.00,260,13.0,21.4,28.3,984.43,66,0.01,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.33,08-03-2019,01:00:00,1004.68,0.00,000,0.0,21.9,27.3,988.02,73,0.00,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.84,08-03-2019,01:00:00,1005.08,0.00,190,3.7,22.3,27.0,988.68,75,0.00,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.56,08-03-2019,01:00:00,1005.31,0.00,000,0.0,20.1,28.5,983.60,61,0.10,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.94,08-03-2019,01:00:00,1006.55,0.00,250,18.5,19.0,26.0,963.20,65,0.01,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.63,08-03-2019,01:00:00,1005.27,0.00,230,7.4,20.9,27.2,984.76,68,0.00,20.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.18,08-03-2019,01:00:00,1006.03,0.00,230,11.1,22.5,26.9,985.23,77,0.10,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.77,08-03-2019,01:00:00,1007.19,0.00,220,11.1,24.0,27.3,1006.76,82,1.80,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,29.91,08-03-2019,01:00:00,1006.55,0.00,000,0.0,24.0,25.5,1005.13,92,0.40,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,29.08,08-03-2019,01:00:00,1006.98,0.00,240,3.7,23.6,26.5,1002.04,84,0.00,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.84,08-03-2019,01:00:00,1006.80,0.30,000,0.0,23.4,26.8,1003.50,82,0.30,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.62,08-03-2019,01:00:00,1006.94,0.00,230,3.7,22.7,27.0,1005.83,77,0.01,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.81,08-03-2019,01:00:00,1007.12,0.00,190,5.6,23.4,28.8,1006.83,73,0.01,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.91,08-03-2019,01:00:00,1007.06,0.00,240,3.7,22.3,28.5,1006.58,69,0.20,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,26.48,08-03-2019,01:00:00,1007.23,0.00,240,16.7,22.0,28.7,1005.83,67,0.80,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.50,08-03-2019,01:00:00,1009.29,0.00,000,0.0,23.8,26.0,1001.25,88,0.01,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.96,08-03-2019,01:00:00,1007.22,0.00,000,0.0,25.7,28.5,1006.93,85,0.00,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.08,08-03-2019,01:00:00,1007.09,0.00,270,7.4,23.6,28.8,1003.98,73,0.01,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,29.60,08-03-2019,01:00:00,1007.48,0.00,240,5.6,23.9,28.5,1000.57,76,0.00,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.62,08-03-2019,01:00:00,1006.40,0.00,250,9.3,22.7,27.0,1000.80,77,0.30,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.23,08-03-2019,01:00:00,1007.76,0.01,000,0.0,23.7,26.0,1006.49,87,1.40,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.71,08-03-2019,01:00:00,1008.28,1.40,260,7.4,24.5,25.5,1007.85,94,2.10,10.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.02,08-03-2019,01:00:00,1008.48,3.80,000,0.0,23.0,24.3,996.10,92,11.30,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.57,08-03-2019,01:00:00,1008.33,0.90,240,7.4,24.4,26.0,1007.61,91,2.00,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.13,08-03-2019,01:00:00,1007.94,0.00,280,14.8,24.7,29.0,1007.42,78,1.20,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.52,08-03-2019,01:00:00,1007.77,0.00,270,1.9,23.8,27.6,1002.62,80,0.00,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.89,08-03-2019,01:00:00,1007.82,0.00,000,0.0,24.6,27.6,1007.40,84,4.20,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.17,08-03-2019,01:00:00,1007.86,0.00,000,0.0,23.6,26.4,1005.08,85,38.30,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.82,08-03-2019,01:00:00,1007.68,0.00,000,0.0,23.4,26.5,1006.89,83,5.20,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.16,08-03-2019,01:00:00,1008.47,0.00,260,11.1,24.7,27.6,1008.02,84,35.20,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.22,08-03-2019,01:00:00,1009.26,0.00,000,0.0,24.2,24.8,1008.57,97,12.00,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.11,08-03-2019,01:00:00,1008.92,0.00,250,7.4,24.7,27.0,1007.39,87,29.20,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.20,08-03-2019,01:00:00,1009.64,0.00,000,0.0,25.3,26.0,1008.72,96,89.60,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.55,08-03-2019,01:00:00,1009.58,0.00,000,0.0,24.9,26.8,1008.89,90,1.40,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,30.20,08-03-2019,01:00:00,1010.19,0.00,000,0.0,24.2,24.5,1009.38,98,3.60,6.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.59,08-03-2019,01:00:00,1009.37,0.00,000,0.0,23.9,24.6,1008.73,96,8.10,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.91,08-03-2019,01:00:00,1009.66,0.00,000,0.0,24.0,25.5,1009.25,92,0.00,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.53,08-03-2019,01:00:00,1011.86,0.00,000,0.0,23.3,24.0,1007.59,96,23.00,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.08,08-03-2019,01:00:00,1010.15,0.00,000,0.0,23.0,23.3,1008.51,98,3.40,6.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,27.66,08-03-2019,01:00:00,1010.34,0.00,000,0.0,22.8,23.5,1006.81,96,11.00,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.48,08-03-2019,01:00:00,1009.96,0.00,000,0.0,23.2,25.0,1008.59,90,0.00,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.61,08-03-2019,01:00:00,1010.46,0.00,240,5.6,25.5,27.2,1009.57,90,0.50,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,29.15,08-03-2019,01:00:00,1010.28,0.00,000,0.0,23.6,24.5,1006.68,95,3.90,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.88,08-03-2019,01:00:00,1010.27,0.00,000,0.0,24.0,27.5,1009.83,81,0.00,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.24,08-03-2019,01:00:00,1009.83,0.00,330,11.1,24.2,29.4,1008.85,74,3.50,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.94,08-03-2019,01:00:00,1010.11,0.00,260,13.0,26.2,28.0,1009.29,90,0.00,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.93,08-03-2019,01:00:00,1010.06,0.00,000,0.0,25.1,26.0,1008.24,95,0.00,8.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.07,08-03-2019,01:00:00,1009.91,0.00,210,7.4,24.1,27.6,1009.15,81,0.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.25,08-03-2019,01:00:00,1009.90,0.00,000,0.0,24.2,25.4,1005.88,93,0.20,8.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.25,08-03-2019,01:00:00,1009.87,0.00,000,0.0,24.8,25.5,1009.18,96,0.00,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.09,08-03-2019,01:00:00,1009.73,0.00,000,0.0,24.1,25.6,1008.61,92,0.80,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.07,08-03-2019,01:00:00,1010.00,0.00,000,0.0,24.1,25.3,1007.05,93,0.00,10.00
