WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,Rainfall,WindDirection,WindSpeed,DewPoint,AirTemperature,StationPressure,RelativeHumidity,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.07,08-03-2019,01:00:00,1005.42,0.00,000,0.0,24.1,25.3,974.48,93,8.60,7.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.37,08-03-2019,01:00:00,1002.81,0.00,270,9.3,17.8,18.3,841.97,97,4.40,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.54,08-03-2019,01:00:00,1002.61,0.00,240,7.4,21.4,26.7,959.34,73,2.10,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,27.70,08-03-2019,01:00:00,1003.26,0.00,220,11.1,22.8,25.0,957.82,88,13.50,10.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,29.52,08-03-2019,01:00:00,1003.87,0.00,000,0.0,23.8,25.0,966.27,93,0.00,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.02,08-03-2019,01:00:00,1004.03,0.00,000,0.0,21.7,25.5,959.06,80,0.00,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.48,08-03-2019,01:00:00,1003.86,0.00,210,5.6,23.8,25.7,977.19,89,0.00,7.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.04,08-03-2019,01:00:00,1005.28,0.00,230,3.7,21.8,26.4,983.56,76,0.00,14.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.41,08-03-2019,01:00:00,1007.19,3.00,000,0.0,23.8,24.5,982.95,96,14.10,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.18,08-03-2019,01:00:00,1004.96,0.00,000,0.0,23.1,26.0,970.52,84,3.30,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.36,08-03-2019,01:00:00,1004.72,0.00,000,0.0,22.6,27.0,977.32,77,1.80,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.12,08-03-2019,01:00:00,1004.50,0.00,240,7.4,23.0,28.0,971.23,74,0.00,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.77,08-03-2019,01:00:00,1004.16,0.00,270,3.7,22.8,26.5,985.71,80,1.10,10.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,29.95,08-03-2019,01:00:00,1003.75,0.00,000,0.0,24.1,26.1,980.98,89,0.00,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.72,08-03-2019,01:00:00,1003.94,0.00,000,0.0,23.9,25.4,974.06,92,0.00,8.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.81,08-03-2019,01:00:00,1004.35,0.00,000,0.0,22.2,26.4,968.98,78,3.40,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.76,08-03-2019,01:00:00,1001.82,0.00,280,13.0,21.6,28.0,972.42,68,0.00,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.10,08-03-2019,01:00:00,1004.93,0.00,000,0.0,23.0,27.7,997.65,76,0.00,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.71,08-03-2019,01:00:00,1001.32,0.00,270,9.3,23.4,27.6,981.59,78,0.00,11.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.06,08-03-2019,01:00:00,1002.43,0.00,280,11.1,19.8,28.5,974.09,59,0.00,13.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.84,08-03-2019,01:00:00,1001.77,0.00,240,9.3,21.6,27.9,981.78,69,0.00,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.38,08-03-2019,01:00:00,1001.65,0.00,240,9.3,20.7,27.5,980.09,66,0.00,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.49,08-03-2019,01:00:00,1001.51,0.00,270,9.3,21.4,27.7,982.19,69,0.00,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.17,08-03-2019,01:00:00,1001.97,0.80,000,0.0,24.7,25.6,985.24,95,19.80,10.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,31.38,08-03-2019,01:00:00,1002.14,0.30,000,0.0,24.8,26.0,984.77,93,2.00,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.95,08-03-2019,01:00:00,1001.89,0.00,000,0.0,24.1,26.1,976.18,89,0.00,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.13,08-03-2019,01:00:00,1004.50,0.00,000,0.0,22.4,27.6,998.74,73,0.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,29.19,08-03-2019,01:00:00,1004.47,0.00,000,0.0,23.6,28.0,998.32,77,0.00,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,28.18,08-03-2019,01:00:00,1005.04,0.00,000,0.0,23.1,26.0,988.58,84,0.00,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.52,08-03-2019,01:00:00,1006.80,23.80,250,13.0,21.4,22.5,984.16,94,48.80,6.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.70,08-03-2019,01:00:00,1005.77,0.00,270,18.5,20.9,26.5,991.38,71,0.00,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.40,08-03-2019,01:00:00,1004.40,0.00,120,9.3,21.3,27.5,988.09,69,0.00,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.17,08-03-2019,01:00:00,1004.67,0.00,000,0.0,24.2,27.8,999.47,81,2.40,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.27,08-03-2019,01:00:00,1003.60,0.00,000,0.0,23.7,26.6,990.43,84,0.00,10.00
