WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,WindDirection,VaporPressure,WindSpeed,MaximumTemperature
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.5,09-21-2019,19:00:00,94,43.40,1008.14,7.00,0.80,25.5,1007.34,000,32.63,0.0,30.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,26.8,09-21-2019,19:00:00,88,43.00,1008.07,10.00,0.00,24.6,1007.62,000,31.00,0.0,29.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.4,09-21-2019,19:00:00,94,60.00,1008.70,4.00,0.20,24.4,997.32,000,30.52,0.0,30.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,26.1,09-21-2019,19:00:00,93,19.00,1008.54,5.00,6.30,24.9,1007.53,000,31.57,0.0,29.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.0,09-21-2019,19:00:00,97,88.10,1008.20,6.00,55.00,24.6,1006.37,000,30.85,0.0,28.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.8,09-21-2019,19:00:00,87,51.10,1008.09,7.00,0.00,24.5,1007.32,000,30.72,0.0,30.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,25.7,09-21-2019,19:00:00,95,38.00,1008.50,9.00,0.60,24.8,1007.80,010,31.36,5.6,29.9
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.7,09-21-2019,19:00:00,93,6.70,1007.90,6.00,4.00,24.5,1007.19,000,30.81,0.0,32.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.6,09-21-2019,19:00:00,95,20.80,1008.32,10.00,6.00,23.7,986.97,210,29.33,3.7,30.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.9,09-21-2019,19:00:00,88,7.10,1008.21,8.00,0.30,24.7,991.47,000,31.19,0.0,30.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.2,09-21-2019,19:00:00,81,4.00,1008.94,6.00,0.20,23.6,992.49,090,29.04,5.6,30.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,25.0,09-21-2019,19:00:00,92,35.60,1008.13,10.00,7.00,23.5,986.11,000,29.00,0.0,29.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,24.0,09-21-2019,19:00:00,96,4.20,1008.49,9.00,2.30,23.3,964.77,100,28.53,5.6,29.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.0,09-21-2019,19:00:00,98,28.60,1007.75,8.00,2.80,24.7,987.05,120,31.12,3.7,30.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.4,09-21-2019,19:00:00,100,28.60,1009.77,7.00,18.40,24.4,988.72,100,30.54,3.7,30.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.7,09-21-2019,19:00:00,94,9.80,1008.26,10.00,0.00,24.7,1007.83,320,31.08,1.9,31.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,09-21-2019,19:00:00,96,31.60,1007.98,6.00,4.00,24.8,1006.55,000,31.25,0.0,31.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.5,09-21-2019,19:00:00,97,8.10,1008.12,7.00,1.40,25.1,1003.15,000,31.79,0.0,30.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.0,09-21-2019,19:00:00,92,34.70,1008.43,10.00,0.00,24.6,1005.12,000,30.84,0.0,29.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.7,09-21-2019,19:00:00,91,15.80,1008.24,10.00,0.00,25.1,1007.13,000,31.91,0.0,29.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.8,09-21-2019,19:00:00,96,39.40,1008.35,7.00,0.80,25.1,1008.05,320,31.82,3.7,29.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.1,09-21-2019,19:00:00,92,25.10,1008.17,4.00,0.50,23.8,1007.47,000,29.44,0.0,29.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.6,09-21-2019,19:00:00,97,19.30,1008.24,8.00,1.40,25.2,1007.75,000,31.98,0.0,30.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.7,09-21-2019,19:00:00,97,20.60,1008.43,8.00,0.60,25.1,1007.01,000,31.90,0.0,30.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.2,09-21-2019,19:00:00,96,2.70,1008.19,8.00,0.20,26.5,1006.51,000,34.60,0.0,29.7
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.6,09-21-2019,19:00:00,97,3.40,1009.81,10.00,0.90,25.0,1001.74,000,31.71,0.0,27.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.6,09-21-2019,19:00:00,90,6.30,1007.59,10.00,0.00,25.8,1007.31,000,33.13,0.0,31.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.0,09-21-2019,19:00:00,92,30.20,1007.67,10.00,0.00,25.6,1004.53,000,32.77,0.0,30.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.0,09-21-2019,19:00:00,88,19.90,1008.27,10.00,0.00,24.8,1001.32,240,31.38,5.6,29.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.0,09-21-2019,19:00:00,95,28.50,1008.37,7.00,0.00,25.1,1002.75,000,31.93,0.0,29.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.5,09-21-2019,19:00:00,88,26.00,1010.09,9.00,0.00,25.4,1000.76,240,32.36,7.4,29.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.8,09-21-2019,19:00:00,93,3.00,1009.13,10.00,0.01,24.6,1007.86,000,31.00,0.0,32.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.6,09-21-2019,19:00:00,95,8.20,1008.49,8.00,6.60,24.7,1008.06,320,31.17,9.3,32.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.6,09-21-2019,19:00:00,88,31.60,1009.17,7.00,29.30,22.5,996.79,000,27.27,0.0,32.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.5,09-21-2019,19:00:00,97,25.90,1008.49,8.00,25.90,25.1,1007.77,290,31.79,5.6,31.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.1,09-21-2019,19:00:00,87,6.40,1008.41,9.00,0.00,24.8,1005.97,000,31.30,0.0,29.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,27.5,09-21-2019,19:00:00,84,4.40,1008.78,7.00,0.00,24.6,1008.26,000,30.97,0.0,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.5,09-21-2019,19:00:00,89,3.30,1008.06,9.00,0.00,24.6,1002.90,000,30.97,0.0,29.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.0,09-21-2019,19:00:00,93,55.20,1008.17,7.00,0.00,25.7,1007.76,000,33.06,0.0,29.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.3,09-21-2019,19:00:00,96,31.70,1008.69,8.00,0.00,25.6,1005.91,000,32.79,0.0,29.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,09-21-2019,19:00:00,88,2.70,1009.64,6.00,0.30,24.3,1008.85,240,30.43,9.3,33.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.8,09-21-2019,19:00:00,90,12.20,1008.49,6.00,0.00,24.9,1008.03,060,31.55,1.9,28.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.2,09-21-2019,19:00:00,77,1.20,1008.63,8.00,0.00,23.9,1007.95,000,29.57,0.0,31.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,26.8,09-21-2019,19:00:00,82,5.60,1008.05,8.00,0.00,23.4,1006.52,000,28.84,0.0,32.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,27.5,09-21-2019,19:00:00,81,2.20,1009.11,10.00,0.00,24.0,1008.20,000,29.88,0.0,30.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.8,09-21-2019,19:00:00,94,1.30,1009.22,7.00,1.30,25.7,1008.53,200,32.94,7.4,33.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.5,09-21-2019,19:00:00,81,0.00,1008.74,8.00,0.00,23.9,1007.95,000,29.60,0.0,34.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.4,09-21-2019,19:00:00,89,0.30,1008.69,10.00,0.00,25.4,1008.05,000,32.45,0.0,33.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.0,09-21-2019,19:00:00,88,0.20,1008.35,10.00,0.00,25.9,1007.94,000,33.37,0.0,33.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.8,09-21-2019,19:00:00,95,15.40,1010.82,6.00,15.40,24.9,1006.58,000,31.55,0.0,33.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.5,09-21-2019,19:00:00,88,0.00,1008.19,10.00,0.00,24.3,1006.58,000,30.43,0.0,33.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,27.0,09-21-2019,19:00:00,90,0.70,1008.56,8.00,0.00,25.1,1005.08,000,31.94,0.0,33.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.8,09-21-2019,19:00:00,91,0.60,1008.89,9.00,0.00,25.2,1007.53,000,32.10,0.0,34.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.4,09-21-2019,19:00:00,88,0.00,1008.03,10.00,0.00,25.3,1007.15,000,32.16,0.0,31.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.4,09-21-2019,19:00:00,85,0.00,1008.27,10.00,0.00,24.7,1004.71,000,31.05,0.0,33.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.3,09-21-2019,19:00:00,74,0.00,1007.99,10.00,0.00,24.3,1007.56,290,30.32,5.6,33.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.9,09-21-2019,19:00:00,76,0.00,1007.78,10.00,0.00,24.3,1006.79,280,30.37,7.4,31.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.2,09-21-2019,19:00:00,76,0.00,1008.27,10.00,0.00,23.5,1007.46,100,29.03,5.6,31.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.0,09-21-2019,19:00:00,81,0.00,1007.91,5.00,0.00,25.3,1006.11,000,32.26,0.0,33.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.4,09-21-2019,19:00:00,87,1.20,1008.03,4.00,1.20,25.1,1007.28,000,31.89,0.0,31.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.0,09-21-2019,19:00:00,77,0.00,1008.13,5.00,0.00,24.6,1004.16,990,30.85,5.6,33.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.0,09-21-2019,19:00:00,85,0.00,1010.67,5.00,0.00,25.1,1009.99,000,31.95,0.0,33.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.7,09-21-2019,19:00:00,78,0.00,1007.83,10.00,0.00,24.4,1006.72,000,30.54,0.0,33.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,28.6,09-21-2019,19:00:00,83,0.00,1008.15,7.00,0.00,25.3,1005.24,000,32.30,0.0,34.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.0,09-21-2019,19:00:00,88,0.00,1008.03,6.00,0.00,25.9,1007.34,000,33.37,0.0,32.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.2,09-21-2019,19:00:00,82,0.00,1008.78,4.00,0.00,23.0,1004.64,320,28.01,3.7,33.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.7,09-21-2019,19:00:00,85,0.00,1008.53,8.00,0.00,25.9,1007.94,110,33.37,9.3,32.2
