WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,VaporPressure,WindSpeed,Rainfall,AirTemperature,DewPoint,WindDirection,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,7.00,08-31-2019,04:00:00,969.27,30.63,0.0,0.00,25.6,24.4,000,93,0.10,1000.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-31-2019,04:00:00,839.66,20.62,0.0,0.00,19.3,18.0,000,92,0.00,999.47
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,12.00,08-31-2019,04:00:00,956.44,29.56,7.4,0.00,25.6,23.8,030,90,1.00,999.75
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-31-2019,04:00:00,954.43,29.25,0.0,0.00,24.7,23.7,000,94,2.00,999.76
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,08-31-2019,04:00:00,962.71,29.82,0.0,0.00,24.0,24.0,000,100,17.60,1000.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10.00,08-31-2019,04:00:00,954.85,29.57,0.0,1.50,24.3,23.9,000,97,30.90,999.79
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.00,08-31-2019,04:00:00,973.36,30.34,0.0,0.00,25.3,24.3,000,94,13.60,999.97
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,6.00,08-31-2019,04:00:00,979.22,30.20,0.0,7.50,24.5,24.2,000,98,82.40,1000.98
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,4.00,08-31-2019,04:00:00,976.42,30.58,0.0,8.90,25.0,24.4,000,97,9.90,1000.46
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,8.00,08-31-2019,04:00:00,966.38,29.79,0.0,0.10,25.0,24.0,000,94,9.00,1000.79
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,7.00,08-31-2019,04:00:00,974.01,28.53,0.0,6.80,24.0,23.3,000,96,33.90,1001.60
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-31-2019,04:00:00,966.75,30.50,0.0,0.30,25.1,24.4,000,96,20.50,1000.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10.00,08-31-2019,04:00:00,981.11,29.75,0.0,4.20,24.4,24.0,000,97,88.80,999.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-31-2019,04:00:00,976.66,30.32,0.0,0.00,25.0,24.3,000,96,3.70,999.41
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,5.00,08-31-2019,04:00:00,969.98,29.33,0.0,0.00,24.6,23.7,000,95,16.80,999.82
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,5.00,08-31-2019,04:00:00,965.30,30.25,0.0,1.00,25.4,24.2,000,93,45.80,1000.66
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,3.00,08-31-2019,04:00:00,968.73,27.82,0.0,4.50,23.0,22.8,000,99,58.30,998.52
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.00,08-31-2019,04:00:00,991.93,31.25,0.0,0.01,25.5,24.8,000,96,36.60,999.21
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.00,08-31-2019,04:00:00,979.10,29.82,7.4,12.20,24.0,24.0,110,100,27.20,999.02
48353,LOEI,เลย,เลย,17.45000,101.73333,5.00,08-31-2019,04:00:00,970.48,27.08,9.3,6.90,23.3,22.4,290,95,26.30,999.22
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.00,08-31-2019,04:00:00,978.37,28.53,5.6,4.80,24.0,23.3,140,96,31.50,998.56
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,7.00,08-31-2019,04:00:00,979.17,27.25,5.6,0.60,24.0,22.5,140,91,35.40,1000.96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,8.00,08-31-2019,04:00:00,981.32,28.18,5.6,0.40,23.8,23.1,150,96,42.30,1000.88
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,6.00,08-31-2019,04:00:00,986.25,27.66,0.0,32.20,23.5,22.8,000,96,55.10,1003.12
