WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,VaporPressure,StationPressure,WindSpeed,WindDirection,LandVisibility,Rainfall,AirTemperature,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.92,07-29-2019,10:00:00,66,27.90,978.34,0.0,000,12.00,0.00,29.9,0.00,22.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1006.50,07-29-2019,10:00:00,84,19.89,846.00,27.8,290,8.00,0.00,20.2,0.20,17.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1007.13,07-29-2019,10:00:00,62,27.14,964.19,9.3,220,15.00,0.00,30.5,0.00,22.4
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1007.24,07-29-2019,10:00:00,68,28.72,962.34,0.0,000,15.00,0.00,29.9,0.00,23.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.68,07-29-2019,10:00:00,68,28.83,970.56,0.0,000,12.00,0.00,30.1,0.00,23.4
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.23,07-29-2019,10:00:00,57,27.19,963.08,7.4,220,11.00,0.00,32.1,0.00,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.31,07-29-2019,10:00:00,63,29.87,982.05,3.7,180,12.00,0.00,31.9,0.00,24.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.47,07-29-2019,10:00:00,63,25.73,986.89,5.6,200,14.00,0.00,29.3,6.80,21.6
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1010.22,07-29-2019,10:00:00,86,29.70,986.06,0.0,000,6.00,0.00,26.4,3.80,23.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1008.32,07-29-2019,10:00:00,65,27.93,974.23,0.0,000,10.00,0.00,30.2,0.00,22.9
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.54,07-29-2019,10:00:00,66,27.53,981.28,0.0,000,10.00,0.00,29.7,0.00,22.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1008.21,07-29-2019,10:00:00,60,25.78,975.05,0.0,000,12.00,0.00,30.2,0.00,21.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1008.12,07-29-2019,10:00:00,72,30.70,989.82,5.6,210,12.00,0.00,30.2,0.00,24.5
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.62,07-29-2019,10:00:00,61,28.82,985.19,7.4,150,10.00,0.00,31.8,0.00,23.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.66,07-29-2019,10:00:00,58,26.56,978.23,0.0,000,12.00,0.00,31.2,0.00,22.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.29,07-29-2019,10:00:00,67,29.06,973.24,0.0,000,8.00,0.00,30.5,1.20,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.13,07-29-2019,10:00:00,60,30.40,977.08,9.3,140,15.00,0.00,33.0,0.00,24.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.40,07-29-2019,10:00:00,65,29.40,1001.19,0.0,000,10.00,0.00,31.1,0.01,23.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.77,07-29-2019,10:00:00,74,34.87,987.21,5.6,230,15.00,0.00,31.9,0.00,26.6
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.64,07-29-2019,10:00:00,50,26.23,978.65,7.4,140,15.00,0.00,33.6,1.70,21.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.13,07-29-2019,10:00:00,59,28.81,987.33,11.1,300,15.00,0.00,32.5,0.00,23.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.66,07-29-2019,10:00:00,70,31.06,986.21,3.7,210,10.00,0.00,30.8,0.40,24.7
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.50,07-29-2019,10:00:00,72,30.70,988.22,5.6,230,15.00,0.00,30.2,0.00,24.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1008.60,07-29-2019,10:00:00,82,30.34,991.87,0.0,000,11.00,0.00,27.6,0.00,24.3
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.82,07-29-2019,10:00:00,84,30.02,991.39,3.7,140,12.00,0.00,27.0,0.00,24.1
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.99,07-29-2019,10:00:00,60,28.66,980.67,0.0,000,12.00,0.00,32.0,0.60,23.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.97,07-29-2019,10:00:00,59,29.54,1002.29,5.6,270,10.00,0.00,33.0,0.00,23.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1008.59,07-29-2019,10:00:00,66,30.49,1002.48,0.0,000,12.00,0.00,31.5,0.00,24.4
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.91,07-29-2019,10:00:00,64,29.84,992.70,0.0,000,10.00,0.00,31.6,0.00,24.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1009.24,07-29-2019,10:00:00,84,28.18,986.80,0.0,000,10.00,0.00,26.0,0.30,23.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.20,07-29-2019,10:00:00,56,25.22,994.98,18.5,260,10.00,0.00,31.2,1.00,21.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.24,07-29-2019,10:00:00,54,26.78,992.14,11.1,120,7.00,0.00,32.6,0.00,22.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.70,07-29-2019,10:00:00,60,28.66,1003.55,5.6,240,10.00,0.00,32.0,0.00,23.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.94,07-29-2019,10:00:00,66,31.23,993.97,0.0,000,12.00,0.00,32.0,0.00,24.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.79,07-29-2019,10:00:00,54,25.91,999.60,5.6,140,14.00,0.00,32.0,0.00,21.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.62,07-29-2019,10:00:00,63,30.61,986.30,9.3,270,10.00,0.00,32.4,0.00,24.4
