WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,VaporPressure,RelativeHumidity,Rainfall,DewPoint,MeanSeaLevelPressure,WindDirection,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-29-2019,13:00:00,30.63,93,9.20,24.4,1003.20,290,10.00,25.6,36.00,989.15,7.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-29-2019,13:00:00,29.91,92,2.40,24.0,1003.01,000,6.00,25.5,60.00,988.17,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-29-2019,13:00:00,33.27,97,4.00,25.8,1004.10,310,6.00,26.4,13.40,989.44,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-29-2019,13:00:00,31.60,67,0.00,25.0,1004.63,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,31.9,0.80,1001.66,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-29-2019,13:00:00,33.88,79,0.00,26.1,1004.39,000,10.00,30.2,0.00,996.55,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-29-2019,13:00:00,32.96,75,0.00,25.7,1005.74,320,8.00,30.6,2.10,1004.65,3.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-29-2019,13:00:00,33.19,96,11.80,25.8,1004.21,000,5.00,26.5,29.50,989.54,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-29-2019,13:00:00,24.08,98,0.00,20.5,1005.33,250,.10,20.8,0.40,871.11,1.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-29-2019,13:00:00,34.95,88,0.20,26.7,1004.91,000,8.00,28.9,75.00,999.08,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-29-2019,13:00:00,30.49,61,0.00,24.4,1004.96,300,8.00,32.9,7.40,1004.17,11.1
