WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,DewPoint,Rainfall24Hr,WindSpeed,StationPressure,VaporPressure,WindDirection,AirTemperature,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-16-2019,04:00:00,1003.72,8.00,23.4,0.00,1.9,972.93,28.80,170,26.2,85
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-16-2019,04:00:00,1002.34,8.00,17.8,0.00,13.0,841.87,20.31,290,18.9,93
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,07-16-2019,04:00:00,1002.62,10.00,22.6,0.00,0.0,959.47,27.39,000,27.6,74
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,07-16-2019,04:00:00,1002.29,10.00,23.2,0.00,9.3,957.22,28.43,260,27.3,78
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,07-16-2019,04:00:00,1003.20,6.00,24.1,0.00,0.0,965.68,29.99,000,25.4,92
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,07-16-2019,04:00:00,1002.33,10.00,22.6,0.00,13.0,957.52,27.40,120,26.0,82
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,07-16-2019,04:00:00,1003.81,10.00,23.2,0.00,0.0,977.22,28.47,000,26.6,82
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-16-2019,04:00:00,1004.00,13.00,22.0,1.10,0.0,982.28,26.37,000,26.0,78
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-16-2019,04:00:00,1004.68,6.00,23.0,0.00,0.0,980.49,28.11,000,24.5,91
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-16-2019,04:00:00,1004.00,10.00,22.3,0.00,0.0,969.59,26.88,000,26.0,80
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-16-2019,04:00:00,1003.55,10.00,22.2,0.00,0.0,976.11,26.72,000,26.2,79
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-16-2019,04:00:00,1003.38,10.00,22.4,0.00,0.0,969.94,27.06,000,26.1,80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-16-2019,04:00:00,1003.09,10.00,23.1,0.01,3.7,984.62,28.26,270,25.9,85
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-16-2019,04:00:00,1003.55,10.00,22.9,0.00,0.0,980.90,27.83,000,27.7,75
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-16-2019,04:00:00,1003.70,7.00,24.3,0.00,0.0,973.86,30.46,000,25.8,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-16-2019,04:00:00,1003.63,6.00,23.6,0.00,0.0,968.09,29.16,000,24.8,93
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-16-2019,04:00:00,1002.71,12.00,23.1,0.00,0.0,972.93,28.28,000,24.3,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-16-2019,04:00:00,1003.41,8.00,23.1,1.00,0.0,996.11,28.18,000,26.0,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-16-2019,04:00:00,1002.97,10.00,26.6,0.00,0.0,983.28,34.74,000,28.8,88
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-16-2019,04:00:00,1003.30,12.00,23.8,0.00,0.0,974.67,29.48,000,25.7,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-16-2019,04:00:00,1003.39,10.00,24.1,0.00,0.0,983.29,29.99,000,26.7,86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-16-2019,04:00:00,1003.70,12.00,23.1,0.00,0.0,982.02,28.29,000,26.5,82
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-16-2019,04:00:00,1003.12,10.00,23.7,0.00,3.7,983.74,29.31,190,27.2,81
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-16-2019,04:00:00,1004.39,10.00,25.7,0.10,0.0,987.02,33.02,000,26.7,94
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-16-2019,04:00:00,1002.38,10.00,24.0,0.00,0.0,976.61,29.91,000,25.5,92
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-16-2019,04:00:00,1003.20,10.00,22.4,0.00,3.7,997.45,27.06,260,28.0,72
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-16-2019,04:00:00,1003.93,8.00,23.1,0.00,0.0,987.49,28.18,000,26.0,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-16-2019,04:00:00,1003.69,10.00,23.3,30.90,5.6,981.23,28.53,130,24.0,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-16-2019,04:00:00,1004.62,8.00,23.2,1.00,9.3,990.28,28.51,260,27.2,79
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-16-2019,04:00:00,1003.64,7.00,23.1,0.00,7.4,987.26,28.18,230,26.0,84
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-16-2019,04:00:00,1003.33,10.00,22.8,0.00,0.0,998.11,27.69,000,26.6,80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-16-2019,04:00:00,1002.45,10.00,23.4,0.00,0.0,989.26,28.77,000,25.6,88
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-16-2019,04:00:00,1003.69,11.00,22.8,0.00,0.0,994.38,27.67,000,26.3,81
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-16-2019,04:00:00,1003.49,9.00,22.7,0.00,3.7,981.87,27.60,210,26.7,79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-16-2019,04:00:00,1003.61,12.00,24.4,0.00,0.0,986.23,30.56,000,28.0,81
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-16-2019,04:00:00,1003.29,10.00,25.1,0.00,0.0,987.57,31.95,000,28.0,85
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-16-2019,04:00:00,1002.65,7.00,24.5,0.10,0.0,983.86,30.67,000,27.2,85
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-16-2019,04:00:00,1007.69,6.00,21.8,5.10,0.0,955.98,26.09,000,23.0,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-16-2019,04:00:00,1003.62,6.00,24.5,0.00,0.0,999.68,30.72,000,26.8,87
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-16-2019,04:00:00,1005.21,4.00,19.8,8.90,7.4,909.93,23.12,180,20.3,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-16-2019,04:00:00,1003.43,8.00,24.3,0.01,0.0,987.54,30.34,000,27.6,82
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-16-2019,04:00:00,1004.17,10.00,24.5,0.00,0.0,1000.14,30.67,000,26.2,90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-16-2019,04:00:00,1005.45,7.00,22.8,0.00,0.0,994.72,27.70,000,25.0,88
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-16-2019,04:00:00,1004.78,8.00,23.1,0.60,0.0,1002.85,28.23,000,25.3,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-16-2019,04:00:00,1003.62,10.00,22.0,0.00,0.0,982.80,26.39,000,26.6,76
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-16-2019,04:00:00,1003.23,10.00,24.3,2.10,1.9,985.57,30.30,210,26.0,90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-16-2019,04:00:00,1003.15,10.00,25.1,0.00,5.6,987.03,31.79,190,26.5,92
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-16-2019,04:00:00,1004.30,10.00,23.3,0.00,3.7,990.30,28.57,200,26.8,81
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-16-2019,04:00:00,1005.17,7.00,23.0,0.00,0.0,990.33,28.01,000,26.2,82
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-16-2019,04:00:00,1004.50,6.00,24.5,0.00,0.0,989.83,30.67,000,26.2,90
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-16-2019,04:00:00,1004.43,10.00,23.7,0.00,0.0,1001.41,29.25,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.3,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-16-2019,04:00:00,1004.27,7.00,23.0,0.00,0.0,996.32,28.01,000,26.2,82
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-16-2019,04:00:00,1004.94,8.00,22.9,0.00,0.0,1003.82,27.90,000,25.7,85
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-16-2019,04:00:00,1003.00,8.00,24.6,0.00,0.0,988.33,30.84,000,26.0,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-16-2019,04:00:00,1005.86,.05,18.2,0.00,3.7,870.56,20.93,310,18.4,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-16-2019,04:00:00,1004.81,10.00,24.7,0.00,0.0,998.93,31.13,000,26.3,91
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-16-2019,04:00:00,1005.23,8.00,24.4,0.00,5.6,1004.43,30.56,230,27.0,86
