WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,AirTemperature,Rainfall
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.26,07-21-2019,16:00:00,0.00,1004.48,0.0,22.9,65,27.85,000,10.00,30.3,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,981.72,07-21-2019,16:00:00,2.40,1003.79,5.6,23.8,72,29.49,240,10.00,29.3,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,990.84,07-21-2019,16:00:00,30.30,1005.21,0.0,25.7,94,32.94,000,10.00,26.8,30.30
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,987.14,07-21-2019,16:00:00,1.30,1003.13,0.0,23.5,57,28.88,000,12.00,33.1,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,998.56,07-21-2019,16:00:00,0.00,1003.63,5.6,25.5,58,32.62,220,10.00,35.0,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,989.57,07-21-2019,16:00:00,0.00,1002.28,0.0,23.1,45,28.19,000,12.00,37.1,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.31,07-21-2019,16:00:00,6.50,1004.63,1.9,24.2,87,30.16,320,12.00,26.5,6.50
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.56,07-21-2019,16:00:00,12.20,1003.72,7.4,24.2,58,30.20,280,10.00,33.6,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,986.62,07-21-2019,16:00:00,16.10,1003.61,14.8,25.2,57,32.01,230,12.00,35.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,987.86,07-21-2019,16:00:00,0.00,1003.48,0.0,25.8,78,33.17,000,12.00,30.0,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,984.36,07-21-2019,16:00:00,6.30,1002.77,0.0,25.5,63,32.65,000,10.00,33.5,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,955.38,07-21-2019,16:00:00,10.80,1005.86,13.0,22.0,63,26.37,250,10.00,29.8,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,999.90,07-21-2019,16:00:00,0.00,1003.75,14.8,24.6,56,30.85,140,10.00,34.6,0.00
