WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,VaporPressure,AirTemperature,Rainfall24Hr,WindDirection,RelativeHumidity,LandVisibility
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.20,08-07-2019,22:00:00,24.8,0.0,1005.49,999.30,31.22,26.2,1.60,000,92,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-07-2019,22:00:00,23.9,0.0,1005.51,989.13,29.60,27.5,2.20,000,81,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.50,08-07-2019,22:00:00,23.2,7.4,1006.46,983.97,28.45,24.4,27.40,240,93,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.60,08-07-2019,22:00:00,23.9,0.0,1006.74,992.26,29.61,24.9,26.30,000,94,5.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.00,08-07-2019,22:00:00,23.2,0.0,1006.06,989.54,28.36,24.2,16.00,000,94,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.20,08-07-2019,22:00:00,24.7,0.0,1006.51,1001.29,31.05,27.4,1.60,000,85,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-07-2019,22:00:00,25.1,0.0,1004.14,991.04,31.79,28.2,0.20,000,83,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.10,08-07-2019,22:00:00,25.5,0.0,1006.31,996.99,32.58,26.9,3.40,000,92,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-07-2019,22:00:00,21.5,11.1,1004.46,983.03,25.66,29.7,0.00,280,62,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-07-2019,22:00:00,22.6,9.3,1004.11,986.66,27.36,27.0,0.00,230,77,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-07-2019,22:00:00,24.5,3.7,1002.70,987.01,30.70,28.5,0.00,220,79,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-07-2019,22:00:00,22.4,0.0,1003.48,984.79,27.03,29.0,0.00,000,68,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.50,08-07-2019,22:00:00,22.4,0.0,1006.97,955.41,27.08,23.6,17.20,000,93,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.01,08-07-2019,22:00:00,26.0,0.0,1005.76,1001.82,33.66,28.0,0.01,000,89,6.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.30,08-07-2019,22:00:00,20.4,9.3,1007.17,911.91,23.92,21.0,14.00,200,96,1.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-07-2019,22:00:00,24.2,0.0,1003.43,987.62,30.13,29.2,3.30,000,74,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.10,08-07-2019,22:00:00,25.5,0.0,1006.51,1002.49,32.68,27.8,0.20,000,88,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.01,08-07-2019,22:00:00,24.5,0.0,1007.24,996.58,30.70,27.5,0.30,000,84,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.40,08-07-2019,22:00:00,25.5,0.0,1006.91,1004.98,32.61,27.2,0.40,000,90,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-07-2019,22:00:00,23.2,0.0,1005.34,984.67,28.48,29.2,0.00,000,70,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-07-2019,22:00:00,22.9,0.0,1003.23,985.78,27.96,29.5,1.20,000,68,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-07-2019,22:00:00,22.6,9.3,1003.19,987.25,27.47,30.1,3.80,250,64,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-07-2019,22:00:00,23.5,9.3,1004.26,990.33,28.86,28.4,1.00,200,75,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-07-2019,22:00:00,26.0,0.0,1005.02,990.24,33.58,27.4,0.00,000,92,7.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,2.50,08-07-2019,22:00:00,24.9,0.0,1005.49,990.80,31.57,26.1,3.50,000,93,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.10,08-07-2019,22:00:00,25.3,0.0,1006.01,1003.00,32.32,27.9,0.10,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",86,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-07-2019,22:00:00,24.2,0.0,1005.48,997.61,30.16,29.5,0.00,000,73,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-07-2019,22:00:00,23.8,7.4,1006.84,1005.74,29.46,28.0,0.20,210,78,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-07-2019,22:00:00,24.6,0.0,1005.68,991.06,30.84,28.0,0.00,000,82,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-07-2019,22:00:00,19.4,11.1,1007.83,872.77,22.57,19.6,2.80,280,99,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-07-2019,22:00:00,23.7,0.0,1005.87,1000.03,29.35,28.8,0.00,000,74,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-07-2019,22:00:00,24.2,13.0,1006.71,1005.91,30.15,28.5,0.40,240,78,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-07-2019,22:00:00,24.2,7.4,1006.45,1006.01,30.23,28.4,24.10,230,78,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,08-07-2019,22:00:00,24.8,0.0,1008.32,996.95,31.25,25.5,8.90,000,96,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.30,08-07-2019,22:00:00,24.9,0.0,1006.97,1005.96,31.41,27.3,0.60,000,87,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.40,08-07-2019,22:00:00,25.1,0.0,1006.45,1004.63,31.95,28.0,1.30,000,85,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,08-07-2019,22:00:00,23.6,0.0,1006.44,1005.68,29.06,27.5,2.20,000,79,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-07-2019,22:00:00,23.6,5.6,1006.77,1006.07,29.06,27.5,26.20,230,79,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-07-2019,22:00:00,25.6,3.7,1006.22,1005.52,32.88,28.6,0.10,240,84,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-07-2019,22:00:00,24.5,11.1,1005.57,984.62,30.80,29.4,0.00,260,75,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-07-2019,22:00:00,22.1,3.7,1004.38,987.89,26.58,30.2,0.00,250,62,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-07-2019,22:00:00,22.1,3.7,1005.53,989.27,26.64,29.8,0.01,230,64,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-07-2019,22:00:00,22.3,3.7,1005.85,984.18,26.87,29.2,0.00,270,66,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-07-2019,22:00:00,21.5,18.5,1006.46,963.15,25.62,26.3,0.20,240,75,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-07-2019,22:00:00,23.3,5.6,1005.44,985.04,28.54,28.8,0.01,260,72,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-07-2019,22:00:00,23.6,13.0,1006.23,985.61,29.05,29.5,0.00,250,70,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.10,08-07-2019,22:00:00,24.7,1.9,1006.83,1006.40,31.03,28.1,0.70,350,82,9.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-07-2019,22:00:00,25.4,0.0,1005.89,1004.48,32.36,27.5,3.20,000,88,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-07-2019,22:00:00,25.1,0.0,1006.96,1002.04,31.92,27.7,0.30,000,86,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.40,08-07-2019,22:00:00,24.1,3.7,1007.01,1003.72,30.02,27.0,1.60,280,84,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.20,08-07-2019,22:00:00,25.0,0.0,1006.97,1005.87,31.71,26.6,5.10,000,91,8.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-07-2019,22:00:00,24.3,0.0,1006.73,1006.43,30.34,28.6,19.00,000,78,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-07-2019,22:00:00,26.4,0.0,1006.61,1006.12,34.40,28.5,15.90,000,88,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-07-2019,22:00:00,23.4,14.8,1006.92,1005.52,28.70,28.6,4.80,270,73,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,08-07-2019,22:00:00,24.2,0.0,1008.39,1000.35,30.13,26.2,12.60,000,89,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-07-2019,22:00:00,25.4,37.0,1006.73,1006.45,32.39,28.5,19.90,270,83,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-07-2019,22:00:00,24.8,0.0,1006.88,1003.77,31.38,28.7,5.00,000,80,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-07-2019,22:00:00,24.9,0.0,1007.03,1000.11,31.51,28.2,5.00,000,82,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-07-2019,22:00:00,24.9,11.1,1006.09,1000.53,31.54,28.5,0.00,250,81,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-07-2019,22:00:00,24.3,3.7,1007.40,1006.13,30.29,27.0,0.10,270,85,8.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-07-2019,22:00:00,23.4,5.6,1006.46,1006.03,28.76,28.2,0.00,320,75,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.10,08-07-2019,22:00:00,24.2,0.0,1007.37,995.03,30.15,25.2,13.30,000,94,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-07-2019,22:00:00,25.0,0.0,1006.78,1006.07,31.64,27.7,11.60,000,85,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-07-2019,22:00:00,25.0,0.0,1007.12,1004.69,31.66,27.0,10.40,000,89,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-07-2019,22:00:00,25.8,7.4,1007.02,1006.50,33.16,28.6,6.50,240,85,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-07-2019,22:00:00,24.9,0.0,1007.12,1001.98,31.52,27.5,6.30,000,86,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-07-2019,22:00:00,25.0,0.0,1007.28,1006.87,31.69,27.3,12.40,000,87,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-07-2019,22:00:00,25.0,0.0,1007.23,1004.46,31.71,26.6,25.90,000,91,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-07-2019,22:00:00,24.3,3.7,1007.59,1006.80,30.43,26.5,16.10,240,88,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-07-2019,22:00:00,25.1,5.6,1007.25,1006.79,31.79,26.5,56.60,230,92,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.50,08-07-2019,22:00:00,24.9,0.0,1008.69,1008.01,31.55,25.8,19.90,000,95,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.80,08-07-2019,22:00:00,24.6,1.9,1008.39,1006.86,30.89,26.6,2.20,340,89,9.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-07-2019,22:00:00,24.3,3.7,1009.35,1008.43,30.37,27.9,1.00,190,81,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-07-2019,22:00:00,24.2,0.0,1008.59,1007.91,30.23,28.4,0.00,000,78,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-07-2019,22:00:00,22.4,0.0,1008.74,1008.10,27.06,28.0,0.00,000,72,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,08-07-2019,22:00:00,22.0,0.0,1008.91,1008.50,26.45,28.1,0.01,000,70,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-07-2019,22:00:00,25.2,0.0,1010.90,1006.68,32.05,27.2,0.00,000,89,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-07-2019,22:00:00,23.5,0.0,1009.89,1008.27,28.92,26.7,0.00,000,83,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-07-2019,22:00:00,24.0,0.0,1009.14,1005.65,29.78,26.3,0.00,000,87,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-07-2019,22:00:00,23.4,0.0,1008.56,1007.21,28.78,28.5,0.00,000,74,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-07-2019,22:00:00,25.0,0.0,1008.73,1007.84,31.61,27.4,0.00,000,87,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-07-2019,22:00:00,23.9,0.0,1008.95,1005.39,29.60,27.5,0.00,000,81,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-07-2019,22:00:00,25.0,0.0,1009.09,1008.65,31.73,29.3,0.00,000,78,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-07-2019,22:00:00,24.1,0.0,1008.60,1007.61,29.99,29.7,0.00,000,72,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-07-2019,22:00:00,25.2,16.7,1009.08,1008.27,32.13,29.5,0.00,260,78,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-07-2019,22:00:00,24.6,0.0,1009.12,1007.30,30.97,27.5,0.00,000,84,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-07-2019,22:00:00,22.8,5.6,1008.75,1008.01,27.73,28.8,0.00,250,70,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-07-2019,22:00:00,22.9,3.7,1009.16,1005.16,27.83,27.7,0.00,230,75,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-07-2019,22:00:00,24.5,0.0,1009.09,1008.40,30.78,27.4,0.00,000,84,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-07-2019,22:00:00,22.1,0.0,1007.92,1006.81,26.62,27.9,0.00,000,71,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-07-2019,22:00:00,24.1,0.0,1009.12,1006.21,30.09,27.9,0.00,000,80,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-07-2019,22:00:00,23.9,0.0,1008.10,1007.41,29.74,28.0,0.00,000,79,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-07-2019,22:00:00,23.9,0.0,1009.23,1005.11,29.60,27.5,0.00,000,81,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-07-2019,22:00:00,25.1,0.0,1009.01,1008.42,31.95,28.0,0.00,000,85,8.00
