WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,VaporPressure,AirTemperature,Rainfall24Hr,WindDirection,RelativeHumidity,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1.20,08-07-2019,22:00:00,24.3,0.0,1005.99,975.04,30.34,25.3,12.70,000,94,8.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.40,08-07-2019,22:00:00,18.4,18.5,1003.62,842.95,21.16,18.9,4.80,270,97,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,08-07-2019,22:00:00,24.3,0.0,1004.17,961.01,30.28,28.0,3.10,000,80,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,08-07-2019,22:00:00,24.0,0.0,1004.30,959.13,29.85,27.2,0.00,000,83,12.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,08-07-2019,22:00:00,23.2,0.0,1005.83,968.16,28.48,25.0,0.00,000,90,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,08-07-2019,22:00:00,24.1,0.0,1004.51,959.74,30.02,27.0,0.20,000,84,8.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,08-07-2019,22:00:00,25.4,3.7,1005.28,978.73,32.36,27.5,0.01,180,88,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.20,08-07-2019,22:00:00,23.7,0.0,1006.80,984.92,29.33,24.6,7.80,000,95,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.90,08-07-2019,22:00:00,23.8,0.0,1007.23,982.98,29.49,24.4,25.50,000,97,6.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.01,08-07-2019,22:00:00,23.7,3.7,1005.39,970.99,29.35,26.5,0.60,220,85,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,08-07-2019,22:00:00,22.8,0.0,1006.72,979.22,27.77,26.5,0.70,000,80,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,08-07-2019,22:00:00,22.7,0.0,1005.26,971.82,27.60,26.7,0.80,000,79,10.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,08-07-2019,22:00:00,24.9,3.7,1005.39,986.97,31.41,27.3,0.60,250,87,12.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,08-07-2019,22:00:00,24.0,0.0,1005.10,982.45,29.85,28.2,0.01,000,78,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,08-07-2019,22:00:00,24.4,0.0,1004.87,975.22,30.56,28.0,0.00,000,81,10.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.20,08-07-2019,22:00:00,24.3,0.0,1005.91,970.38,30.44,25.5,4.60,000,93,6.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-07-2019,22:00:00,22.7,3.7,1004.28,974.75,27.63,27.3,0.00,270,76,12.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-07-2019,22:00:00,23.4,0.0,1005.96,998.68,28.80,27.5,0.01,000,78,9.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-07-2019,22:00:00,24.4,5.6,1003.22,983.59,30.55,29.7,0.00,240,73,13.00
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-07-2019,22:00:00,20.8,9.3,1004.43,976.00,24.57,28.2,0.00,350,64,15.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-07-2019,22:00:00,23.1,11.1,1003.75,983.80,28.29,29.1,0.00,260,70,15.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-07-2019,22:00:00,23.9,3.7,1003.12,981.65,29.57,29.2,0.00,270,73,12.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-07-2019,22:00:00,23.7,5.6,1002.23,983.04,29.39,30.1,0.70,280,69,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-07-2019,22:00:00,24.9,0.0,1003.23,986.66,31.49,28.9,0.00,000,79,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-07-2019,22:00:00,25.9,0.0,1003.22,985.97,33.45,28.6,0.00,000,85,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-07-2019,22:00:00,24.1,7.4,1004.28,978.70,30.04,28.3,0.00,280,78,12.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.20,08-07-2019,22:00:00,25.1,0.0,1005.76,999.96,31.96,26.3,2.80,000,93,10.00
