WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,RelativeHumidity,LandVisibility,AirTemperature,MeanSeaLevelPressure,WindSpeed,VaporPressure,DewPoint,StationPressure,Rainfall
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,10-10-2019,04:00:00,0.00,95,6.00,25.1,1011.21,0.0,30.23,24.2,996.67,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-10-2019,04:00:00,4.50,99,7.00,23.9,1010.68,0.0,29.38,23.7,994.07,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,040,10-10-2019,04:00:00,1.90,92,10.00,25.4,1010.27,5.6,29.99,24.1,1005.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-10-2019,04:00:00,0.40,94,10.00,24.0,1009.36,0.0,28.01,23.0,996.01,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,10-10-2019,04:00:00,0.00,96,10.00,25.3,1010.36,0.0,30.87,24.6,1000.96,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,090,10-10-2019,04:00:00,0.00,89,9.00,26.0,1010.41,1.9,30.03,24.1,988.58,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,10-10-2019,04:00:00,0.00,90,10.00,25.2,1009.74,0.0,28.83,23.4,992.09,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,10-10-2019,04:00:00,0.00,83,10.00,24.7,1010.07,0.0,25.93,21.7,994.07,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,10-10-2019,04:00:00,0.01,88,6.00,24.5,1009.77,0.0,27.10,22.4,990.68,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-10-2019,04:00:00,0.50,91,5.00,22.5,1013.09,0.0,24.80,21.0,961.02,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,10-10-2019,04:00:00,2.40,97,5.00,25.3,1010.01,0.0,31.14,24.7,1006.02,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,000,10-10-2019,04:00:00,0.00,98,.10,21.1,1011.64,0.0,24.53,20.8,915.99,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,10-10-2019,04:00:00,0.00,88,7.00,25.0,1010.42,0.0,27.70,22.8,994.27,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,10-10-2019,04:00:00,0.20,95,5.00,24.8,1010.38,0.0,29.69,23.9,1006.30,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-10-2019,04:00:00,52.80,97,6.00,23.8,1011.28,0.0,28.69,23.4,1000.45,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,10-10-2019,04:00:00,0.00,92,9.00,25.0,1010.73,0.0,29.00,23.5,1008.78,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,000,10-10-2019,04:00:00,0.00,81,10.00,25.0,1010.13,0.0,25.68,21.5,989.07,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,10-10-2019,04:00:00,0.00,92,10.00,25.0,1009.97,0.0,29.00,23.5,992.14,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,10-10-2019,04:00:00,0.00,86,8.00,25.6,1010.09,0.0,28.25,23.1,993.81,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,060,10-10-2019,04:00:00,0.00,91,10.00,25.1,1010.15,3.7,28.92,23.5,995.99,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-10-2019,04:00:00,2.80,94,8.00,24.5,1010.82,0.0,28.89,23.5,995.81,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-10-2019,04:00:00,0.60,98,6.00,25.2,1010.47,0.0,31.49,24.9,995.67,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-10-2019,04:00:00,30.70,96,8.00,24.8,1009.69,0.0,29.95,24.1,1006.64,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,10-10-2019,04:00:00,14.40,94,8.00,24.7,1009.84,0.0,29.25,23.7,1001.80,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,000,10-10-2019,04:00:00,0.00,92,8.00,25.0,1010.24,0.0,29.26,23.7,1009.12,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,090,10-10-2019,04:00:00,0.00,86,8.00,26.2,1011.25,3.7,29.33,23.7,996.46,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,000,10-10-2019,04:00:00,38.80,99,8.00,18.6,1011.93,0.0,21.19,18.4,875.90,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,10-10-2019,04:00:00,18.90,98,5.00,24.9,1010.02,0.0,30.93,24.6,1004.08,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,10-10-2019,04:00:00,0.00,92,7.00,26.0,1011.36,0.0,30.84,24.6,1010.55,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,000,10-10-2019,04:00:00,0.00,89,10.00,27.4,1008.82,0.0,32.45,25.4,1008.37,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-10-2019,04:00:00,2.70,96,4.00,25.0,1011.12,0.0,30.32,24.3,999.70,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,10-10-2019,04:00:00,0.00,91,5.00,25.9,1010.30,0.0,30.38,24.3,1009.28,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,000,10-10-2019,04:00:00,20.60,97,6.00,24.8,1010.26,0.0,30.48,24.4,1008.42,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-10-2019,04:00:00,0.00,90,7.00,24.8,1009.80,0.0,28.13,23.0,1009.03,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,350,10-10-2019,04:00:00,0.00,90,10.00,26.1,1010.00,5.6,30.48,24.4,1009.29,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,10-10-2019,04:00:00,10.30,91,7.00,25.8,1009.59,0.0,30.19,24.2,1008.88,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,10-10-2019,04:00:00,0.00,96,6.00,24.5,1010.04,0.0,29.41,23.8,988.65,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-10-2019,04:00:00,0.00,94,6.00,25.2,1009.93,0.0,30.15,24.2,993.07,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,10-10-2019,04:00:00,5.60,96,7.00,24.5,1010.93,0.0,29.41,23.8,994.30,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-10-2019,04:00:00,8.50,96,4.00,23.6,1010.28,0.0,28.09,23.0,988.11,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,000,10-10-2019,04:00:00,0.40,95,6.00,22.6,1010.63,0.0,25.93,21.7,966.61,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,10-10-2019,04:00:00,50.30,92,10.00,23.7,1009.96,0.0,27.00,22.3,989.12,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,10-10-2019,04:00:00,0.00,100,6.00,24.2,1011.71,0.0,30.18,24.2,990.60,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-10-2019,04:00:00,36.50,93,8.00,26.4,1009.91,0.0,31.88,25.1,1009.48,36.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-10-2019,04:00:00,5.20,96,6.00,24.5,1009.56,0.0,29.41,23.8,1008.13,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-10-2019,04:00:00,0.00,97,7.00,25.0,1009.54,0.0,30.85,24.6,1004.56,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,000,10-10-2019,04:00:00,63.80,90,8.00,25.7,1010.26,0.0,29.74,23.9,1006.94,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-10-2019,04:00:00,0.00,97,10.00,24.8,1010.10,0.0,30.22,24.2,1008.98,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,10-10-2019,04:00:00,13.20,92,10.00,26.6,1009.77,0.0,31.99,25.2,1009.47,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,300,10-10-2019,04:00:00,0.70,87,8.00,26.4,1009.74,1.9,29.97,24.1,1009.25,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,320,10-10-2019,04:00:00,0.01,93,10.00,26.2,1009.98,7.4,31.76,25.0,1008.56,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-10-2019,04:00:00,0.01,98,10.00,23.7,1011.60,0.0,28.77,23.4,1003.47,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,10-10-2019,04:00:00,0.00,92,4.00,26.6,1009.68,0.0,31.99,25.2,1009.40,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,10-10-2019,04:00:00,0.00,91,10.00,25.5,1009.75,0.0,29.64,23.9,1006.59,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,10-10-2019,04:00:00,0.00,88,8.00,27.0,1009.82,0.0,31.38,24.8,1002.86,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-10-2019,04:00:00,0.00,92,8.00,26.0,1009.77,0.0,30.84,24.6,1004.14,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,10-10-2019,04:00:00,0.00,96,2.00,26.0,1010.81,0.0,32.20,25.3,1009.54,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,000,10-10-2019,04:00:00,0.00,90,11.00,26.9,1009.37,0.0,32.02,25.2,1008.94,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-10-2019,04:00:00,0.00,96,8.00,24.0,1010.33,0.0,28.53,23.3,997.91,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,10-10-2019,04:00:00,0.00,90,9.00,26.8,1009.84,0.0,31.55,24.9,1009.12,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,360,10-10-2019,04:00:00,0.00,91,7.00,25.3,1009.87,7.4,29.28,23.7,1007.41,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-10-2019,04:00:00,0.00,93,8.00,25.0,1009.77,0.0,29.52,23.8,1009.24,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,10-10-2019,04:00:00,0.50,95,8.00,25.2,1009.05,0.0,30.42,24.3,1003.85,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,10-10-2019,04:00:00,11.80,95,7.00,25.3,1009.39,0.0,30.60,24.4,1008.97,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-10-2019,04:00:00,0.00,97,8.00,25.0,1009.43,0.0,30.58,24.4,1006.63,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-10-2019,04:00:00,0.00,95,8.00,25.1,1009.66,0.0,30.23,24.2,1008.87,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,080,10-10-2019,04:00:00,1.80,95,6.00,24.4,1009.52,5.6,28.97,23.5,1009.06,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-10-2019,04:00:00,20.90,97,7.00,24.9,1010.00,0.0,30.40,24.3,1009.31,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-10-2019,04:00:00,0.40,92,7.00,25.5,1009.81,0.0,29.91,24.0,1008.27,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,10-10-2019,04:00:00,0.00,92,10.00,25.0,1009.93,0.0,29.00,23.5,1009.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,330,10-10-2019,04:00:00,0.50,94,10.00,26.5,1009.96,5.6,32.63,25.5,1009.27,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-10-2019,04:00:00,0.00,97,.50,24.5,1010.27,0.0,29.93,24.1,1009.47,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,10-10-2019,04:00:00,3.70,97,10.00,24.4,1009.06,0.0,29.49,23.8,1008.42,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-10-2019,04:00:00,1.10,97,10.00,24.4,1009.34,0.0,29.49,23.8,1008.93,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-10-2019,04:00:00,1.40,98,4.00,24.2,1011.45,0.0,29.66,23.9,1007.18,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-10-2019,04:00:00,0.00,94,7.00,24.5,1008.88,0.0,28.89,23.5,1007.26,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-10-2019,04:00:00,0.00,96,8.00,23.5,1010.34,0.0,27.66,22.8,1006.81,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,10-10-2019,04:00:00,0.00,96,8.00,24.3,1009.35,0.0,29.05,23.6,1007.98,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-10-2019,04:00:00,7.60,97,10.00,24.3,1009.29,0.0,29.57,23.9,1008.39,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-10-2019,04:00:00,25.00,98,10.00,23.0,1009.93,0.0,27.57,22.7,1006.31,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-10-2019,04:00:00,64.40,95,9.00,25.0,1009.39,0.0,30.05,24.1,1008.95,62.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,10-10-2019,04:00:00,5.00,95,9.00,25.3,1008.39,0.0,30.60,24.4,1007.40,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,100,10-10-2019,04:00:00,55.80,98,10.00,24.2,1009.76,7.4,29.66,23.9,1008.94,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-10-2019,04:00:00,12.10,98,5.00,23.6,1009.77,0.0,28.60,23.3,1007.93,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,240,10-10-2019,04:00:00,0.00,90,10.00,25.1,1009.41,5.6,28.66,23.3,1008.65,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,10-10-2019,04:00:00,0.80,99,10.00,23.5,1009.90,0.0,28.68,23.3,1005.84,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-10-2019,04:00:00,24.60,91,10.00,24.1,1009.67,0.0,27.42,22.6,1008.98,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,10-10-2019,04:00:00,12.00,97,10.00,24.5,1009.74,0.0,29.67,23.9,1008.61,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,10-10-2019,04:00:00,26.50,98,10.00,24.3,1010.13,0.0,29.84,24.0,1007.18,0.00
