WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,VaporPressure,AirTemperature,WindSpeed,WindDirection,DewPoint,StationPressure,Rainfall,RelativeHumidity,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.07,08-12-2019,22:00:00,10.00,28.11,26.4,0.0,000,23.0,976.19,0.00,82,0.10
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.30,08-12-2019,22:00:00,.10,21.25,18.8,0.0,000,18.5,844.31,0.00,98,16.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.75,08-12-2019,22:00:00,8.00,29.35,26.5,11.1,190,23.7,963.27,7.90,85,12.90
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.80,08-12-2019,22:00:00,1.00,28.63,24.5,9.3,230,23.3,961.12,3.60,93,5.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1007.65,08-12-2019,22:00:00,6.00,30.75,24.8,0.0,000,24.5,969.88,28.50,98,45.90
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1007.16,08-12-2019,22:00:00,10.00,29.89,26.5,7.4,100,24.0,962.20,0.00,86,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1007.65,08-12-2019,22:00:00,8.00,31.08,25.7,0.0,000,24.7,980.88,0.50,94,39.40
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1007.58,08-12-2019,22:00:00,12.00,29.29,26.9,0.0,000,23.7,985.85,0.00,83,2.20
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1007.96,08-12-2019,22:00:00,8.00,30.25,25.4,0.0,000,24.2,983.77,0.00,93,4.80
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.26,08-12-2019,22:00:00,10.00,27.75,26.2,3.7,150,22.8,972.76,0.00,82,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.35,08-12-2019,22:00:00,10.00,29.22,28.3,0.0,000,23.7,980.00,0.00,76,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.10,08-12-2019,22:00:00,10.00,30.05,25.0,0.0,000,24.1,973.41,25.70,95,26.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1007.24,08-12-2019,22:00:00,10.00,28.67,27.0,3.7,300,23.3,988.77,0.00,80,5.30
48331,NAN,น่าน,น่าน,18.77972,100.77778,1007.11,08-12-2019,22:00:00,10.00,32.38,26.8,0.0,000,25.4,984.32,0.00,92,23.30
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1007.48,08-12-2019,22:00:00,8.00,30.25,25.4,0.0,000,24.2,977.49,0.00,93,20.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.35,08-12-2019,22:00:00,6.00,30.32,25.0,0.0,000,24.3,971.70,4.60,96,4.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.15,08-12-2019,22:00:00,4.00,31.58,25.1,0.0,000,24.9,977.31,2.40,99,9.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.46,08-12-2019,22:00:00,8.00,30.84,26.0,0.0,000,24.6,1000.13,2.20,92,11.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1007.12,08-12-2019,22:00:00,3.00,29.77,24.7,3.7,270,24.0,987.08,28.80,96,55.70
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.25,08-12-2019,22:00:00,10.00,31.38,26.0,0.0,000,24.8,978.53,0.30,93,11.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.84,08-12-2019,22:00:00,9.00,32.46,26.7,7.4,310,25.4,986.67,1.40,93,11.20
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.01,08-12-2019,22:00:00,12.00,33.17,27.9,0.0,000,25.8,985.36,0.00,88,0.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.50,08-12-2019,22:00:00,12.00,33.12,29.0,3.7,200,25.8,987.17,0.00,83,1.20
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1006.81,08-12-2019,22:00:00,10.00,33.12,28.3,0.0,000,25.8,990.15,0.00,86,1.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.39,08-12-2019,22:00:00,10.00,34.40,27.8,0.0,000,26.4,990.03,0.00,92,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.12,08-12-2019,22:00:00,10.00,31.25,25.5,0.0,000,24.8,980.25,2.80,96,9.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.14,08-12-2019,22:00:00,10.00,34.00,26.2,0.0,000,26.2,1001.34,3.60,100,3.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.12,08-12-2019,22:00:00,7.00,31.65,26.0,0.0,000,25.0,1000.91,0.50,94,8.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.27,08-12-2019,22:00:00,8.00,30.97,27.5,0.0,000,24.6,991.84,0.00,84,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1006.88,08-12-2019,22:00:00,10.00,29.00,25.0,0.0,000,23.5,984.42,0.20,92,10.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.00,08-12-2019,22:00:00,6.00,29.72,26.7,3.7,250,23.9,993.59,0.40,85,1.70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.31,08-12-2019,22:00:00,6.00,30.32,25.0,0.0,000,24.3,990.82,0.50,96,2.90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.87,08-12-2019,22:00:00,10.00,32.73,27.4,3.7,140,25.5,1002.64,0.01,90,0.10
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.40,08-12-2019,22:00:00,10.00,31.57,26.1,0.0,000,24.9,993.18,2.20,93,3.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.78,08-12-2019,22:00:00,7.00,31.79,26.5,0.0,000,25.1,998.43,0.50,92,0.50
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1006.20,08-12-2019,22:00:00,10.00,27.55,30.0,3.7,240,22.7,984.75,0.00,65,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.31,08-12-2019,22:00:00,10.00,33.41,29.0,0.0,000,25.9,989.92,0.00,83,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.24,08-12-2019,22:00:00,10.00,33.70,27.6,0.0,000,26.0,990.45,0.00,91,3.80
