WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,StationPressure,LandVisibility,Rainfall,WindSpeed,MeanSeaLevelPressure,AirTemperature,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,56,10-13-2019,16:00:00,29.58,0.00,23.9,975.69,12.00,0.00,5.6,1005.77,34.0,140
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,10-13-2019,16:00:00,23.49,22.30,20.1,846.22,8.00,3.10,16.7,1006.63,20.4,130
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,78,10-13-2019,16:00:00,29.46,3.70,23.8,964.89,8.00,3.70,3.7,1008.22,28.0,250
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,77,10-13-2019,16:00:00,28.26,0.01,23.1,962.99,15.00,0.01,11.1,1008.29,27.5,210
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,76,10-13-2019,16:00:00,29.98,0.00,24.1,971.37,12.00,0.00,3.7,1008.70,28.7,170
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,69,10-13-2019,16:00:00,29.19,0.00,23.6,964.06,10.00,0.00,9.3,1008.57,30.0,150
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,51,10-13-2019,16:00:00,28.02,0.00,23.0,981.87,10.00,0.00,5.6,1007.89,34.5,170
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,93,10-13-2019,16:00:00,30.54,12.70,24.4,987.49,9.00,1.20,5.6,1009.34,25.7,120
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,66,10-13-2019,16:00:00,27.15,0.00,22.4,984.00,10.00,0.00,0.0,1007.87,29.5,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,85,10-13-2019,16:00:00,28.52,7.40,23.3,974.60,9.00,6.10,5.6,1009.20,25.9,180
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,81,10-13-2019,16:00:00,29.60,0.30,23.9,983.34,10.00,0.30,0.0,1010.86,27.5,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,82,10-13-2019,16:00:00,27.93,0.20,22.9,975.48,9.00,0.20,0.0,1009.09,26.3,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,82,10-13-2019,16:00:00,30.84,0.00,24.6,990.14,10.00,0.00,3.7,1008.58,28.0,180
48331,NAN,น่าน,น่าน,18.77972,100.77778,57,10-13-2019,16:00:00,29.70,2.00,23.9,985.25,10.00,0.00,0.0,1007.56,33.5,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,54,10-13-2019,16:00:00,27.00,0.00,22.4,978.37,12.00,0.00,0.0,1007.63,33.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,92,10-13-2019,16:00:00,29.91,0.10,24.0,973.51,7.00,0.10,0.0,1009.16,25.5,000
