WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,VaporPressure,Rainfall24Hr,DewPoint,StationPressure,LandVisibility,Rainfall,WindSpeed,MeanSeaLevelPressure,AirTemperature,WindDirection
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,67,10-13-2019,16:00:00,31.60,0.60,25.0,977.96,15.00,0.00,0.0,1007.14,31.9,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,84,10-13-2019,16:00:00,30.02,10.30,24.1,1001.23,10.00,10.30,0.0,1008.55,27.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,61,10-13-2019,16:00:00,30.69,0.00,24.5,988.47,6.00,0.00,3.7,1007.99,33.0,020
48353,LOEI,เลย,เลย,17.45000,101.73333,63,10-13-2019,16:00:00,29.67,0.00,23.9,979.52,12.00,0.00,3.7,1007.71,31.8,230
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,51,10-13-2019,16:00:00,26.51,0.00,22.0,988.27,12.00,0.00,5.6,1008.02,33.6,100
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,44,10-13-2019,16:00:00,21.91,0.00,19.0,986.87,15.00,0.00,7.4,1008.18,33.0,110
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,40,10-13-2019,16:00:00,20.04,0.00,17.5,988.83,15.00,0.00,9.3,1007.94,33.1,130
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,42,10-13-2019,16:00:00,21.58,0.00,18.7,991.66,12.00,0.00,3.7,1008.07,33.4,140
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,39,10-13-2019,16:00:00,19.71,0.00,17.3,991.64,15.00,0.00,5.6,1008.72,33.2,050
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,54,10-13-2019,16:00:00,25.91,0.00,21.7,980.75,15.00,0.00,11.1,1006.07,32.0,090
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,81,10-13-2019,16:00:00,36.53,0.00,27.4,1001.48,8.00,0.00,5.6,1007.19,31.0,320
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,81,10-13-2019,16:00:00,35.56,0.00,27.0,1001.42,8.00,0.00,0.0,1007.53,30.7,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,72,10-13-2019,16:00:00,31.31,0.00,24.8,991.69,12.00,0.00,0.0,1007.95,30.5,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,75,10-13-2019,16:00:00,30.72,0.00,24.5,983.66,10.00,0.00,5.6,1005.76,29.5,280
48376,TAK,ตาก,ตาก,16.87833,99.14333,75,10-13-2019,16:00:00,32.96,24.70,25.7,994.23,7.00,0.00,0.0,1008.47,30.6,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,81,10-13-2019,16:00:00,32.55,7.70,25.5,992.15,12.00,0.00,0.0,1008.44,29.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,51,10-13-2019,16:00:00,27.33,0.00,22.6,1002.02,12.00,0.00,9.3,1007.12,34.3,120
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,47,10-13-2019,16:00:00,27.11,22.10,22.4,992.74,12.00,0.00,11.1,1005.55,35.6,020
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,61,10-13-2019,16:00:00,31.75,0.80,25.0,998.07,10.00,0.00,3.7,1007.20,33.5,060
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,44,10-13-2019,16:00:00,23.46,0.00,20.1,986.51,10.00,0.00,7.4,1007.72,34.0,110
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,53,10-13-2019,16:00:00,27.43,0.00,22.6,990.62,12.00,0.00,0.0,1007.77,33.5,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,46,10-13-2019,16:00:00,24.26,0.00,20.6,992.62,12.00,0.00,13.0,1008.11,34.0,060
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,55,10-13-2019,16:00:00,29.00,0.00,23.5,988.22,10.00,0.00,1.9,1006.66,34.0,010
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,82,10-13-2019,16:00:00,27.66,25.10,22.7,957.05,8.00,10.10,0.0,1008.29,26.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,56,10-13-2019,16:00:00,29.87,0.20,24.0,1003.12,10.00,0.00,0.0,1006.99,34.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,81,10-13-2019,16:00:00,26.79,3.80,22.2,913.78,9.00,0.00,0.0,1007.64,25.8,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,51,10-13-2019,16:00:00,25.63,0.00,21.5,991.91,10.00,0.00,5.6,1007.59,33.0,090
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,59,10-13-2019,16:00:00,33.01,0.00,25.7,1003.03,9.00,0.00,5.6,1006.96,34.9,100
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,55,10-13-2019,16:00:00,28.68,0.00,23.3,997.43,9.00,0.00,3.7,1007.88,33.7,010
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,53,10-13-2019,16:00:00,28.76,0.00,23.4,1004.98,12.00,0.00,0.0,1006.86,34.3,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,63,10-13-2019,16:00:00,30.48,0.10,24.4,986.59,10.00,0.00,11.1,1007.10,32.2,120
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,54,10-13-2019,16:00:00,26.61,0.00,22.1,989.81,11.00,0.00,5.6,1007.14,32.8,020
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,53,10-13-2019,16:00:00,27.43,0.00,22.6,991.28,10.00,0.00,9.3,1007.10,33.5,140
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,52,10-13-2019,16:00:00,27.58,0.00,22.7,993.64,10.00,0.00,5.6,1007.36,34.0,050
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,62,10-13-2019,16:00:00,30.03,0.00,24.1,993.32,10.00,0.00,0.0,1007.90,32.4,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,75,10-13-2019,16:00:00,34.82,0.20,26.6,993.30,10.00,0.00,5.6,1007.76,31.6,210
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,52,10-13-2019,16:00:00,29.13,0.00,23.6,1003.42,10.00,0.00,0.0,1006.36,34.9,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,73,10-13-2019,16:00:00,30.47,21.30,24.4,999.17,10.00,16.70,3.7,1007.05,29.8,320
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,62,10-13-2019,16:00:00,31.41,0.00,24.9,1006.09,9.00,0.00,5.6,1007.18,33.2,200
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,68,10-13-2019,16:00:00,31.35,0.00,24.8,994.01,8.00,0.00,0.0,1008.51,31.5,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,73,10-13-2019,16:00:00,21.25,1.80,18.5,873.68,8.00,1.60,5.6,1006.91,23.7,170
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,61,10-13-2019,16:00:00,31.88,14.80,25.1,1001.14,10.00,0.00,5.6,1006.89,33.7,010
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,53,10-13-2019,16:00:00,31.41,0.00,24.9,1006.07,10.00,0.00,9.3,1006.85,36.1,060
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,72,10-13-2019,16:00:00,33.10,0.00,25.7,1006.48,10.00,0.00,9.3,1006.92,31.5,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,57,10-13-2019,16:00:00,30.93,0.00,24.6,994.81,10.00,0.00,0.0,1005.82,34.5,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,56,10-13-2019,16:00:00,30.55,2.80,24.4,1005.66,9.00,0.00,3.7,1006.64,34.6,350
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,56,10-13-2019,16:00:00,30.63,0.40,24.4,1005.10,10.00,0.00,5.6,1006.88,34.5,050
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,55,10-13-2019,16:00:00,28.47,0.00,23.2,1005.75,10.00,0.00,0.0,1006.50,33.6,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,62,10-13-2019,16:00:00,31.41,1.80,24.9,1006.15,10.00,0.00,14.8,1006.84,33.2,190
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,62,10-13-2019,16:00:00,31.41,0.30,24.9,1005.78,11.00,0.00,9.3,1006.47,33.2,330
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,58,10-13-2019,16:00:00,28.53,0.00,23.3,986.32,10.00,0.00,7.4,1007.09,32.5,140
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,75,10-13-2019,16:00:00,32.34,0.00,25.3,991.24,10.00,0.00,5.6,1007.79,30.3,230
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,77,10-13-2019,16:00:00,32.59,0.00,25.5,992.25,10.00,0.00,7.4,1008.54,30.0,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,56,10-13-2019,16:00:00,28.40,0.01,23.2,985.68,10.00,0.00,3.7,1007.12,33.0,040
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,70,10-13-2019,16:00:00,28.78,0.40,23.4,964.44,14.00,0.00,18.5,1007.34,29.5,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,57,10-13-2019,16:00:00,28.08,0.00,23.0,986.73,10.00,0.00,0.0,1006.90,32.7,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,68,10-13-2019,16:00:00,31.35,0.00,24.8,988.79,10.00,0.00,14.8,1009.34,31.5,050
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,68,10-13-2019,16:00:00,31.56,18.20,24.9,1006.47,10.00,0.00,0.0,1006.89,31.6,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,64,10-13-2019,16:00:00,32.16,0.00,25.3,1005.27,11.00,0.00,5.6,1006.66,33.0,070
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,66,10-13-2019,16:00:00,32.15,0.00,25.2,1002.11,10.00,0.00,0.0,1006.95,32.3,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,61,10-13-2019,16:00:00,31.75,19.40,25.0,1003.33,11.00,0.00,0.0,1006.55,33.5,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,68,10-13-2019,16:00:00,29.22,0.00,23.7,1005.78,10.00,0.00,0.0,1006.87,30.3,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,63,10-13-2019,16:00:00,32.43,0.01,25.4,1006.43,10.00,0.00,3.7,1006.72,33.4,190
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,65,10-13-2019,16:00:00,32.98,0.00,25.7,1005.83,10.00,0.00,0.0,1006.50,33.1,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,64,10-13-2019,16:00:00,32.51,0.00,25.4,1005.74,10.00,0.00,3.7,1006.22,33.3,150
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,53,10-13-2019,16:00:00,27.94,0.00,22.9,1005.11,10.00,0.00,9.3,1006.48,33.9,070
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,68,10-13-2019,16:00:00,30.73,0.00,24.5,1005.23,8.00,0.00,13.0,1006.89,31.2,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,63,10-13-2019,16:00:00,32.65,0.01,25.5,1000.24,15.00,0.00,0.0,1008.08,33.5,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,38,10-13-2019,16:00:00,17.91,0.00,15.8,1006.44,10.00,0.00,0.0,1006.72,31.8,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,72,10-13-2019,16:00:00,31.31,0.40,24.8,1003.85,12.00,0.40,0.0,1006.95,30.5,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,80,10-13-2019,16:00:00,33.75,43.10,26.1,1000.50,10.00,0.00,5.6,1007.38,30.0,280
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,70,10-13-2019,16:00:00,32.22,0.00,25.3,1001.92,10.00,0.00,7.4,1007.44,31.5,070
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,82,10-13-2019,16:00:00,32.22,3.60,25.3,999.15,10.00,3.60,0.0,1008.42,28.7,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,74,10-13-2019,16:00:00,32.67,0.01,25.5,1006.63,10.00,0.00,7.4,1007.88,30.6,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,70,10-13-2019,16:00:00,34.07,0.60,26.2,1006.31,11.00,0.00,13.0,1006.74,32.5,130
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,62,10-13-2019,16:00:00,29.51,0.00,23.8,994.78,8.00,0.00,11.1,1006.84,32.0,040
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,76,10-13-2019,16:00:00,34.54,0.00,26.5,1006.32,10.00,0.00,7.4,1007.02,31.2,120
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,66,10-13-2019,16:00:00,32.28,17.80,25.3,1004.97,9.00,0.10,3.7,1007.36,32.5,180
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,10-13-2019,16:00:00,33.17,3.60,25.8,1007.56,8.00,3.40,9.3,1008.07,30.0,250
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,74,10-13-2019,16:00:00,31.56,14.80,24.9,1001.92,10.00,0.00,1.9,1007.02,30.2,140
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,78,10-13-2019,16:00:00,31.13,17.40,24.7,1007.06,9.00,17.40,0.0,1007.47,29.0,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,73,10-13-2019,16:00:00,35.60,0.00,27.0,1005.09,8.00,0.00,0.0,1007.82,32.5,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,73,10-13-2019,16:00:00,33.48,0.00,25.9,1007.11,10.00,0.00,0.0,1007.89,31.4,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,92,10-13-2019,16:00:00,29.62,4.40,23.9,1007.74,7.00,4.40,5.6,1008.20,25.2,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,65,10-13-2019,16:00:00,32.33,0.00,25.3,1006.51,12.00,0.00,9.3,1007.18,32.8,120
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,61,10-13-2019,16:00:00,30.69,0.00,24.5,1005.41,10.00,0.00,7.4,1006.91,33.0,060
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,84,10-13-2019,16:00:00,30.02,10.10,24.1,1006.69,6.00,5.50,9.3,1007.61,27.0,170
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,72,10-13-2019,16:00:00,32.34,0.00,25.4,1006.63,12.00,0.00,9.3,1007.31,31.0,090
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,81,10-13-2019,16:00:00,30.17,0.00,24.2,1006.05,10.00,0.00,0.0,1006.84,27.8,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,68,10-13-2019,16:00:00,30.82,0.00,24.5,1005.88,10.00,0.00,5.6,1006.51,31.1,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,73,10-13-2019,16:00:00,33.35,0.00,25.9,1006.35,10.00,0.00,7.4,1006.74,31.2,030
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,67,10-13-2019,16:00:00,33.66,0.00,26.0,1004.66,6.00,0.00,9.3,1008.79,33.0,230
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,10-13-2019,16:00:00,29.41,8.50,23.8,1007.22,10.00,8.50,0.0,1008.85,24.5,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,84,10-13-2019,16:00:00,30.97,1.00,24.6,1004.65,7.00,1.00,11.1,1008.12,27.5,100
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,62,10-13-2019,16:00:00,30.53,0.01,24.4,1005.22,10.00,0.00,3.7,1006.55,32.5,060
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,81,10-13-2019,16:00:00,33.58,7.10,26.0,1006.04,10.00,0.00,0.0,1006.92,29.5,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,91,10-13-2019,16:00:00,33.70,4.40,26.0,1003.52,8.00,4.40,5.6,1007.07,27.6,150
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,64,10-13-2019,16:00:00,29.35,0.00,23.7,1005.63,10.00,0.00,7.4,1006.06,31.5,240
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,69,10-13-2019,16:00:00,32.91,0.00,25.6,1005.57,10.00,0.00,9.3,1006.54,32.1,270
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,76,10-13-2019,16:00:00,31.68,11.40,25.0,1006.40,10.00,0.00,14.8,1007.21,29.7,240
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,92,10-13-2019,16:00:00,31.99,4.80,25.2,1005.32,5.00,4.80,7.4,1007.13,26.6,030
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,68,10-13-2019,16:00:00,30.41,0.00,24.3,1005.74,12.00,0.00,11.1,1006.48,30.9,070
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,79,10-13-2019,16:00:00,30.51,12.80,24.4,1002.65,9.00,12.80,7.4,1006.62,28.4,210
48570,SATUN,สตูล,สตูล,6.65000,100.08333,84,10-13-2019,16:00:00,32.88,12.10,25.6,1005.87,10.00,10.70,0.0,1006.55,28.6,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,72,10-13-2019,16:00:00,30.19,0.00,24.2,1005.13,10.00,0.00,0.0,1006.23,29.8,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,93,10-13-2019,16:00:00,32.35,15.00,25.4,1004.14,10.00,1.70,0.0,1007.06,26.5,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,64,10-13-2019,16:00:00,31.11,0.00,24.7,1005.29,12.00,0.00,9.3,1005.96,32.5,030
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,70,10-13-2019,16:00:00,32.01,0.00,25.2,1001.79,10.00,0.00,5.6,1005.84,31.4,070
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,66,10-13-2019,16:00:00,29.48,0.00,23.8,1006.06,12.00,0.00,11.1,1006.64,31.0,070
