WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr,DewPoint,LandVisibility,StationPressure,WindSpeed,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-07-2019,22:00:00,1009.74,92,000,30.84,7.00,24.6,10.00,978.74,0.0,26.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1.20,09-07-2019,22:00:00,1006.04,95,270,21.54,7.70,18.7,8.00,845.28,18.5,19.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-07-2019,22:00:00,1005.12,81,000,30.37,0.00,24.3,12.00,961.90,0.0,27.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-07-2019,22:00:00,1005.33,87,000,29.60,0.00,23.9,15.00,959.97,0.0,26.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-07-2019,22:00:00,1007.36,92,000,32.77,0.00,25.6,6.00,969.88,0.0,27.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-07-2019,22:00:00,1006.42,88,000,30.43,0.00,24.3,10.00,961.50,0.0,26.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-07-2019,22:00:00,1007.87,89,000,32.45,0.00,25.4,8.00,981.24,0.0,27.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-07-2019,22:00:00,1009.01,95,000,29.87,1.70,24.0,13.00,987.11,0.0,24.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,09-07-2019,22:00:00,1010.37,92,000,29.91,3.80,24.0,8.00,986.13,0.0,25.5
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-07-2019,22:00:00,1009.36,85,000,30.67,0.20,24.5,10.00,974.90,0.0,27.2
