WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,Rainfall24Hr,WindDirection,AirTemperature,MeanSeaLevelPressure,DewPoint,StationPressure,RelativeHumidity,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10.00,08-02-2019,16:00:00,3.10,0.0,8.50,000,27.8,1003.53,24.8,972.90,84,31.28
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,08-02-2019,16:00:00,0.00,18.5,0.00,300,22.5,999.11,19.4,840.91,82,22.46
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,08-02-2019,16:00:00,1.00,5.6,1.00,240,30.0,1000.23,25.0,957.51,75,31.72
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,12.00,08-02-2019,16:00:00,13.00,0.0,13.00,000,27.8,1000.73,25.2,955.81,86,32.12
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.00,08-02-2019,16:00:00,0.00,3.7,0.00,100,29.5,1001.48,25.2,964.52,78,32.13
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,9.00,08-02-2019,16:00:00,0.00,9.3,0.00,190,29.0,1001.60,23.9,957.25,74,29.74
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10.00,08-02-2019,16:00:00,0.00,9.3,0.00,180,30.6,1001.65,24.5,975.46,70,30.66
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,16.00,08-02-2019,16:00:00,0.00,14.8,0.00,240,31.2,1002.59,20.5,981.28,53,24.17
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.00,08-02-2019,16:00:00,0.00,0.0,13.20,000,29.0,1004.52,23.9,980.69,74,29.74
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,08-02-2019,16:00:00,1.40,5.6,4.10,160,28.4,1002.62,23.9,968.53,77,29.68
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,08-02-2019,16:00:00,1.30,0.0,18.60,000,31.4,1002.34,21.3,975.40,55,25.33
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,08-02-2019,16:00:00,0.00,11.1,0.20,240,31.0,1003.17,20.5,970.27,54,24.07
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,15.00,08-02-2019,16:00:00,1.10,1.9,1.10,180,28.3,1002.13,25.0,983.82,82,31.70
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,08-02-2019,16:00:00,0.00,0.0,0.00,000,30.4,1001.34,24.2,978.94,70,30.26
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,12.00,08-02-2019,16:00:00,0.00,0.0,0.00,000,30.0,1001.51,24.3,972.14,71,30.31
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,08-02-2019,16:00:00,0.00,0.0,27.80,000,29.6,1002.00,22.1,967.07,64,26.54
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,17.00,08-02-2019,16:00:00,0.00,11.1,0.00,330,31.0,1000.17,22.2,971.11,60,26.73
