WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,VaporPressure,DewPoint,Rainfall24Hr,LandVisibility,WindSpeed,WindDirection,MeanSeaLevelPressure,StationPressure,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,92,08-21-2019,01:00:00,25.7,30.28,24.2,2.70,8.00,0.0,000,1004.68,973.81,2.40
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,08-21-2019,01:00:00,18.2,20.45,17.9,15.90,6.00,9.3,150,1003.19,842.24,3.70
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,94,08-21-2019,01:00:00,24.8,29.42,23.8,4.40,10.00,7.4,090,1004.66,961.03,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,96,08-21-2019,01:00:00,24.5,29.41,23.8,5.30,6.00,0.0,000,1004.44,958.87,0.50
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,97,08-21-2019,01:00:00,24.7,30.03,24.1,5.60,6.00,0.0,000,1005.39,967.69,4.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,94,08-21-2019,01:00:00,23.7,27.50,22.7,5.00,7.00,13.0,160,1003.74,958.53,4.20
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,92,08-21-2019,01:00:00,24.3,28.02,23.0,0.70,8.00,7.4,060,1005.23,978.39,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,82,08-21-2019,01:00:00,26.2,28.01,23.0,0.30,15.00,13.0,180,1004.61,982.90,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,93,08-21-2019,01:00:00,25.8,31.00,24.6,0.00,6.00,0.0,000,1005.38,981.28,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,87,08-21-2019,01:00:00,25.8,28.87,23.5,0.30,10.00,0.0,000,1004.29,969.85,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,97,08-21-2019,01:00:00,24.8,30.22,24.2,45.10,7.00,0.0,000,1004.75,977.15,6.90
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,92,08-21-2019,01:00:00,25.2,29.36,23.7,2.80,10.00,0.0,000,1003.92,970.37,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,88,08-21-2019,01:00:00,26.8,31.00,24.6,0.00,10.00,5.6,180,1003.68,985.26,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,95,08-21-2019,01:00:00,25.2,30.42,24.3,28.00,4.00,0.0,000,1004.14,981.30,5.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,93,08-21-2019,01:00:00,25.0,29.52,23.8,23.00,5.00,0.0,000,1002.55,972.67,3.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,96,08-21-2019,01:00:00,24.5,29.41,23.8,28.80,4.00,0.0,000,1003.63,968.05,1.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,98,08-21-2019,01:00:00,24.0,29.30,23.7,5.00,10.00,0.0,000,1003.75,973.91,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,08-21-2019,01:00:00,27.0,31.38,24.8,0.00,7.00,0.0,000,1004.60,997.31,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,94,08-21-2019,01:00:00,26.5,32.63,25.5,5.40,2.00,3.7,350,1004.10,984.24,1.80
48353,LOEI,เลย,เลย,17.45000,101.73333,94,08-21-2019,01:00:00,24.7,29.25,23.7,16.60,10.00,0.0,000,1004.00,975.25,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,87,08-21-2019,01:00:00,27.3,31.69,25.0,0.30,10.00,5.6,090,1004.36,984.28,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,93,08-21-2019,01:00:00,25.0,29.52,23.8,19.40,10.00,3.7,120,1005.32,983.50,0.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,97,08-21-2019,01:00:00,24.9,30.40,24.3,24.30,10.00,7.4,140,1004.91,985.34,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,94,08-21-2019,01:00:00,24.0,28.01,23.0,23.00,10.00,0.0,000,1006.41,988.85,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,94,08-21-2019,01:00:00,26.0,31.65,25.0,0.01,9.00,0.0,000,1004.02,978.25,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,98,08-21-2019,01:00:00,26.2,33.43,25.9,0.60,10.00,3.7,120,1004.01,998.22,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,90,08-21-2019,01:00:00,27.0,32.21,25.3,0.00,10.00,0.0,000,1003.68,997.51,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,96,08-21-2019,01:00:00,24.5,29.41,23.8,4.00,8.00,0.0,000,1005.06,988.52,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,92,08-21-2019,01:00:00,24.8,28.90,23.5,0.50,10.00,3.7,220,1004.50,982.08,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,70,08-21-2019,01:00:00,28.0,26.54,22.1,0.30,10.00,14.8,260,1004.85,990.54,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,78,08-21-2019,01:00:00,27.5,28.80,23.4,3.00,7.00,7.4,180,1004.17,987.87,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,91,08-21-2019,01:00:00,26.2,30.94,24.6,0.00,10.00,0.0,000,1005.48,1000.24,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,94,08-21-2019,01:00:00,24.7,29.25,23.7,4.50,10.00,0.0,000,1003.70,990.45,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,95,08-21-2019,01:00:00,26.3,32.51,25.4,0.00,11.00,1.9,270,1004.32,995.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,86,08-21-2019,01:00:00,26.8,30.18,24.2,0.00,8.00,0.0,000,1004.71,983.06,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,84,08-21-2019,01:00:00,27.0,30.02,24.1,0.00,10.00,0.0,000,1004.53,987.08,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,96,08-21-2019,01:00:00,25.0,30.32,24.3,1.40,10.00,9.3,200,1004.46,988.56,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,79,08-21-2019,01:00:00,26.8,27.78,22.8,0.00,8.00,5.6,230,1003.52,984.69,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,95,08-21-2019,01:00:00,22.5,26.01,21.7,25.70,6.00,0.0,000,1008.20,956.38,1.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,95,08-21-2019,01:00:00,25.2,30.42,24.3,0.10,6.00,7.4,120,1004.47,1000.50,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,93,08-21-2019,01:00:00,21.1,23.37,20.0,0.01,4.00,18.5,230,1006.09,910.97,0.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,99,08-21-2019,01:00:00,24.8,31.02,24.6,43.50,6.00,0.0,000,1005.28,989.21,9.60
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,96,08-21-2019,01:00:00,25.6,31.44,24.9,50.20,9.00,5.6,170,1004.43,1000.39,0.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,95,08-21-2019,01:00:00,25.4,30.79,24.5,1.40,6.00,0.0,000,1005.69,994.97,0.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,08-21-2019,01:00:00,25.8,30.46,24.3,0.20,8.00,0.0,000,1005.82,1003.88,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,92,08-21-2019,01:00:00,24.3,28.02,23.0,4.60,10.00,5.6,260,1004.66,983.66,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,96,08-21-2019,01:00:00,25.0,30.32,24.3,3.20,10.00,3.7,220,1005.04,987.30,0.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,95,08-21-2019,01:00:00,25.2,30.42,24.3,2.80,10.00,5.6,180,1004.91,988.69,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,96,08-21-2019,01:00:00,25.5,31.25,24.8,27.50,10.00,0.0,000,1006.13,992.04,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,08-21-2019,01:00:00,24.9,30.40,24.3,50.30,9.00,0.0,000,1006.64,991.71,0.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,95,08-21-2019,01:00:00,25.4,30.79,24.5,0.50,10.00,0.0,000,1006.20,991.46,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,96,08-21-2019,01:00:00,26.3,32.79,25.6,32.20,10.00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.40,1001.38,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,95,08-21-2019,01:00:00,24.6,29.33,23.7,50.60,6.00,0.0,000,1005.11,997.11,4.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,93,08-21-2019,01:00:00,25.6,30.63,24.4,12.60,8.00,7.4,180,1005.63,1004.52,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,84,08-21-2019,01:00:00,25.5,27.29,22.5,6.70,8.00,0.0,000,1006.17,991.43,5.50
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-21-2019,01:00:00,19.4,22.28,19.2,67.80,.10,7.4,190,1007.27,872.21,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,97,08-21-2019,01:00:00,24.7,30.30,24.3,14.80,8.00,0.0,000,1005.52,999.61,0.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,98,08-21-2019,01:00:00,26.0,32.76,25.6,3.30,8.00,1.9,150,1006.19,1005.38,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,75,08-21-2019,01:00:00,28.6,29.24,23.7,6.20,10.00,11.1,230,1005.93,1005.48,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,97,08-21-2019,01:00:00,24.6,29.85,24.0,21.50,3.00,0.0,000,1007.62,996.22,1.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,86,08-21-2019,01:00:00,26.7,30.26,24.2,13.10,10.00,3.7,180,1005.61,1004.60,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,95,08-21-2019,01:00:00,25.4,30.79,24.5,1.00,7.00,3.7,150,1005.41,1003.58,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,85,08-21-2019,01:00:00,26.1,28.88,23.5,0.00,4.00,0.0,000,1005.69,1004.92,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,82,08-21-2019,01:00:00,27.5,30.15,24.2,2.40,9.00,9.3,210,1006.40,1005.70,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,94,08-21-2019,01:00:00,25.2,30.15,24.2,91.10,7.00,0.0,000,1006.31,1005.61,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,94,08-21-2019,01:00:00,24.6,29.07,23.6,3.80,10.00,1.9,210,1005.73,984.44,0.30
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,97,08-21-2019,01:00:00,24.9,30.67,24.5,8.50,7.00,0.0,000,1005.86,989.05,0.50
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,96,08-21-2019,01:00:00,25.0,30.32,24.3,16.90,5.00,3.7,180,1006.06,989.54,0.60
