WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,WindSpeed,Rainfall,Rainfall24Hr,VaporPressure,WindDirection,RelativeHumidity,MinimumTemperature,StationPressure,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,07-23-2019,07:00:00,25.9,10.00,0.0,0.00,0.00,29.05,000,87,23.0,975.49,1006.40,23.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,07-23-2019,07:00:00,18.6,8.00,7.4,0.00,2.70,20.13,270,94,18.2,844.17,1005.25,17.6
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,07-23-2019,07:00:00,25.3,10.00,0.0,0.30,2.10,30.07,000,93,24.7,962.06,1005.66,24.1
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,07-23-2019,07:00:00,24.6,12.00,0.0,0.00,0.60,29.33,000,95,23.7,959.79,1005.39,23.7
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,07-23-2019,07:00:00,24.5,8.00,0.0,0.01,0.40,30.46,000,99,24.1,968.82,1006.59,24.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,07-23-2019,07:00:00,26.0,8.00,3.7,0.00,0.00,27.14,100,81,25.0,960.86,1005.83,22.4
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,07-23-2019,07:00:00,25.7,10.00,0.0,0.01,0.10,30.81,000,93,25.4,979.72,1006.46,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,07-23-2019,07:00:00,27.2,14.00,3.7,0.00,0.00,27.98,150,78,26.7,984.76,1006.44,22.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,07-23-2019,07:00:00,24.5,4.00,0.0,5.00,7.00,29.93,000,97,23.5,983.27,1007.53,24.1
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,07-23-2019,07:00:00,26.5,10.00,0.0,0.01,0.01,25.71,000,74,26.2,971.57,1005.99,21.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,07-23-2019,07:00:00,26.9,10.00,0.0,0.00,0.00,28.76,000,81,26.2,979.64,1007.11,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,07-23-2019,07:00:00,27.0,10.00,0.0,0.00,0.00,28.41,000,80,27.0,972.65,1006.08,23.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,07-23-2019,07:00:00,27.0,12.00,0.0,0.00,0.01,27.88,000,78,26.9,987.63,1006.09,22.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,07-23-2019,07:00:00,26.6,10.00,0.0,0.00,0.00,28.47,000,82,26.1,983.35,1006.13,23.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,07-23-2019,07:00:00,24.8,8.00,0.0,0.00,0.00,29.16,000,93,24.6,976.18,1006.19,23.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,07-23-2019,07:00:00,26.0,6.00,0.0,0.00,0.00,26.12,000,78,24.6,970.87,1006.36,21.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-23-2019,07:00:00,24.9,12.00,0.0,0.00,0.00,27.79,000,88,24.4,976.19,1006.01,22.8
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-23-2019,07:00:00,27.5,9.00,0.0,0.00,0.00,29.60,000,81,27.3,999.95,1007.25,23.9
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-23-2019,07:00:00,27.0,10.00,0.0,0.00,0.00,33.62,000,94,26.5,985.81,1005.67,26.0
48353,LOEI,เลย,เลย,17.45000,101.73333,07-23-2019,07:00:00,25.5,12.00,0.0,0.00,0.00,28.59,000,88,25.3,977.76,1006.49,23.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-23-2019,07:00:00,27.0,12.00,1.9,0.00,0.01,32.21,110,90,26.2,985.75,1005.89,25.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-23-2019,07:00:00,25.0,12.00,0.0,0.00,19.40,29.00,000,92,23.6,985.24,1007.09,23.5
