WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,WindSpeed,VaporPressure,RelativeHumidity,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall,MaximumTemperature,DewPoint,AirTemperature
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.45,07-29-2019,19:00:00,0.00,0.0,25.71,64,1009.05,000,10.00,0.00,35.5,21.6,29.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.84,07-29-2019,19:00:00,0.00,0.0,30.31,71,1009.29,000,8.00,0.00,34.0,24.3,30.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.04,07-29-2019,19:00:00,0.00,9.3,25.52,59,1009.38,210,8.00,0.00,34.8,21.4,30.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.84,07-29-2019,19:00:00,1.20,0.0,30.43,88,1009.72,000,10.00,1.20,32.2,24.3,26.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.15,07-29-2019,19:00:00,3.70,0.0,29.05,70,1009.69,000,10.00,0.00,33.1,23.6,29.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.46,07-29-2019,19:00:00,2.20,13.0,30.45,82,1009.90,300,9.00,2.20,33.8,24.3,27.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.62,07-29-2019,19:00:00,1.50,7.4,27.16,71,1009.61,280,10.00,1.50,32.6,22.4,28.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.06,07-29-2019,19:00:00,0.00,24.1,31.36,77,1009.87,270,10.00,0.00,30.9,24.8,29.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.10,07-29-2019,19:00:00,0.00,5.6,29.74,74,1009.90,220,10.00,0.00,34.1,23.9,29.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.89,07-29-2019,19:00:00,0.00,1.9,26.79,61,1009.63,250,10.00,0.00,35.1,22.2,30.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.05,07-29-2019,19:00:00,0.00,14.8,27.13,67,1010.03,250,10.00,0.00,33.8,22.4,29.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.17,07-29-2019,19:00:00,0.00,0.0,29.22,72,1010.85,000,10.00,0.00,33.3,23.7,29.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.45,07-29-2019,19:00:00,0.00,0.0,26.73,60,1009.55,000,10.00,0.00,34.5,22.2,31.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.08,07-29-2019,19:00:00,0.00,7.4,28.67,70,1009.98,310,10.00,0.00,33.2,23.3,29.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.08,07-29-2019,19:00:00,0.00,0.0,29.75,70,1008.77,000,10.00,0.00,34.7,24.0,30.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.06,07-29-2019,19:00:00,0.00,0.0,27.75,69,1010.17,000,10.00,0.00,34.3,22.8,29.1
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.67,07-29-2019,19:00:00,0.00,0.0,29.33,71,1008.25,000,10.00,0.00,33.5,23.7,29.5
