WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,StationPressure,VaporPressure,AirTemperature,MinimumTemperature,WindSpeed,WindDirection,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.7,10-12-2019,07:00:00,0.00,996.31,31.08,25.7,24.3,0.0,000,94,8.00,1011.26,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.3,10-12-2019,07:00:00,0.00,996.03,34.24,26.6,25.4,0.0,000,98,8.00,1010.77,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.2,10-12-2019,07:00:00,0.00,1006.34,32.04,26.2,25.3,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",94,5.00,1009.38,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.0,10-12-2019,07:00:00,0.00,1001.89,31.71,26.6,26.0,0.0,000,91,10.00,1009.88,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.6,10-12-2019,07:00:00,0.00,1008.59,32.77,27.0,26.0,0.0,000,92,6.00,1009.70,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,25.2,10-12-2019,07:00:00,0.00,994.58,32.03,27.9,25.9,0.0,000,85,9.00,1009.25,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.2,10-12-2019,07:00:00,0.00,875.98,22.28,19.4,17.9,3.7,020,99,.10,1011.63,14.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.3,10-12-2019,07:00:00,0.00,1003.87,30.32,25.0,23.9,0.0,000,96,8.00,1009.80,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.1,10-12-2019,07:00:00,0.00,1009.97,31.79,26.5,25.5,7.4,050,92,8.00,1010.78,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.9,10-12-2019,07:00:00,1.10,1009.16,31.46,26.9,26.0,7.4,120,89,10.00,1009.60,1.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.2,10-12-2019,07:00:00,0.00,998.90,30.23,25.1,24.5,0.0,000,95,5.00,1010.31,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.9,10-12-2019,07:00:00,0.00,1008.65,33.50,27.5,26.4,0.0,000,91,4.00,1009.67,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.0,10-12-2019,07:00:00,0.00,1007.67,31.63,26.7,26.5,0.0,000,90,6.00,1009.50,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.1,10-12-2019,07:00:00,0.00,1009.33,29.97,25.1,24.3,0.0,000,94,7.00,1010.10,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.8,10-12-2019,07:00:00,0.01,1009.37,31.33,27.4,26.1,13.0,110,86,8.00,1010.07,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,23.7,10-12-2019,07:00:00,0.00,1008.97,29.33,26.2,25.5,3.7,100,86,8.00,1009.68,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.7,10-12-2019,07:00:00,0.00,989.07,31.05,26.4,25.0,0.0,000,90,9.00,1010.34,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.1,10-12-2019,07:00:00,0.00,992.99,31.91,26.7,25.0,0.0,000,91,6.00,1009.76,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.3,10-12-2019,07:00:00,0.00,993.89,32.20,26.0,24.5,0.0,000,96,9.00,1010.43,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.2,10-12-2019,07:00:00,0.00,988.27,30.25,25.4,24.6,0.0,000,93,8.00,1010.31,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.3,10-12-2019,07:00:00,0.00,966.66,26.99,22.8,21.5,11.1,080,97,8.00,1010.65,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,25.3,10-12-2019,07:00:00,0.00,989.54,32.20,26.0,24.6,0.0,000,96,6.00,1010.23,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.9,10-12-2019,07:00:00,0.00,990.71,33.40,25.9,24.3,5.6,050,100,5.00,1011.69,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.8,10-12-2019,07:00:00,0.00,1009.00,29.52,26.3,25.7,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",86,10.00,1009.43,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,23.8,10-12-2019,07:00:00,0.00,1008.26,29.41,24.5,24.2,0.0,000,96,8.00,1009.69,0.80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,24.0,10-12-2019,07:00:00,0.00,1004.79,29.77,24.7,24.2,0.0,000,96,7.00,1009.78,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.1,10-12-2019,07:00:00,0.00,1006.28,29.99,25.4,23.0,0.0,000,92,10.00,1009.60,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.3,10-12-2019,07:00:00,0.00,1008.42,30.40,24.9,24.1,0.0,000,97,10.00,1009.53,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.6,10-12-2019,07:00:00,0.00,1009.65,30.97,27.5,26.7,0.0,000,84,10.00,1009.95,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.1,10-12-2019,07:00:00,0.00,1009.15,29.98,27.7,27.4,0.0,000,81,10.00,1009.84,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.9,10-12-2019,07:00:00,0.00,1010.05,29.60,27.5,25.3,0.0,000,81,10.00,1010.54,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.7,10-12-2019,07:00:00,0.00,1008.60,31.11,27.0,25.1,7.4,070,87,8.00,1010.01,0.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.3,10-12-2019,07:00:00,0.00,1008.35,30.43,26.5,25.8,13.0,090,88,7.00,1010.03,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,22.9,10-12-2019,07:00:00,0.01,1003.83,27.91,23.2,23.1,0.0,000,98,10.00,1011.97,4.50
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.2,10-12-2019,07:00:00,4.50,1009.92,32.07,25.5,24.0,0.0,000,98,5.00,1010.21,4.50
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.2,10-12-2019,07:00:00,12.30,1007.68,30.15,25.2,24.7,0.0,000,94,8.00,1010.85,12.30
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.8,10-12-2019,07:00:00,12.50,1004.10,29.42,24.8,24.8,0.0,000,94,4.00,1011.11,12.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,23.7,10-12-2019,07:00:00,0.00,1005.01,29.29,25.6,25.0,0.0,000,89,10.00,1010.65,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.6,10-12-2019,07:00:00,12.80,1002.64,30.85,25.0,23.8,14.8,050,97,1.00,1012.06,12.80
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.0,10-12-2019,07:00:00,0.00,1008.95,29.79,25.0,24.6,0.0,000,94,12.00,1010.22,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.5,10-12-2019,07:00:00,0.00,1008.92,30.67,26.2,25.5,0.0,000,90,11.00,1009.36,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,22.8,10-12-2019,07:00:00,0.00,997.58,27.66,23.5,23.0,0.0,000,96,6.00,1010.02,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.1,10-12-2019,07:00:00,0.00,1008.98,30.03,26.0,25.5,5.6,300,89,10.00,1009.70,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.1,10-12-2019,07:00:00,0.01,1008.03,30.01,25.7,24.5,3.7,360,91,7.00,1010.48,11.80
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,23.8,10-12-2019,07:00:00,0.00,1009.24,29.50,26.0,25.7,0.0,000,88,10.00,1009.77,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.0,10-12-2019,07:00:00,0.70,1004.86,29.89,25.2,24.7,7.4,010,93,11.00,1010.06,0.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.7,10-12-2019,07:00:00,0.00,1009.70,31.19,25.9,25.5,0.0,000,93,7.00,1010.12,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.6,10-12-2019,07:00:00,0.00,1007.76,31.00,25.8,25.6,0.0,000,93,8.00,1010.55,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.5,10-12-2019,07:00:00,0.00,1008.51,29.00,25.0,24.5,3.7,310,92,10.00,1009.30,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.3,10-12-2019,07:00:00,0.00,1009.37,30.36,25.6,24.6,5.6,080,93,7.00,1009.83,0.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,23.8,10-12-2019,07:00:00,0.00,1009.12,29.49,24.4,24.1,0.0,000,97,7.00,1009.80,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.2,10-12-2019,07:00:00,0.00,1008.06,28.43,23.8,23.8,1.9,270,97,6.00,1009.61,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,22.6,10-12-2019,07:00:00,0.00,1009.37,27.42,23.8,23.7,0.0,000,93,10.00,1010.30,19.50
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.6,10-12-2019,07:00:00,0.00,1009.22,30.87,25.3,24.2,0.0,000,96,10.00,1009.91,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.7,10-12-2019,07:00:00,0.00,1009.45,29.30,24.0,23.4,0.0,000,98,.70,1010.26,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.8,10-12-2019,07:00:00,0.00,1009.29,29.42,24.8,24.4,0.0,000,94,10.00,1009.94,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.3,10-12-2019,07:00:00,0.00,1009.68,30.40,24.9,23.9,0.0,000,97,8.00,1010.09,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,22.9,10-12-2019,07:00:00,0.00,1007.78,27.91,23.2,22.8,0.0,000,98,4.00,1012.07,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,22.8,10-12-2019,07:00:00,0.00,1009.12,27.74,23.1,22.7,0.0,000,98,9.00,1010.76,0.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,22.9,10-12-2019,07:00:00,0.00,1006.70,27.91,23.2,23.1,0.0,000,98,.80,1010.23,8.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,10-12-2019,07:00:00,0.00,1008.63,30.46,24.5,24.2,0.0,000,99,10.00,1010.00,6.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.4,10-12-2019,07:00:00,0.00,1008.56,30.56,24.7,24.5,0.0,000,98,10.00,1009.45,0.30
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.3,10-12-2019,07:00:00,0.00,1006.14,28.53,24.0,22.8,0.0,000,96,10.00,1009.74,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.4,10-12-2019,07:00:00,0.00,1009.09,30.63,25.6,25.2,0.0,000,93,10.00,1009.53,3.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.7,10-12-2019,07:00:00,0.00,1008.19,31.04,25.1,22.4,0.0,000,97,10.00,1009.19,1.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.3,10-12-2019,07:00:00,0.00,1008.93,30.34,25.3,24.2,9.3,080,94,10.00,1009.75,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,10-12-2019,07:00:00,0.00,1008.24,29.30,24.0,23.7,0.0,000,98,.30,1010.07,39.10
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.0,10-12-2019,07:00:00,0.00,1009.50,28.01,26.2,24.4,3.7,230,82,12.00,1010.25,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.8,10-12-2019,07:00:00,0.00,1006.42,27.82,23.0,21.8,5.6,250,99,.90,1010.48,22.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,22.5,10-12-2019,07:00:00,0.00,1008.63,27.25,23.7,22.7,0.0,000,93,10.00,1009.32,3.80
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.9,10-12-2019,07:00:00,0.00,1008.70,27.91,23.2,22.8,0.0,000,98,10.00,1009.83,0.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.9,10-12-2019,07:00:00,0.00,1007.42,27.91,23.2,21.4,0.0,000,98,.50,1010.39,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.2,10-12-2019,07:00:00,0.00,1009.57,28.43,23.8,23.4,0.0,000,97,10.00,1010.27,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.7,10-12-2019,07:00:00,0.00,1006.84,27.60,24.2,23.0,0.0,000,91,8.00,1011.02,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.3,10-12-2019,07:00:00,0.00,1008.62,26.84,24.5,.0,7.4,250,87,10.00,1009.21,0.00
