WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,23.2,07-17-2019,07:00:00,80,0.00,26.4,1005.72,5.6,27.0,999.54,28.41,1.00,280,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.8,07-17-2019,07:00:00,84,0.00,24.5,1003.94,0.0,26.7,987.54,29.45,0.00,000,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.3,07-17-2019,07:00:00,96,0.00,23.3,1002.96,0.0,24.0,980.51,28.53,8.50,000,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.6,07-17-2019,07:00:00,76,0.00,26.5,1003.83,3.7,27.2,989.50,27.45,1.00,300,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.6,07-17-2019,07:00:00,77,0.00,26.5,1003.24,0.0,27.0,986.93,27.36,0.00,000,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.7,07-17-2019,07:00:00,87,0.00,26.0,1003.22,3.7,27.0,998.01,31.11,0.00,110,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,07-17-2019,07:00:00,88,0.00,25.5,1002.17,0.0,26.7,989.03,30.81,0.00,000,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,22.8,07-17-2019,07:00:00,77,0.00,26.0,1003.06,0.0,27.2,993.78,27.72,0.00,000,12.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.0,07-17-2019,07:00:00,93,0.00,25.1,1003.67,1.9,26.2,982.00,31.76,6.40,310,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.9,07-17-2019,07:00:00,88,0.00,26.2,1003.94,5.6,28.0,986.55,33.37,5.80,120,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.7,07-17-2019,07:00:00,85,0.00,27.9,1002.91,0.0,28.5,987.22,32.96,0.00,000,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.3,07-17-2019,07:00:00,100,0.00,25.1,1002.67,0.0,26.3,983.83,34.20,1.30,000,10.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,20.5,07-17-2019,07:00:00,94,0.00,20.6,1006.67,0.0,21.4,954.74,24.05,0.00,000,7.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.4,07-17-2019,07:00:00,88,0.00,26.0,1003.06,3.7,27.5,999.13,32.36,0.00,090,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.8,07-17-2019,07:00:00,96,0.00,19.7,1005.03,5.6,20.4,909.79,23.03,5.80,250,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.8,07-17-2019,07:00:00,84,0.00,26.4,1003.50,0.0,28.8,987.67,33.28,0.00,000,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,07-17-2019,07:00:00,98,0.00,25.2,1003.78,0.0,26.0,999.74,32.76,17.40,000,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.1,07-17-2019,07:00:00,85,0.00,25.2,1004.67,1.9,25.9,993.98,28.26,0.00,310,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.3,07-17-2019,07:00:00,88,0.00,25.4,1004.00,0.0,25.5,1002.07,28.59,0.00,000,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.1,07-17-2019,07:00:00,76,0.00,26.7,1003.61,0.0,27.8,982.88,28.28,0.00,000,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.1,07-17-2019,07:00:00,83,0.00,26.0,1003.58,11.1,28.2,986.05,31.79,0.00,220,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.6,07-17-2019,07:00:00,85,0.00,27.6,1002.87,7.4,28.3,986.85,32.84,0.00,170,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.4,07-17-2019,07:00:00,86,0.00,26.6,1004.80,11.1,26.9,990.80,30.64,0.00,150,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.2,07-17-2019,07:00:00,86,0.00,26.0,1005.81,0.0,26.7,990.99,30.26,0.00,000,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.8,07-17-2019,07:00:00,85,0.00,26.4,1005.49,0.0,27.5,990.87,31.25,0.00,000,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.8,07-17-2019,07:00:00,86,0.00,24.3,1003.17,0.0,26.3,1000.15,29.52,3.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.1,07-17-2019,07:00:00,81,0.00,25.2,1003.69,5.6,27.7,995.78,29.98,0.00,100,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.0,07-17-2019,07:00:00,81,0.00,25.3,1003.84,7.4,26.5,1002.73,28.03,0.00,210,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.6,07-17-2019,07:00:00,84,0.00,25.9,1004.45,3.7,27.6,989.84,30.89,0.00,090,9.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.7,07-17-2019,07:00:00,98,0.00,18.0,1005.12,7.4,19.0,870.18,21.52,2.80,210,2.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,24.7,07-17-2019,07:00:00,88,0.00,25.7,1004.34,5.6,26.9,998.47,31.19,0.00,210,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.4,07-17-2019,07:00:00,88,0.00,27.0,1004.64,7.4,27.5,1003.84,32.36,0.00,240,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,23.6,07-17-2019,07:00:00,71,0.00,28.9,1003.88,14.8,29.4,1003.44,29.13,0.00,230,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,23.8,07-17-2019,07:00:00,96,0.00,24.2,1005.35,0.0,24.5,993.97,29.41,0.00,000,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.4,07-17-2019,07:00:00,81,0.00,25.8,1003.95,0.0,26.9,1002.94,28.76,0.00,000,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,23.3,07-17-2019,07:00:00,80,0.00,25.9,1004.24,0.0,27.0,1002.42,28.67,0.00,000,10.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.2,07-17-2019,07:00:00,76,0.00,25.7,1003.78,0.0,26.8,1003.02,26.74,0.00,000,9.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.4,07-17-2019,07:00:00,80,0.00,26.3,1004.66,5.6,28.1,1003.96,30.48,0.00,280,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.4,07-17-2019,07:00:00,86,0.00,27.1,1004.29,0.0,28.0,1003.59,32.52,0.00,000,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.4,07-17-2019,07:00:00,81,0.00,26.8,1003.76,3.7,28.0,982.75,30.56,0.00,270,10.00
