WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,VaporPressure,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,WindSpeed,Rainfall,StationPressure,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,10-02-2019,01:00:00,23.9,29.62,000,0.00,1010.68,25.2,0.0,0.00,979.57,8.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,10-02-2019,01:00:00,17.4,19.80,300,0.00,1009.48,19.0,7.4,0.00,847.92,8.00,90
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10-02-2019,01:00:00,21.4,25.53,000,0.00,1010.07,25.8,0.0,0.00,966.35,10.00,77
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10-02-2019,01:00:00,22.3,26.91,000,0.00,1011.01,23.5,0.0,0.00,964.99,12.00,93
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,10-02-2019,01:00:00,22.4,27.07,000,0.00,1011.60,22.7,0.0,0.00,973.42,5.00,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,10-02-2019,01:00:00,23.3,28.53,000,0.00,1011.07,24.0,0.0,0.00,965.57,7.00,96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,10-02-2019,01:00:00,23.1,28.20,000,0.00,1011.46,24.4,0.0,0.00,984.47,6.00,92
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,10-02-2019,01:00:00,24.0,29.91,000,0.00,1010.73,25.5,0.0,0.00,988.83,10.00,92
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,10-02-2019,01:00:00,23.5,29.00,000,0.00,1011.56,25.0,0.0,0.00,987.25,6.00,92
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10-02-2019,01:00:00,22.3,26.91,000,12.20,1011.28,23.5,0.0,0.00,976.34,10.00,93
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10-02-2019,01:00:00,22.5,27.29,000,0.30,1011.33,25.5,0.0,0.00,983.61,10.00,84
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-02-2019,01:00:00,22.8,27.76,000,0.00,1012.03,24.0,0.0,0.00,978.06,10.00,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-02-2019,01:00:00,23.8,29.52,000,0.00,1010.01,25.0,0.0,0.00,991.36,4.00,93
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-02-2019,01:00:00,23.8,29.46,000,0.00,1011.02,25.4,0.0,0.00,988.04,10.00,91
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-02-2019,01:00:00,23.3,28.64,000,0.00,1010.54,24.8,0.0,0.00,980.40,6.00,92
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-02-2019,01:00:00,22.9,27.92,000,0.80,1010.85,23.8,0.0,0.00,974.94,6.00,95
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-02-2019,01:00:00,22.0,26.41,000,0.00,1010.09,23.2,0.0,0.00,979.98,3.00,93
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-02-2019,01:00:00,24.8,31.25,000,0.00,1010.22,27.5,0.0,0.00,1002.90,8.00,85
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-02-2019,01:00:00,23.6,29.06,000,0.00,1010.12,27.5,0.0,0.00,990.20,5.00,79
48353,LOEI,เลย,เลย,17.45000,101.73333,10-02-2019,01:00:00,22.2,26.77,000,0.00,1010.56,24.9,0.0,0.00,981.65,4.00,85
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-02-2019,01:00:00,22.9,27.85,000,0.00,1010.25,26.4,0.0,0.00,989.99,8.00,81
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-02-2019,01:00:00,22.5,27.25,000,0.00,1011.26,24.0,0.0,0.00,989.24,5.00,91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-02-2019,01:00:00,23.8,29.41,000,0.00,1010.61,26.1,0.0,0.00,991.01,7.00,87
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-02-2019,01:00:00,23.2,28.34,000,0.00,1010.88,25.8,0.0,0.00,994.02,7.00,85
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-02-2019,01:00:00,22.0,26.42,000,0.00,1011.49,23.5,0.0,0.00,993.81,6.00,91
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-02-2019,01:00:00,23.2,28.51,000,0.00,1009.47,25.6,0.0,0.00,983.53,6.00,87
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-02-2019,01:00:00,25.5,32.56,280,0.00,1009.47,27.6,3.7,0.00,1003.68,8.00,88
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-02-2019,01:00:00,25.5,32.56,000,0.00,1009.04,27.6,0.0,0.00,1002.85,6.00,88
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-02-2019,01:00:00,23.6,29.08,000,0.00,1011.32,26.5,0.0,0.00,994.79,8.00,84
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-02-2019,01:00:00,22.3,26.84,150,0.00,1009.85,24.5,3.7,0.00,987.29,8.00,87
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-02-2019,01:00:00,22.1,26.66,000,0.00,1010.80,26.9,0.0,0.00,996.36,7.00,75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-02-2019,01:00:00,23.5,29.00,000,0.00,1010.30,25.0,0.0,0.00,993.76,8.00,92
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-02-2019,01:00:00,25.2,32.05,000,0.00,1009.91,27.2,0.0,0.00,1004.67,6.00,89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-02-2019,01:00:00,23.8,29.42,000,0.00,1009.05,27.4,0.0,0.00,995.84,8.00,81
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-02-2019,01:00:00,25.3,32.23,000,2.40,1010.22,26.3,0.0,0.00,1000.85,6.00,94
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-02-2019,01:00:00,24.1,30.02,210,0.00,1010.38,27.0,3.7,0.00,988.63,7.00,84
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-02-2019,01:00:00,23.6,29.08,000,0.00,1008.19,26.5,0.0,0.00,990.64,10.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-02-2019,01:00:00,23.1,28.18,000,0.00,1009.12,26.0,0.0,0.00,993.20,10.00,84
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-02-2019,01:00:00,24.1,30.03,000,0.00,1010.11,26.0,0.0,0.00,991.11,5.00,89
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-02-2019,01:00:00,22.6,27.42,000,16.70,1012.78,23.8,0.0,0.00,960.95,6.00,93
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-02-2019,01:00:00,25.8,33.29,000,0.00,1009.99,28.1,0.0,0.00,1006.04,3.00,88
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-02-2019,01:00:00,19.1,22.16,000,0.00,1012.57,20.1,0.0,0.00,916.52,5.00,94
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-02-2019,01:00:00,25.0,31.74,000,0.00,1010.82,25.9,0.0,0.00,994.72,6.00,95
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-02-2019,01:00:00,24.7,31.14,160,0.00,1010.20,28.3,5.6,0.00,1006.17,8.00,81
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-02-2019,01:00:00,25.1,31.91,000,0.30,1011.71,26.7,0.0,0.00,1000.97,5.00,91
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-02-2019,01:00:00,25.6,32.76,000,0.40,1010.94,27.7,0.0,0.00,1009.01,6.00,88
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-02-2019,01:00:00,22.5,27.30,340,0.00,1010.69,25.8,3.7,0.00,989.68,7.00,82
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-02-2019,01:00:00,24.3,30.30,200,0.00,1010.38,26.0,3.7,0.00,992.60,8.00,90
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-02-2019,01:00:00,24.9,31.58,000,0.00,1010.15,27.1,0.0,0.00,993.95,10.00,88
