WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,VaporPressure,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,Rainfall,WindSpeed,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,77,08-22-2019,10:00:00,28.2,1006.26,29.57,000,9.00,23.9,7.90,0.01,0.0,975.59
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,98,08-22-2019,10:00:00,19.3,1004.17,21.93,000,8.00,19.0,1.20,0.00,0.0,843.60
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,92,08-22-2019,10:00:00,25.7,1006.98,30.28,000,10.00,24.2,82.70,68.30,0.0,963.38
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,89,08-22-2019,10:00:00,26.1,1006.89,30.22,000,7.00,24.2,1.20,0.80,0.0,961.44
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,88,08-22-2019,10:00:00,26.9,1007.93,31.19,210,12.00,24.7,11.10,0.00,7.4,970.41
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,82,08-22-2019,10:00:00,28.0,1006.82,31.11,120,7.00,24.7,0.60,0.60,7.4,962.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,83,08-22-2019,10:00:00,26.9,1008.48,29.56,180,10.00,23.8,14.60,0.00,5.6,981.79
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,75,08-22-2019,10:00:00,28.3,1007.47,28.95,120,13.00,23.5,0.00,0.00,5.6,985.85
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,91,08-22-2019,10:00:00,27.8,1007.35,33.82,000,8.00,26.1,1.50,0.50,0.0,983.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,73,08-22-2019,10:00:00,28.5,1006.86,28.51,220,10.00,23.2,3.10,0.01,3.7,972.63
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,80,08-22-2019,10:00:00,28.2,1007.32,30.67,000,10.00,24.5,51.80,0.00,0.0,979.95
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,73,08-22-2019,10:00:00,28.6,1006.55,28.70,000,10.00,23.4,2.80,0.00,0.0,973.28
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,86,08-22-2019,10:00:00,27.3,1007.63,31.14,270,9.00,24.7,13.90,0.10,3.7,989.17
48331,NAN,น่าน,น่าน,18.77972,100.77778,85,08-22-2019,10:00:00,22.1,1008.21,22.56,000,10.00,19.4,47.60,0.00,0.0,985.04
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,85,08-22-2019,10:00:00,26.0,1008.11,28.70,000,9.00,23.4,19.50,0.01,0.0,978.17
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,80,08-22-2019,10:00:00,27.6,1007.31,29.52,000,7.00,23.8,0.90,0.01,0.0,971.96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,95,08-22-2019,10:00:00,25.7,1007.28,31.36,000,10.00,24.8,24.20,0.00,0.0,977.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,88,08-22-2019,10:00:00,27.8,1007.81,32.96,000,8.00,25.7,11.80,0.01,0.0,1000.52
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,90,08-22-2019,10:00:00,27.0,1007.61,32.21,290,12.00,25.3,5.30,0.40,3.7,987.71
48353,LOEI,เลย,เลย,17.45000,101.73333,89,08-22-2019,10:00:00,26.0,1007.31,29.76,000,12.00,24.0,13.70,0.00,0.0,978.60
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,90,08-22-2019,10:00:00,26.7,1007.53,31.63,230,8.00,25.0,29.10,0.50,3.7,987.34
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,84,08-22-2019,10:00:00,27.0,1007.59,30.02,220,12.00,24.1,4.00,0.00,3.7,985.87
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,89,08-22-2019,10:00:00,26.5,1007.49,30.97,220,12.00,24.6,11.10,0.20,3.7,987.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,93,08-22-2019,10:00:00,26.0,1008.82,31.38,000,8.00,24.8,25.90,0.40,0.0,992.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,90,08-22-2019,10:00:00,27.1,1008.53,32.13,000,12.00,25.2,13.20,0.10,0.0,991.11
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,95,08-22-2019,10:00:00,26.4,1007.36,32.71,000,9.00,25.5,1.10,0.30,0.0,981.54
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,86,08-22-2019,10:00:00,29.0,1007.99,34.58,000,10.00,26.5,52.20,0.00,0.0,1002.23
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,89,08-22-2019,10:00:00,29.0,1007.93,35.46,160,8.00,26.9,53.80,0.00,9.3,1001.78
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,84,08-22-2019,10:00:00,27.0,1009.61,30.02,000,10.00,24.1,2.60,0.00,0.0,993.14
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,73,08-22-2019,10:00:00,28.3,1006.44,28.14,150,10.00,23.0,1.60,0.00,3.7,984.23
48376,TAK,ตาก,ตาก,16.87833,99.14333,85,08-22-2019,10:00:00,28.0,1008.58,31.95,140,8.00,25.1,17.60,0.00,3.7,994.22
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,77,08-22-2019,10:00:00,28.2,1007.72,29.57,000,8.00,23.9,3.00,0.00,0.0,991.39
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,78,08-22-2019,10:00:00,29.3,1008.48,31.73,100,10.00,25.0,0.40,0.00,5.6,1003.28
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,84,08-22-2019,10:00:00,27.7,1007.05,31.36,000,12.00,24.8,15.00,0.00,0.0,993.89
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,81,08-22-2019,10:00:00,28.5,1007.72,31.54,120,10.00,24.9,6.50,0.00,3.7,998.44
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,67,08-22-2019,10:00:00,30.2,1007.81,28.75,240,10.00,23.4,0.00,0.00,9.3,986.34
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,72,08-22-2019,10:00:00,30.5,1007.63,31.31,230,10.00,24.8,15.20,0.00,5.6,990.32
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,80,08-22-2019,10:00:00,28.1,1007.42,30.48,200,11.00,24.4,9.30,0.00,7.4,991.64
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,71,08-22-2019,10:00:00,30.1,1006.60,30.22,200,10.00,24.2,0.00,0.00,9.3,987.92
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,81,08-22-2019,10:00:00,26.0,1009.50,27.14,000,11.00,22.4,6.40,0.00,0.0,958.21
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,79,08-22-2019,10:00:00,29.2,1008.02,32.10,160,8.00,25.2,0.00,0.00,14.8,1004.09
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,85,08-22-2019,10:00:00,23.3,1007.84,24.39,190,5.00,20.7,20.00,0.20,14.8,913.22
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,87,08-22-2019,10:00:00,28.5,1007.76,33.82,250,8.00,26.1,5.60,0.00,3.7,991.84
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,77,08-22-2019,10:00:00,29.6,1008.42,32.05,180,12.00,25.2,0.00,0.00,9.3,1004.41
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,72,08-22-2019,10:00:00,29.5,1009.73,29.60,180,10.00,23.9,0.60,0.00,9.3,999.12
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,73,08-22-2019,10:00:00,29.2,1008.24,29.57,180,10.00,23.9,3.30,0.00,3.7,1006.32
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,69,08-22-2019,10:00:00,28.8,1008.60,27.20,240,10.00,22.5,0.00,0.00,9.3,987.83
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,78,08-22-2019,10:00:00,29.0,1007.54,31.41,210,10.00,24.9,64.30,0.00,11.1,989.98
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,76,08-22-2019,10:00:00,29.8,1007.58,31.89,250,10.00,25.1,41.00,0.00,11.1,991.56
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,74,08-22-2019,10:00:00,29.4,1008.50,30.52,200,10.00,24.4,22.10,0.00,9.3,994.55
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,80,08-22-2019,10:00:00,28.5,1009.21,30.98,170,9.00,24.6,4.60,0.00,7.4,994.42
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,72,08-22-2019,10:00:00,31.0,1009.04,32.34,220,10.00,25.4,0.00,0.00,14.8,994.53
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,74,08-22-2019,10:00:00,29.6,1008.00,30.63,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,24.4,0.01,0.00,0.0,1005.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,71,08-22-2019,10:00:00,29.8,1008.50,29.91,150,10.00,24.0,0.00,0.00,5.6,1000.61
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,74,08-22-2019,10:00:00,30.4,1009.82,31.97,140,8.00,25.2,16.80,0.00,7.4,1008.72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,77,08-22-2019,10:00:00,29.0,1005.43,30.85,090,9.00,24.6,0.00,0.00,5.6,990.86
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-22-2019,10:00:00,19.6,1010.58,22.57,190,.05,19.4,1.80,0.00,7.4,875.16
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,81,08-22-2019,10:00:00,29.1,1009.17,32.46,250,10.00,25.4,3.70,0.00,7.4,1003.32
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,72,08-22-2019,10:00:00,31.0,1009.53,32.34,180,9.00,25.4,2.90,0.00,7.4,1008.74
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,71,08-22-2019,10:00:00,31.0,1009.14,32.05,210,10.00,25.2,0.00,0.00,13.0,1008.70
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,88,08-22-2019,10:00:00,27.0,1009.48,31.38,000,4.00,24.8,11.60,0.50,0.0,998.15
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,71,08-22-2019,10:00:00,30.0,1008.97,30.31,190,12.00,24.3,4.40,0.00,3.7,1007.96
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,71,08-22-2019,10:00:00,30.5,1009.08,31.03,180,8.00,24.7,1.90,0.00,7.4,1007.27
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,62,08-22-2019,10:00:00,30.6,1008.94,27.33,000,9.00,22.5,0.20,0.00,0.0,1008.19
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,70,08-22-2019,10:00:00,30.1,1009.03,29.94,190,10.00,24.1,0.01,0.01,18.5,1008.33
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,69,08-22-2019,10:00:00,31.6,1009.19,31.85,190,7.00,25.1,0.20,0.00,3.7,1008.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,82,08-22-2019,10:00:00,27.8,1008.68,30.45,000,9.00,24.3,1.40,0.60,0.0,987.55
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,74,08-22-2019,10:00:00,29.8,1008.56,31.03,220,9.00,24.7,0.00,0.00,7.4,991.97
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,74,08-22-2019,10:00:00,30.0,1009.33,31.44,210,10.00,24.9,0.00,0.00,7.4,993.03
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,74,08-22-2019,10:00:00,29.0,1008.93,29.74,000,10.00,23.9,0.00,0.00,0.0,987.18
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,69,08-22-2019,10:00:00,27.9,1008.70,26.10,220,15.00,21.8,9.20,0.01,7.4,965.51
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,60,08-22-2019,10:00:00,31.5,1008.45,27.68,250,10.00,22.8,0.00,0.00,13.0,988.16
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,81,08-22-2019,10:00:00,29.0,1010.29,32.55,230,9.00,25.5,0.00,0.00,16.7,989.54
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,68,08-22-2019,10:00:00,30.0,1009.13,28.91,220,10.00,23.5,0.70,0.00,13.0,1008.70
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,80,08-22-2019,10:00:00,30.0,1009.24,33.75,000,10.00,26.1,0.00,0.00,0.0,1007.84
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,79,08-22-2019,10:00:00,30.5,1009.21,34.52,000,8.00,26.5,3.90,0.00,0.0,1004.32
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,66,08-22-2019,10:00:00,30.2,1009.05,28.48,000,12.00,23.2,0.00,0.00,0.0,1005.79
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,72,08-22-2019,10:00:00,30.5,1009.25,31.31,000,10.00,24.8,0.20,0.00,0.0,1008.15
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,68,08-22-2019,10:00:00,31.0,1009.55,30.61,210,10.00,24.4,0.01,0.00,14.8,1009.25
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,70,08-22-2019,10:00:00,30.7,1009.23,30.86,210,10.00,24.6,0.00,0.00,3.7,1008.55
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,71,08-22-2019,10:00:00,30.5,1009.02,31.03,160,10.00,24.7,0.00,0.00,9.3,1008.54
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,68,08-22-2019,10:00:00,31.1,1009.43,30.82,190,10.00,24.5,5.80,0.00,16.7,1008.04
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,85,08-22-2019,10:00:00,29.5,1009.45,35.05,210,10.00,26.7,0.00,0.00,25.9,1007.78
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,71,08-22-2019,10:00:00,30.0,1010.92,30.31,180,12.00,24.3,0.00,0.00,11.1,1002.96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,68,08-22-2019,10:00:00,31.3,1009.08,30.94,240,10.00,24.6,0.00,0.00,14.8,1008.80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,75,08-22-2019,10:00:00,30.0,1009.49,31.72,240,12.00,25.0,0.00,0.00,7.4,1006.38
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,75,08-22-2019,10:00:00,30.0,1010.03,31.72,240,12.00,25.0,0.00,0.00,7.4,1003.14
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,72,08-22-2019,10:00:00,30.5,1009.81,31.60,000,8.00,25.0,0.00,0.00,0.0,1004.27
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,71,08-22-2019,10:00:00,30.0,1009.86,30.31,240,10.00,24.3,0.00,0.00,11.1,1000.61
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,76,08-22-2019,10:00:00,29.4,1009.76,31.08,150,14.00,24.7,3.30,0.00,11.1,1008.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,74,08-22-2019,10:00:00,30.2,1009.53,31.56,000,11.00,24.9,0.70,0.00,0.0,1009.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,71,08-22-2019,10:00:00,30.3,1009.65,30.62,230,10.00,24.4,0.00,0.00,7.4,997.49
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,69,08-22-2019,10:00:00,31.0,1009.49,30.90,240,10.00,24.6,5.50,0.00,5.6,1008.79
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,71,08-22-2019,10:00:00,31.0,1010.16,31.76,220,10.00,25.0,2.00,0.00,18.5,1007.75
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,76,08-22-2019,10:00:00,30.0,1010.66,32.30,230,10.00,25.3,0.00,0.00,13.0,1010.14
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,73,08-22-2019,10:00:00,29.9,1010.05,30.67,230,11.00,24.5,7.40,0.00,3.7,1004.93
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,73,08-22-2019,10:00:00,30.3,1010.10,31.48,210,8.00,24.9,3.50,0.00,7.4,1009.69
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,67,08-22-2019,10:00:00,30.1,1009.47,28.56,000,8.00,23.3,9.10,0.00,0.0,1006.73
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,71,08-22-2019,10:00:00,29.0,1010.66,28.37,220,10.00,23.2,1.00,0.00,3.7,1009.88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,80,08-22-2019,10:00:00,29.9,1010.77,33.83,240,8.00,26.1,0.70,0.60,9.3,1010.31
