WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,Rainfall,AirTemperature,RelativeHumidity,VaporPressure,DewPoint,MinimumTemperature,StationPressure,Rainfall24Hr,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1005.32,08-17-2019,07:00:00,0.0,3.00,25.0,96,30.32,24.3,23.6,974.36,22.50,7.00,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1003.27,08-17-2019,07:00:00,18.5,0.00,18.9,100,21.82,18.9,18.2,842.65,14.70,.10,300
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1004.12,08-17-2019,07:00:00,0.0,0.00,25.0,91,28.74,23.4,24.1,960.54,0.10,10.00,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.33,08-17-2019,07:00:00,0.0,0.00,24.5,93,28.63,23.3,23.1,959.71,2.40,15.00,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.06,08-17-2019,07:00:00,0.0,29.50,23.5,99,28.68,23.3,23.0,968.19,84.50,4.00,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1004.76,08-17-2019,07:00:00,3.7,0.00,24.4,97,29.49,23.8,23.5,959.61,11.30,7.00,110
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1005.23,08-17-2019,07:00:00,3.7,29.30,24.5,96,29.41,23.8,24.0,978.41,122.10,4.00,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1005.36,08-17-2019,07:00:00,0.0,0.00,25.0,97,30.85,24.6,24.8,983.55,3.30,10.00,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1006.43,08-17-2019,07:00:00,0.0,0.00,25.5,93,30.44,24.3,23.3,982.28,7.80,6.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1005.06,08-17-2019,07:00:00,0.0,0.00,25.1,95,30.23,24.2,24.6,970.52,14.60,10.00,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1005.77,08-17-2019,07:00:00,0.0,2.20,25.0,97,30.58,24.4,24.7,978.16,38.30,5.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1005.01,08-17-2019,07:00:00,0.0,0.70,25.0,96,30.32,24.3,24.8,971.39,9.00,10.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1005.27,08-17-2019,07:00:00,0.0,1.60,25.1,99,31.58,24.9,24.7,986.72,18.70,3.00,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,1004.64,08-17-2019,07:00:00,0.0,0.40,24.7,98,30.56,24.4,24.5,981.75,56.20,6.00,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1004.24,08-17-2019,07:00:00,0.0,20.00,24.0,96,28.53,23.3,23.9,974.21,65.10,6.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1005.60,08-17-2019,07:00:00,0.0,0.20,24.5,96,29.41,23.8,24.5,969.96,5.70,5.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.14,08-17-2019,07:00:00,5.6,8.80,24.3,99,30.10,24.1,24.2,975.29,14.70,1.00,120
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1005.22,08-17-2019,07:00:00,0.0,1.30,26.0,96,32.20,25.3,25.5,997.91,5.90,6.00,000
