WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,LandVisibility
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.9,09-03-2019,16:00:00,000,28.5,31.54,987.20,6.40,0.20,81,1003.49,0.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,09-03-2019,16:00:00,240,29.0,28.37,981.62,23.30,0.00,71,1003.71,7.4,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,22.7,09-03-2019,16:00:00,270,30.6,27.60,989.32,3.20,0.00,63,1003.48,14.8,8.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.6,09-03-2019,16:00:00,000,32.2,27.38,986.44,5.90,0.00,57,1002.47,0.0,12.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.3,09-03-2019,16:00:00,260,32.0,30.36,998.05,4.60,0.00,64,1003.17,5.6,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.6,09-03-2019,16:00:00,000,28.7,32.79,989.18,11.80,3.00,83,1002.23,0.0,12.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.6,09-03-2019,16:00:00,280,31.0,30.90,994.29,0.30,0.01,69,1003.46,3.7,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.8,09-03-2019,16:00:00,240,25.4,31.33,981.15,14.10,2.80,97,1002.85,5.6,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.0,09-03-2019,16:00:00,250,25.0,31.66,985.17,21.20,3.50,100,1002.71,11.1,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.8,09-03-2019,16:00:00,200,24.5,29.41,983.52,39.70,6.80,96,999.36,5.6,7.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.8,09-03-2019,16:00:00,000,25.5,31.25,982.61,11.80,1.90,96,1001.48,0.0,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.5,09-03-2019,16:00:00,000,25.0,29.00,955.47,18.60,7.00,92,1006.79,0.0,9.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.4,09-03-2019,16:00:00,320,31.0,30.61,999.15,25.50,0.00,68,1003.04,13.0,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.9,09-03-2019,16:00:00,220,22.9,24.72,910.12,6.30,0.01,89,1004.56,7.4,8.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.9,09-03-2019,16:00:00,300,25.3,31.41,985.78,43.90,6.40,97,1001.77,11.1,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,09-03-2019,16:00:00,000,31.2,32.76,1000.12,6.50,0.00,72,1004.09,0.0,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.5,09-03-2019,16:00:00,270,29.8,30.75,994.31,12.90,0.00,73,1004.86,9.3,10.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.6,09-03-2019,16:00:00,000,30.5,32.75,1002.54,7.10,0.20,75,1004.44,0.0,12.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.3,09-03-2019,16:00:00,000,25.6,30.36,982.45,10.60,1.70,93,1003.33,0.0,4.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.1,09-03-2019,16:00:00,310,25.0,30.05,983.73,40.70,6.60,95,1001.41,18.5,8.00
