WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,VaporPressure
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-21-2019,10:00:00,0.0,000,1007.75,23.7,0.00,32.2,10.00,61,991.58,0.00,29.34
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-21-2019,10:00:00,0.0,000,1006.51,23.6,0.00,30.1,10.00,68,984.43,0.00,29.11
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-21-2019,10:00:00,14.8,270,1007.28,23.3,0.00,33.0,10.00,57,993.17,0.00,28.68
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-21-2019,10:00:00,0.0,000,1006.47,23.6,0.00,35.0,12.00,52,990.52,0.00,29.05
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-21-2019,10:00:00,3.7,280,1007.50,25.4,0.00,31.0,10.00,72,1002.34,0.00,32.34
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-21-2019,10:00:00,0.0,000,1006.34,24.9,0.00,33.0,12.00,63,993.41,0.00,31.57
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-21-2019,10:00:00,3.7,300,1007.14,24.9,0.00,32.0,12.00,66,997.97,0.00,31.52
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-21-2019,10:00:00,11.1,200,1007.64,24.9,0.00,30.4,10.00,72,986.19,12.20,31.39
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-21-2019,10:00:00,0.0,000,1007.53,26.4,0.00,32.0,12.00,73,990.31,16.10,34.49
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-21-2019,10:00:00,5.6,230,1007.27,24.1,0.00,31.0,12.00,67,991.64,0.00,30.05
