WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,StationPressure,WindSpeed,LandVisibility,VaporPressure,Rainfall24Hr,AirTemperature,Rainfall,WindDirection,RelativeHumidity,MeanSeaLevelPressure
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-28-2019,10:00:00,21.3,1007.19,0.0,10.00,25.24,0.00,31.5,0.00,000,55,1015.08
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-28-2019,10:00:00,22.1,1013.74,14.8,8.00,26.56,0.00,31.2,0.00,040,58,1014.84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-28-2019,10:00:00,24.1,998.56,3.7,9.00,29.93,0.00,28.1,0.00,110,79,1013.28
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-28-2019,10:00:00,17.5,879.28,5.6,9.00,20.01,0.00,24.1,0.00,060,67,1013.18
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-28-2019,10:00:00,19.6,1009.78,7.4,9.00,22.84,0.00,30.0,0.00,090,54,1015.65
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-28-2019,10:00:00,23.6,1013.86,7.4,8.00,29.06,0.00,32.2,0.00,320,60,1014.65
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-28-2019,10:00:00,23.5,1013.64,5.6,10.00,28.91,0.00,31.7,0.00,120,62,1014.08
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-28-2019,10:00:00,24.5,1003.93,0.0,6.00,30.70,0.00,28.5,0.00,000,79,1015.27
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-28-2019,10:00:00,23.2,1014.35,9.3,8.00,28.42,0.00,30.6,0.00,030,65,1015.36
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-28-2019,10:00:00,20.7,1013.75,0.0,10.00,24.42,0.00,30.9,0.00,000,55,1015.57
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-28-2019,10:00:00,23.9,1014.37,7.4,11.00,29.63,0.00,31.5,0.00,040,64,1015.13
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-28-2019,10:00:00,23.3,1013.81,7.4,8.00,28.65,0.00,31.0,0.00,020,64,1014.51
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-28-2019,10:00:00,21.9,1013.38,3.7,7.00,26.28,0.00,33.2,0.00,060,52,1014.08
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-28-2019,10:00:00,20.2,994.21,3.7,9.00,23.59,0.00,29.7,0.00,050,57,1015.35
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-28-2019,10:00:00,22.0,998.27,5.6,10.00,26.48,0.00,28.7,0.00,030,67,1015.03
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-28-2019,10:00:00,22.5,998.90,7.4,10.00,27.32,0.00,29.3,0.00,010,67,1015.34
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-28-2019,10:00:00,21.0,993.40,13.0,10.00,24.78,0.00,29.5,0.00,030,60,1015.25
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-28-2019,10:00:00,18.5,971.41,22.2,10.00,21.26,0.00,28.3,0.00,040,55,1014.79
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-28-2019,10:00:00,21.2,994.44,9.3,10.00,25.19,0.00,29.0,0.00,080,63,1015.02
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-28-2019,10:00:00,22.8,996.01,22.2,8.00,27.71,0.00,28.5,0.00,040,71,1016.92
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-28-2019,10:00:00,24.6,1014.05,0.0,9.00,30.99,0.00,30.2,0.00,000,72,1014.48
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-28-2019,10:00:00,21.6,1012.55,0.0,11.00,25.80,0.00,30.5,0.00,000,59,1013.96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-28-2019,10:00:00,22.9,1008.98,0.0,8.00,27.85,15.00,30.3,0.00,000,65,1013.89
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-28-2019,10:00:00,22.9,1011.79,11.1,7.00,27.96,0.00,31.5,0.00,100,60,1015.06
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-28-2019,10:00:00,23.9,1014.18,7.4,8.00,29.71,0.00,29.7,0.00,040,71,1015.28
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-28-2019,10:00:00,23.8,1013.78,7.4,10.00,29.43,0.00,31.4,0.00,010,64,1014.08
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-28-2019,10:00:00,23.9,1013.61,3.7,10.00,29.72,0.01,31.4,0.00,010,65,1014.29
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-28-2019,10:00:00,24.5,1013.93,3.7,10.00,30.69,0.00,31.6,0.00,320,66,1014.42
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-28-2019,10:00:00,22.9,1013.21,13.0,10.00,27.98,0.01,30.8,0.00,360,63,1014.61
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-28-2019,10:00:00,24.7,1012.63,11.1,6.00,31.15,0.00,30.0,0.00,040,73,1014.31
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-28-2019,10:00:00,22.3,1007.66,3.7,12.00,26.85,0.00,30.2,0.00,050,63,1015.65
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-28-2019,10:00:00,23.0,1013.97,7.4,8.00,28.07,4.70,31.7,0.00,080,60,1014.25
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-28-2019,10:00:00,24.3,1010.79,9.3,10.00,30.31,14.30,30.0,0.00,250,71,1013.91
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-28-2019,10:00:00,23.9,1007.14,9.3,8.00,29.65,13.80,30.8,0.00,300,67,1014.04
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-28-2019,10:00:00,23.4,1008.88,13.0,10.00,28.73,18.00,30.9,0.00,020,64,1014.44
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-28-2019,10:00:00,24.1,1005.56,11.1,2.00,30.05,1.80,31.0,0.00,010,67,1014.82
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-28-2019,10:00:00,25.0,1013.66,14.8,6.00,31.69,4.50,29.0,0.00,360,79,1014.92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-28-2019,10:00:00,25.3,1014.17,11.1,8.00,32.34,3.20,30.3,0.00,350,75,1014.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-28-2019,10:00:00,24.1,1002.51,7.4,8.00,29.96,14.20,28.4,1.00,290,77,1014.81
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-28-2019,10:00:00,24.1,1013.38,0.0,8.00,30.05,0.00,31.0,0.00,000,67,1014.09
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-28-2019,10:00:00,23.9,1011.62,14.8,6.00,29.66,3.10,32.5,0.00,010,61,1014.03
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-28-2019,10:00:00,21.1,1013.02,9.3,8.00,25.02,0.10,32.1,0.00,040,52,1013.53
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-28-2019,10:00:00,22.4,1008.82,5.6,12.00,27.13,1.40,31.5,0.00,030,59,1013.94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-28-2019,10:00:00,23.1,1013.28,0.0,8.00,28.33,0.00,32.4,0.00,000,58,1013.69
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-28-2019,10:00:00,26.3,1010.94,0.0,10.00,34.22,0.00,30.5,0.00,000,78,1013.69
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-28-2019,10:00:00,25.3,1013.50,18.5,10.00,32.26,5.50,31.1,0.00,020,71,1014.28
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-28-2019,10:00:00,26.8,1012.79,0.0,8.00,35.15,0.00,31.2,0.00,000,77,1013.25
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-28-2019,10:00:00,24.6,1013.30,7.4,8.00,30.99,0.70,30.2,0.00,040,72,1013.98
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-28-2019,10:00:00,23.9,1010.10,0.0,9.00,29.74,4.60,29.0,0.00,000,74,1011.62
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-28-2019,10:00:00,23.6,1012.78,1.9,10.00,29.15,0.40,31.4,0.00,030,63,1013.69
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-28-2019,10:00:00,25.7,1013.29,14.8,9.00,33.08,0.30,29.4,0.00,080,81,1013.98
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-28-2019,10:00:00,24.9,1013.03,3.7,10.00,31.43,0.00,30.7,0.00,060,71,1013.82
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-28-2019,10:00:00,25.5,1013.00,0.0,10.00,32.63,2.40,29.6,0.00,000,79,1013.63
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-28-2019,10:00:00,25.7,1013.54,7.4,6.00,33.04,3.60,28.4,0.20,060,85,1013.94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-28-2019,10:00:00,25.9,1011.57,0.0,10.00,33.50,0.01,29.6,0.00,000,81,1015.78
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-28-2019,10:00:00,24.5,1012.01,0.0,10.00,30.72,3.20,29.5,0.00,000,75,1013.62
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-28-2019,10:00:00,25.7,1009.72,0.0,10.00,32.96,0.00,28.5,0.00,000,85,1013.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-28-2019,10:00:00,26.0,1012.76,0.0,10.00,33.53,0.70,27.8,0.70,000,90,1014.12
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-28-2019,10:00:00,25.6,1012.47,9.3,10.00,32.75,25.90,29.8,0.00,270,78,1013.35
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-28-2019,10:00:00,24.7,1009.93,0.0,10.00,31.15,0.00,30.0,0.00,000,73,1013.48
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-28-2019,10:00:00,25.4,1012.75,0.0,10.00,32.43,8.00,31.6,0.00,000,70,1013.19
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-28-2019,10:00:00,24.6,1011.49,16.7,10.00,30.90,0.01,31.0,0.00,070,69,1012.47
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-28-2019,10:00:00,27.4,1006.36,0.0,10.00,36.49,0.00,31.8,0.00,000,78,1007.16
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-28-2019,10:00:00,24.4,1011.64,5.6,10.00,30.49,0.00,31.5,0.00,120,66,1013.44
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-28-2019,10:00:00,25.5,1013.07,3.7,12.00,32.59,6.40,30.7,0.00,120,74,1013.82
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-28-2019,10:00:00,24.6,1009.63,11.1,10.00,30.86,0.60,30.7,0.00,090,70,1013.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-28-2019,10:00:00,22.8,1013.48,0.0,10.00,27.71,0.00,31.8,0.00,000,59,1014.16
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-28-2019,10:00:00,24.9,1012.61,0.0,12.00,31.56,0.60,30.2,0.00,000,74,1013.72
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-28-2019,10:00:00,25.6,1010.46,5.6,12.00,32.84,1.60,31.1,0.00,070,73,1013.36
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-28-2019,10:00:00,25.3,1012.48,0.0,9.00,32.34,35.40,30.3,0.00,000,75,1013.16
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-28-2019,10:00:00,23.6,1004.63,0.0,10.00,29.20,0.00,31.0,0.00,000,65,1008.70
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-28-2019,10:00:00,23.9,1012.90,3.7,10.00,29.63,1.00,29.8,0.00,150,71,1013.49
