WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,WindDirection,DewPoint,RelativeHumidity
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-07-2019,04:00:00,10.00,1007.55,7.4,25.52,964.04,3.90,25.2,220,21.4,80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-07-2019,04:00:00,8.00,1006.79,5.6,29.23,986.17,0.00,26.0,220,23.7,87
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-07-2019,04:00:00,8.00,1008.27,7.4,31.85,987.30,0.00,25.1,230,25.1,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-07-2019,04:00:00,10.00,1007.63,3.7,30.83,1007.20,1.60,27.0,060,24.5,87
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-07-2019,04:00:00,6.00,1007.70,0.0,31.25,1006.27,4.40,25.5,000,24.8,96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-07-2019,04:00:00,7.00,1008.26,0.0,31.63,1003.30,1.30,25.7,000,25.0,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-07-2019,04:00:00,10.00,1007.17,0.0,28.82,1003.87,0.10,26.5,000,23.4,83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-07-2019,04:00:00,10.00,1007.75,0.0,29.91,1006.64,0.01,25.5,000,24.0,92
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-07-2019,04:00:00,10.00,1007.78,0.0,28.88,1007.48,0.20,27.4,000,23.5,79
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-07-2019,04:00:00,10.00,1007.27,0.0,29.27,1006.78,2.90,26.6,000,23.7,84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-07-2019,04:00:00,10.00,1007.95,0.0,30.34,1006.54,12.00,26.6,000,24.3,87
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-07-2019,04:00:00,10.00,1009.34,0.0,30.63,1001.28,0.50,25.6,000,24.4,93
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-07-2019,04:00:00,10.00,1007.56,0.0,31.56,1007.27,0.00,27.8,000,24.9,84
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-07-2019,04:00:00,10.00,1007.56,0.0,30.48,1004.44,0.00,28.1,000,24.4,80
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-07-2019,04:00:00,10.00,1007.74,0.0,29.19,1000.82,0.00,28.0,000,23.6,77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-07-2019,04:00:00,7.00,1008.12,0.0,30.84,1002.49,2.60,26.0,000,24.6,92
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-07-2019,04:00:00,10.00,1008.52,0.0,29.08,1007.24,1.60,24.9,000,23.6,92
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-07-2019,04:00:00,11.00,1007.37,0.0,30.56,1006.94,0.00,28.0,000,24.4,81
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-07-2019,04:00:00,8.00,1007.79,0.0,27.95,995.43,0.01,24.7,000,22.9,90
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-07-2019,04:00:00,10.00,1007.69,3.7,28.08,1006.97,0.00,27.4,180,23.0,77
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-07-2019,04:00:00,9.00,1008.47,7.4,29.87,1006.04,0.00,28.5,230,24.0,77
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-07-2019,04:00:00,10.00,1008.34,13.0,30.70,1007.83,0.01,28.5,260,24.5,79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-07-2019,04:00:00,7.00,1007.99,0.0,28.67,1002.83,0.10,27.0,000,23.3,80
