WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindDirection,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,VaporPressure,StationPressure,MeanSeaLevelPressure,Rainfall,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.3,08-25-2019,04:00:00,000,0.0,94,6.00,30.50,28.54,974.34,1005.38,0.60,23.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.7,08-25-2019,04:00:00,000,0.0,93,10.00,0.00,28.98,961.30,1004.96,0.00,23.5
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.5,08-25-2019,04:00:00,000,0.0,94,12.00,0.00,27.16,959.17,1004.91,0.00,22.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.5,08-25-2019,04:00:00,000,0.0,98,4.00,12.40,28.42,968.23,1006.10,5.20,23.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,24.0,08-25-2019,04:00:00,000,0.0,91,10.00,6.50,27.25,959.90,1005.13,0.00,22.5
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.1,08-25-2019,04:00:00,000,0.0,95,7.00,3.30,30.23,979.21,1005.99,0.00,24.2
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.2,08-25-2019,04:00:00,000,0.0,98,10.00,3.30,29.66,983.51,1005.39,0.00,23.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.7,08-25-2019,04:00:00,000,0.0,96,5.00,5.00,29.77,981.98,1006.19,0.00,24.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,24.8,08-25-2019,04:00:00,000,0.0,93,10.00,6.30,29.16,970.98,1005.58,0.00,23.6
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.6,08-25-2019,04:00:00,000,0.0,95,10.00,0.20,29.33,978.64,1006.30,0.00,23.7
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.5,08-25-2019,04:00:00,000,0.0,98,10.00,3.60,30.20,971.79,1005.47,0.00,24.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,25.0,08-25-2019,04:00:00,270,1.9,97,8.00,5.10,30.85,986.07,1004.62,1.50,24.6
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.7,08-25-2019,04:00:00,000,0.0,96,10.00,3.40,29.77,982.48,1005.40,0.30,24.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,08-25-2019,04:00:00,000,0.0,97,6.00,17.90,29.13,975.90,1005.96,0.00,23.6
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,08-25-2019,04:00:00,000,0.0,90,5.00,0.40,27.09,969.81,1005.48,0.00,22.4
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.5,08-25-2019,04:00:00,000,0.0,97,6.00,0.50,29.93,974.77,1004.59,0.50,24.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.0,08-25-2019,04:00:00,000,0.0,92,9.00,0.00,30.84,997.52,1004.83,0.00,24.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.0,08-25-2019,04:00:00,000,0.0,95,10.00,51.60,31.93,984.32,1004.21,0.00,25.1
48353,LOEI,เลย,เลย,17.45000,101.73333,24.9,08-25-2019,04:00:00,000,0.0,95,5.00,0.70,29.87,976.28,1005.04,0.70,24.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.3,08-25-2019,04:00:00,230,7.4,95,9.00,54.70,28.79,984.31,1004.60,0.40,23.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.5,08-25-2019,04:00:00,000,0.0,95,10.00,23.20,29.15,982.96,1004.80,0.00,23.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.0,08-25-2019,04:00:00,000,0.0,98,10.00,26.40,31.12,984.56,1004.11,0.00,24.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.2,08-25-2019,04:00:00,000,0.0,97,12.00,52.00,29.13,988.14,1005.00,0.00,23.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.5,08-25-2019,04:00:00,000,0.0,96,10.00,31.50,29.41,988.32,1005.84,0.00,23.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.6,08-25-2019,04:00:00,310,3.7,95,5.00,29.30,29.33,978.50,1004.39,22.50,23.7
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.8,08-25-2019,04:00:00,000,0.0,99,8.00,3.30,32.92,999.83,1005.63,0.01,25.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.5,08-25-2019,04:00:00,000,0.0,98,7.00,12.30,32.07,998.69,1004.90,0.30,25.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.5,08-25-2019,04:00:00,000,0.0,94,10.00,22.90,28.89,989.62,1006.18,0.00,23.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.0,08-25-2019,04:00:00,000,0.0,96,10.00,15.90,28.53,982.28,1004.77,0.00,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.8,08-25-2019,04:00:00,000,0.0,89,7.00,0.00,29.39,991.18,1005.60,0.00,23.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.5,08-25-2019,04:00:00,000,0.0,94,7.00,1.80,28.89,988.62,1005.10,0.00,23.5
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.9,08-25-2019,04:00:00,000,0.0,97,10.00,42.30,30.40,1000.10,1005.36,0.00,24.3
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.5,08-25-2019,04:00:00,000,0.0,93,10.00,15.60,28.63,990.75,1004.02,0.00,23.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.1,08-25-2019,04:00:00,000,0.0,97,10.00,26.50,31.04,995.79,1005.15,0.00,24.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.3,08-25-2019,04:00:00,340,3.7,97,6.00,12.70,31.41,983.39,1005.15,5.40,24.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.5,08-25-2019,04:00:00,000,0.0,92,5.00,17.40,29.91,988.10,1005.66,2.20,24.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.0,08-25-2019,04:00:00,000,0.0,97,10.00,113.90,28.78,988.16,1004.10,1.50,23.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.8,08-25-2019,04:00:00,000,0.0,96,5.00,10.30,31.82,985.14,1004.04,1.90,25.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.8,08-25-2019,04:00:00,000,0.0,94,5.00,1.50,26.01,956.65,1008.42,0.00,21.7
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,24.6,08-25-2019,04:00:00,080,3.7,98,4.00,18.20,30.38,1001.26,1005.25,0.10,24.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.6,08-25-2019,04:00:00,260,7.4,98,2.00,4.80,23.78,911.22,1006.54,0.20,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.0,08-25-2019,04:00:00,000,0.0,99,4.00,32.90,31.39,988.70,1004.75,4.20,24.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.8,08-25-2019,04:00:00,000,0.0,97,7.00,4.30,32.37,1001.17,1005.22,0.30,25.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.5,08-25-2019,04:00:00,000,0.0,96,7.00,18.60,31.25,995.64,1006.36,2.00,24.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.0,08-25-2019,04:00:00,000,0.0,96,6.00,3.40,32.20,1003.84,1005.77,0.40,25.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.6,08-25-2019,04:00:00,320,18.5,96,8.00,6.10,27.83,984.26,1005.32,3.00,22.9
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.5,08-25-2019,04:00:00,200,9.3,98,8.00,39.70,30.20,987.14,1004.92,28.40,24.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.6,08-25-2019,04:00:00,000,0.0,99,6.00,44.20,30.65,988.32,1004.56,28.00,24.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.1,08-25-2019,04:00:00,000,0.0,94,7.00,25.60,29.97,991.36,1005.46,14.90,24.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.6,08-25-2019,04:00:00,000,0.0,95,7.00,21.50,29.33,990.84,1005.77,10.50,23.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.0,08-25-2019,04:00:00,000,0.0,98,6.00,18.50,31.12,990.60,1005.34,6.60,24.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,26.2,08-25-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,97,10.00,3.40,32.87,1002.27,1005.29,0.30,25.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.3,08-25-2019,04:00:00,000,0.0,95,7.00,171.60,28.79,997.60,1005.61,2.20,23.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.5,08-25-2019,04:00:00,180,7.4,93,6.00,1.20,32.35,1004.72,1005.83,0.60,25.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.7,08-25-2019,04:00:00,000,0.0,92,8.00,69.40,28.47,990.40,1005.17,10.80,23.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.1,08-25-2019,04:00:00,240,3.7,99,.10,19.20,21.87,872.15,1007.35,0.00,18.9
