WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,Rainfall24Hr,VaporPressure,LandVisibility,AirTemperature,Rainfall
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,54,10-14-2019,13:00:00,7.4,1011.78,050,23.4,1010.69,0.00,28.84,10.00,34.2,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,85,10-14-2019,13:00:00,3.7,1013.98,090,27.2,999.35,6.20,36.05,9.00,30.1,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,66,10-14-2019,13:00:00,5.6,1012.06,180,14.5,877.02,1.60,16.51,8.00,21.0,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,59,10-14-2019,13:00:00,3.7,1011.88,050,22.8,1006.07,0.00,27.82,10.00,32.0,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,61,10-14-2019,13:00:00,5.6,1011.49,080,25.2,1010.70,6.00,32.10,12.00,33.8,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,64,10-14-2019,13:00:00,3.7,1011.27,120,24.7,1010.83,8.70,31.11,10.00,32.5,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,59,10-14-2019,13:00:00,0.0,1011.96,000,24.2,1000.84,2.50,30.28,10.00,33.5,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,62,10-14-2019,13:00:00,0.0,1011.69,000,24.8,1010.69,23.10,31.28,10.00,33.0,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,55,10-14-2019,13:00:00,9.3,1012.64,150,22.9,1010.85,0.00,27.84,10.00,33.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,73,10-14-2019,13:00:00,0.0,1011.44,000,25.7,1010.68,29.00,33.06,12.00,31.2,7.30
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,61,10-14-2019,13:00:00,7.4,1011.61,120,23.4,1010.92,12.80,28.74,10.00,31.9,0.00
