WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall,VaporPressure,MeanSeaLevelPressure,LandVisibility,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-21-2019,04:00:00,0.00,30.36,1003.53,7.00,972.68,24.3,2.70,25.6,000,93
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,08-21-2019,04:00:00,0.00,20.54,1002.66,8.00,841.74,17.9,15.90,18.1,150,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1.9,08-21-2019,04:00:00,0.00,28.29,1004.09,10.00,960.45,23.1,4.40,24.6,080,92
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-21-2019,04:00:00,0.20,29.41,1003.61,6.00,958.08,23.8,5.50,24.5,000,96
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-21-2019,04:00:00,0.00,30.20,1004.97,6.00,967.26,24.2,5.60,24.5,000,98
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,08-21-2019,04:00:00,3.50,27.66,1003.31,7.00,958.08,22.8,8.50,23.5,000,96
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,08-21-2019,04:00:00,11.00,26.83,1004.97,5.00,978.03,22.2,11.70,23.0,000,96
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,08-21-2019,04:00:00,0.00,29.11,1003.41,14.00,981.67,23.6,0.30,25.5,000,89
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-21-2019,04:00:00,0.00,31.25,1004.09,6.00,980.00,24.8,0.00,25.5,000,96
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.0,08-21-2019,04:00:00,0.00,29.11,1003.91,10.00,969.45,23.6,0.30,25.5,000,89
