WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,RelativeHumidity,LandVisibility,Rainfall,DewPoint,MeanSeaLevelPressure
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.60,08-17-2019,22:00:00,1009.26,5.6,32.79,28.7,090,83,10.00,0.00,25.6,1009.55
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-17-2019,22:00:00,1006.54,5.6,31.13,29.0,270,78,10.00,0.00,24.7,1009.66
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-17-2019,22:00:00,1003.14,7.4,31.54,28.5,210,81,10.00,0.00,24.9,1010.06
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,11.20,08-17-2019,22:00:00,1004.43,0.0,31.38,27.0,000,88,8.00,0.00,24.8,1010.04
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.60,08-17-2019,22:00:00,1009.30,3.7,31.79,26.5,180,92,8.00,0.00,25.1,1010.57
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.40,08-17-2019,22:00:00,1009.36,0.0,29.14,28.4,000,75,11.00,0.00,23.6,1009.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,08-17-2019,22:00:00,998.13,0.0,28.93,25.4,000,89,10.00,0.00,23.5,1010.49
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-17-2019,22:00:00,1009.49,3.7,29.06,27.5,210,79,10.00,0.00,23.6,1010.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-17-2019,22:00:00,1007.82,11.1,30.15,28.5,220,78,10.00,0.00,24.2,1010.25
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-17-2019,22:00:00,1009.07,18.5,33.20,28.9,250,83,10.00,0.00,25.8,1009.59
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-17-2019,22:00:00,1004.93,3.7,30.04,28.3,250,78,9.00,0.00,24.1,1010.08
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,5.60,08-17-2019,22:00:00,1010.57,0.0,32.77,27.0,000,92,7.00,0.80,25.6,1010.98
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,14.20,08-17-2019,22:00:00,1008.22,0.0,32.36,27.5,000,88,8.00,0.00,25.4,1010.99
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-17-2019,22:00:00,1008.84,0.0,29.69,27.4,000,81,10.00,0.00,23.9,1009.63
48501,TRAD,ตราด,ตราด,11.76667,102.88333,85.20,08-17-2019,22:00:00,1010.58,5.6,31.52,25.5,070,97,6.00,1.40,24.9,1011.04
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,15.80,08-17-2019,22:00:00,1010.37,0.0,30.69,25.2,000,96,8.00,0.00,24.5,1011.06
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,13.60,08-17-2019,22:00:00,1008.99,0.0,31.00,25.8,000,93,7.00,0.00,24.6,1010.52
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,139.50,08-17-2019,22:00:00,1010.86,0.0,29.97,25.1,000,94,10.00,0.00,24.1,1011.78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-17-2019,22:00:00,1010.73,0.0,30.78,27.4,000,84,12.00,0.00,24.5,1011.42
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-17-2019,22:00:00,1010.81,0.0,30.84,26.0,000,92,8.00,0.00,24.6,1011.61
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-17-2019,22:00:00,1010.38,0.0,29.85,27.2,000,83,10.00,0.00,24.0,1011.02
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-17-2019,22:00:00,1008.47,0.0,30.30,26.0,000,90,5.00,0.00,24.3,1012.71
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,3.60,08-17-2019,22:00:00,1009.21,0.0,30.05,26.3,000,88,10.00,0.00,24.1,1010.83
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.00,08-17-2019,22:00:00,1007.64,0.0,29.91,25.5,000,92,10.00,0.00,24.0,1011.14
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-17-2019,22:00:00,1009.50,3.7,31.52,26.5,270,91,10.00,0.00,24.9,1010.86
