WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,MeanSeaLevelPressure,WindDirection,DewPoint,LandVisibility,WindSpeed,VaporPressure
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,64,07-24-2019,13:00:00,5.30,32.0,1007.33,0.00,1007.81,160,24.3,10.00,3.7,30.36
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,57,07-24-2019,13:00:00,21.80,32.6,1006.57,0.00,1007.96,290,23.0,10.00,18.5,28.17
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,74,07-24-2019,13:00:00,0.00,30.2,1006.28,0.00,1007.95,220,24.9,12.00,11.1,31.56
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,53,07-24-2019,13:00:00,0.01,33.0,1001.16,0.00,1009.02,000,22.0,10.00,0.0,26.45
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,67,07-24-2019,13:00:00,15.50,33.0,1007.29,0.00,1007.57,270,26.0,12.00,5.6,33.66
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,65,07-24-2019,13:00:00,0.00,32.2,1004.99,0.00,1008.07,200,24.8,12.00,5.6,31.35
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,61,07-24-2019,13:00:00,0.00,32.5,1001.57,0.00,1008.39,210,23.9,12.00,14.8,29.66
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,83,07-24-2019,13:00:00,1.80,29.5,1001.84,1.80,1007.39,330,26.3,8.00,3.7,34.16
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,61,07-24-2019,13:00:00,0.00,32.5,999.68,0.00,1008.84,230,23.9,8.00,16.7,29.66
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,63,07-24-2019,13:00:00,0.01,32.0,1007.47,0.00,1008.72,150,24.1,14.00,3.7,30.08
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,61,07-24-2019,13:00:00,0.00,35.0,1007.24,0.00,1007.66,180,26.3,11.00,9.3,34.15
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,58,07-24-2019,13:00:00,0.00,32.3,995.96,0.00,1008.02,360,22.9,10.00,9.3,27.85
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,72,07-24-2019,13:00:00,0.00,31.7,1007.34,0.00,1008.04,110,26.0,10.00,7.4,33.53
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,54,07-24-2019,13:00:00,0.00,34.0,1006.03,0.00,1008.42,240,23.4,10.00,14.8,28.72
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,65,07-24-2019,13:00:00,0.00,32.0,1007.89,0.00,1008.41,240,24.6,10.00,11.1,30.94
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,58,07-24-2019,13:00:00,0.00,32.7,1002.76,0.00,1007.82,290,23.3,12.00,5.6,28.65
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,64,07-24-2019,13:00:00,27.50,32.7,1007.53,0.00,1007.94,000,25.1,9.00,0.0,31.82
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,66,07-24-2019,13:00:00,54.60,32.0,1005.72,0.00,1008.45,230,24.9,10.00,7.4,31.52
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,47,07-24-2019,13:00:00,0.00,34.3,1007.49,0.00,1008.26,000,21.3,12.00,0.0,25.38
48501,TRAD,ตราด,ตราด,11.76667,102.88333,75,07-24-2019,13:00:00,45.00,30.8,1007.86,0.00,1008.32,250,25.9,8.00,5.6,33.39
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,55,07-24-2019,13:00:00,0.00,33.3,1008.07,0.00,1008.74,260,23.0,11.00,13.0,28.15
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,54,07-24-2019,13:00:00,0.00,33.5,1007.08,0.00,1008.57,250,22.9,9.00,7.4,27.99
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,62,07-24-2019,13:00:00,0.00,32.4,1009.09,0.00,1010.00,240,24.3,10.00,9.3,30.32
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,62,07-24-2019,13:00:00,0.00,34.0,1008.56,0.00,1009.23,230,25.6,12.00,5.6,32.84
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,55,07-24-2019,13:00:00,0.00,35.0,1008.12,0.00,1008.90,270,24.7,10.00,11.1,31.11
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,56,07-24-2019,13:00:00,0.00,33.5,1007.83,0.00,1008.46,230,23.4,10.00,1.9,28.84
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,63,07-24-2019,13:00:00,0.00,33.7,1008.02,0.00,1008.42,000,25.7,10.00,0.0,33.08
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,58,07-24-2019,13:00:00,0.00,33.2,1006.87,0.00,1011.01,260,23.9,7.00,16.7,29.66
